YEAR,BYU,ENSIGN,SLCC_MAIN,SLCC_JD,SLCC_ML,SLCC_SC,UOFU_Main,UVU_Main,UVU_Lehi,UVU_Payson,UVU_Vineyard1,UVU_Vineyard2,UVU_Vineyard,WSU_Main,WSU_Davis,WESTMIN
2000,32554,824,15794,3079,373,2349,24948,20946,0,0,0,0,0,13368,2682,2403
2001,32771,1025,17334,3380,410,2578,27668,22609,0,0,0,0,0,14053,2820,2474
2002,32408,1124,17075,3329,403,2540,28369,23609,0,0,0,0,0,15041,3018,2353
2003,33008,1258,17593,3430,416,2617,28436,23803,0,0,0,0,0,15676,3145,2471
2004,34347,1248,18083,3526,427,2690,28933,24149,0,0,0,0,0,15407,3091,2417
2005,34067,1235,17634,3438,417,2623,30558,24180,0,0,0,0,0,15110,3032,2455
2006,34185,1317,17729,3457,419,2637,30511,23305,0,0,0,0,0,15244,3059,2479
2007,34174,1316,18456,3598,436,2745,28025,23840,0,0,0,0,0,15059,3022,2661
2008,34244,1377,21499,4192,508,3198,28211,26696,0,0,0,0,0,17814,3574,2859
2009,34130,1589,25572,4986,604,3804,29284,28765,0,0,0,0,0,19157,3844,3037
2010,33841,1809,25344,4941,599,3770,30819,32670,0,0,0,0,0,20029,4019,3163
2011,34101,1987,24442,4765,577,3635,31660,33395,0,0,0,0,0,21073,4228,3358
2012,34409,2191,21938,4277,518,3263,32388,31562,0,0,0,0,0,22098,4434,3301
2013,31123,2036,23405,4563,553,3481,32077,30564,0,0,0,0,0,20951,4204,3108
2014,30484,2006,22122,4313,523,3290,31515,31332,0,0,0,0,0,21617,4337,2991
2015,33469,2153,21465,4185,507,3193,31592,33211,0,0,0,0,0,21617,4338,2821
2016,34240,2119,21868,4264,517,3253,31860,34978,0,0,0,0,0,22329,4480,2694
2017,34334,2045,21663,4224,512,3222,32800,37282,0,0,0,0,0,23278,4671,2570
2018,34499,1996,21323,4157,504,3172,33023,39931,0,0,0,0,0,23526,4721,2477
2019,34318,1929,21587,4209,510,3211,32852,40423,1305,0,0,0,0,24690,4954,2215
2020,36461,1829,19961,3892,472,2969,33081,39589,1347,0,0,0,0,24650,4946,1849
2021,34811,2665,19911,3882,470,2962,34464,39873,1389,0,0,0,0,24798,4976,1535
2022,34464,4058,19235,3750,454,2861,34734,41667,1432,0,0,0,0,24915,4999,1280
2023,35074,5973,19574,3816,462,2911,35260,43180,1471,0,0,0,0,25433,5103,1214
2024,35108,6155,20299,3958,480,3019,35587,45449,1535,0,0,0,0,26892,5396,1492
2025,35142,6340,21035,4101,497,3129,35914,47778,1597,0,0,0,0,28391,5697,1776
2026,35175,6541,21844,4259,516,3249,36241,49372,1668,0,597,31,628,30064,6033,2073
2027,35309,6717,22545,4396,533,3353,36567,51751,1760,0,780,41,821,31513,6323,2364
2028,35443,6813,22986,4481,543,3419,36894,53560,1839,0,964,50,1014,32321,6486,2628
2029,35577,6856,23255,4534,549,3459,37221,54078,1903,720,1145,60,1205,32929,6608,2870
2030,35710,6877,23454,4573,554,3489,37548,54878,1942,840,1309,69,1378,33517,6725,3100
2031,35744,6890,23636,4608,558,3516,37875,55434,1972,956,1468,78,1546,34046,6831,3323
2032,35778,6877,23729,4626,561,3529,38202,55659,1991,1064,1614,85,1699,34459,6914,3529
2033,35812,6844,23752,4631,561,3533,38528,55646,2000,1164,1750,92,1842,34832,6989,3718
2034,35845,6828,23841,4648,563,3546,38855,55601,2008,1260,1879,99,1978,35292,7082,3690
2035,35879,6805,23910,4662,565,3556,39182,55504,2014,1350,2003,105,2108,35621,7147,3661
2036,35913,6787,23986,4677,567,3568,39509,55510,2023,1440,2125,112,2237,35923,7208,3633
2037,35947,6739,23957,4671,566,3563,39836,55306,2025,1522,2235,117,2352,35930,7209,3591
2038,35981,6653,23778,4636,562,3537,40163,54919,2019,1595,2332,123,2455,35675,7159,3527
2039,36014,6530,23441,4570,554,3487,40490,54542,2013,1665,2425,128,2553,35233,7070,3440
2040,36048,6427,23179,4519,548,3448,40816,54189,2008,1731,2514,133,2647,34823,6987,3367
2041,36082,6312,22862,4457,540,3400,41143,53852,2003,1795,2600,137,2737,34253,6873,3287
2042,36116,6219,22608,4408,534,3363,41470,53750,2006,1864,2692,142,2834,33871,6796,3218
2043,36149,6131,22362,4360,528,3326,41797,53711,2011,1933,2786,146,2932,33552,6733,3151
2044,36183,6041,22101,4309,522,3287,42124,53683,2016,2000,2876,151,3027,33258,6674,3083
2045,36217,5949,21824,4255,516,3246,42451,53629,2021,2063,2963,156,3119,32987,6619,3014
2046,36251,5902,21723,4235,513,3231,42778,53686,2029,2129,3052,161,3213,32981,6618,2973
2047,36285,5864,21647,4221,511,3220,43104,53898,2044,2201,3149,166,3315,33012,6624,2936
2048,36318,5865,21715,4234,513,3230,43431,54391,2068,2282,3261,172,3433,33309,6684,2919
2049,36352,5894,21882,4266,517,3255,43758,55136,2103,2374,3388,178,3566,33774,6777,2916
2050,36386,5970,22226,4333,525,3306,44085,56257,2152,2483,3538,186,3724,34469,6917,2937
2051,36420,6079,22689,4424,536,3375,44412,57859,2213,2553,3638,191,3829,35340,7091,2974
2052,36453,6208,23223,4528,549,3454,44739,59681,2283,2634,3753,198,3951,36322,7288,3019
2053,36487,6344,23787,4638,562,3538,45065,61573,2355,2717,3872,204,4076,37361,7497,3068
2054,36521,6475,24339,4745,575,3620,45392,63374,2424,2797,3985,210,4195,38403,7706,3115
2055,36555,6595,24854,4846,587,3697,45719,64990,2486,2868,4087,215,4302,39411,7908,3158
2056,36588,6699,25315,4936,598,3765,46046,66356,2538,2928,4173,220,4393,40356,8098,3194
2057,36622,6783,25711,5013,607,3824,46373,67428,2579,2976,4240,223,4463,41222,8272,3222
