YEAR,BYU,ENSIGN,SLCC_MAIN,SLCC_JD,SLCC_ML,SLCC_SC,UOFU_Main,UVU_Main,UVU_Lehi,UVU_Payson,UVU_Vineyard,WSU_Main,WSU_Davis,WESTMIN
2024,35108,6155,20299,3958,480,3019,35587,46984,0,0,0,26892,5396,1492
2025,35142,6340,21035,4101,497,3129,35914,49375,0,0,0,28391,5697,1776
2026,35175,6541,21844,4259,516,3249,36241,51668,0,0,0,30064,6033,2073
2027,35309,6717,22545,4396,533,3353,36567,54332,0,0,0,31513,6323,2364
2028,35443,6813,22986,4481,543,3419,36894,56413,0,0,0,32321,6486,2628
2029,35577,6856,23255,4534,549,3459,37221,57905,0,0,0,32929,6608,2870
2030,35710,6877,23454,4573,554,3489,37548,59039,0,0,0,33517,6725,3100
2031,35744,6890,23636,4608,558,3516,37875,59908,0,0,0,34046,6831,3323
2032,35778,6877,23729,4626,561,3529,38202,60413,0,0,0,34459,6914,3529
2033,35812,6844,23752,4631,561,3533,38528,60653,0,0,0,34832,6989,3718
2034,35845,6828,23841,4648,563,3546,38855,60847,0,0,0,35292,7082,3690
2035,35879,6805,23910,4662,565,3556,39182,60976,0,0,0,35621,7147,3661
2036,35913,6787,23986,4677,567,3568,39509,61210,0,0,0,35923,7208,3633
2037,35947,6739,23957,4671,566,3563,39836,61205,0,0,0,35930,7209,3591
2038,35981,6653,23778,4636,562,3537,40163,60988,0,0,0,35675,7159,3527
2039,36014,6530,23441,4570,554,3487,40490,60773,0,0,0,35233,7070,3440
2040,36048,6427,23179,4519,548,3448,40816,60574,0,0,0,34823,6987,3367
2041,36082,6312,22862,4457,540,3400,41143,60387,0,0,0,34253,6873,3287
2042,36116,6219,22608,4408,534,3363,41470,60454,0,0,0,33871,6796,3218
2043,36149,6131,22362,4360,528,3326,41797,60587,0,0,0,33552,6733,3151
2044,36183,6041,22101,4309,522,3287,42124,60726,0,0,0,33258,6674,3083
2045,36217,5949,21824,4255,516,3246,42451,60831,0,0,0,32987,6619,3014
2046,36251,5902,21723,4235,513,3231,42778,61057,0,0,0,32981,6618,2973
2047,36285,5864,21647,4221,511,3220,43104,61457,0,0,0,33012,6624,2936
2048,36318,5865,21715,4234,513,3230,43431,62174,0,0,0,33309,6684,2919
2049,36352,5894,21882,4266,517,3255,43758,63179,0,0,0,33774,6777,2916
2050,36386,5970,22226,4333,525,3306,44085,64615,0,0,0,34469,6917,2937
2051,36420,6079,22689,4424,536,3375,44412,66455,0,0,0,35340,7091,2974
2052,36453,6208,23223,4528,549,3454,44739,68548,0,0,0,36322,7288,3019
2053,36487,6344,23787,4638,562,3538,45065,70721,0,0,0,37361,7497,3068
2054,36521,6475,24339,4745,575,3620,45392,72789,0,0,0,38403,7706,3115
2055,36555,6595,24854,4846,587,3697,45719,74646,0,0,0,39411,7908,3158
2056,36588,6699,25315,4936,598,3765,46046,76215,0,0,0,40356,8098,3194
2057,36622,6783,25711,5013,607,3824,46373,77446,0,0,0,41222,8272,3222
2058,36656,6847,26038,5076,615,3873,46700,78321,0,0,0,41990,8426,3242
2059,36690,6890,26294,5126,621,3911,47027,78863,0,0,0,42655,8559,3254
2060,36724,6917,26488,5164,626,3940,47353,79135,0,0,0,43217,8672,3258
