unitid,year,level_of_study,credit_hours,contact_hours,acttype,est_fte,rep_fte,fips,,,,,,,,,,
100636,1997,1,1583682,0,,,,1,,,,,,,,,,
100636,1998,1,10056000,,,,,1,,,,,,,,,,
100636,1999,1,1533000,0,,,,1,,,,,,,,,,
100636,2006,1,2592978,,2,86433,86433,1,,,,,,,,,,
100636,2008,1,1496402,,2,49880,49880,1,,,,,,,,,,
100636,1997,2,,,,,,1,,,,,,,,,,
100636,1998,2,,,,,,1,,,,,,,,,,
100636,1999,2,0,,,,,1,,,,,,,,,,
100636,2006,2,,,2,,,1,,,,,,,,,,
100636,2008,2,,,2,,,1,,,,,,,,,,
100636,1997,3,,,,,,1,,,,,,,,,,
100636,1998,3,,,,,,1,,,,,,,,,,
100636,1999,3,,,,,,1,,,,,,,,,,
100636,2006,3,,,2,,,1,,,,,,,,,,
100636,2008,3,,,2,,,1,,,,,,,,,,
100654,1997,1,114383,0,,,,1,,,,,,,,,,
100654,1998,1,135668,,,,,1,,,,,,,,,,
100654,1999,1,131005,,,,,1,,,,,,,,,,
100654,2000,1,139594,0,,,,1,,,,,,,,,,
100654,2001,1,150829,,,,,1,,,,,,,,,,
100654,2002,1,151059,124273,,,,1,,,,,,,,,,
100654,2003,1,171207,,2,5707,5707,1,,,,,,,,,,
100654,2004,1,158541,,2,5285,5285,1,,,,,,,,,,
100654,2005,1,150406,,2,5014,5014,1,,,,,,,,,,
100654,2006,1,148752,1473,3,4960,4960,1,,,,,,,,,,
100654,2007,1,138111,,2,4604,4604,1,,,,,,,,,,
100654,2008,1,132932,,2,4431,4431,1,,,,,,,,,,
100654,2009,1,131684,,2,4389,4389,1,,,,,,,,,,
100654,2010,1,138125,,2,4604,4604,1,,,,,,,,,,
100654,2011,1,116132,,2,3871,3871,1,,,,,,,,,,
100654,2012,1,117182,,2,3906,3906,1,,,,,,,,,,
100654,2013,1,109417,,2,3647,3647,1,,,,,,,,,,
100654,2014,1,112169,,2,3739,3739,1,,,,,,,,,,
100654,2015,1,119309,,2,3977,3977,1,,,,,,,,,,
100654,2016,1,129203,,2,4307,4307,1,,,,,,,,,,
100654,2017,1,147059,,2,4902,4902,1,,,,,,,,,,
100654,2018,1,154888,,2,5163,5163,1,,,,,,,,,,
100654,2019,1,163402,,2,5447,5447,1,,,,,,,,,,
100654,2020,1,138948,,2,4632,4632,1,,,,,,,,,,
100654,2021,1,129441,,2,4315,4315,1,,,,,,,,,,
100654,1997,2,21264,,,,,1,,,,,,,,,,
100654,1998,2,22999,,,,,1,,,,,,,,,,
100654,1999,2,19393,,,,,1,,,,,,,,,,
100654,2000,2,20545,,,,,1,,,,,,,,,,
100654,2001,2,21730,,,,,1,,,,,,,,,,
100654,2002,2,20920,,,,,1,,,,,,,,,,
100654,2003,2,24907,,2,1038,1038,1,,,,,,,,,,
100654,2004,2,23363,,2,973,973,1,,,,,,,,,,
100654,2005,2,20969,,2,874,874,1,,,,,,,,,,
100654,2006,2,18775,,3,782,782,1,,,,,,,,,,
100654,2007,2,17782,,2,741,741,1,,,,,,,,,,
100654,2008,2,14877,,2,620,620,1,,,,,,,,,,
100654,2009,2,15163,,2,632,632,1,,,,,,,,,,
100654,2010,2,15340,,2,639,639,1,,,,,,,,,,
100654,2011,2,14162,,2,590,590,1,,,,,,,,,,
100654,2012,2,14838,,2,618,618,1,,,,,,,,,,
100654,2013,2,18537,,2,772,772,1,,,,,,,,,,
100654,2014,2,20817,,2,867,867,1,,,,,,,,,,
100654,2015,2,19878,,2,828,828,1,,,,,,,,,,
100654,2016,2,17636,,2,735,735,1,,,,,,,,,,
100654,2017,2,17966,,2,749,749,1,,,,,,,,,,
100654,2018,2,18725,,2,780,780,1,,,,,,,,,,
100654,2019,2,18565,,2,774,774,1,,,,,,,,,,
100654,2020,2,15763,,2,657,657,1,,,,,,,,,,
100654,2021,2,15095,,2,629,629,1,,,,,,,,,,
100654,1997,3,,,,,,1,,,,,,,,,,
100654,1998,3,,,,,,1,,,,,,,,,,
100654,1999,3,,,,,,1,,,,,,,,,,
100654,2000,3,,,,,,1,,,,,,,,,,
100654,2001,3,,,,,,1,,,,,,,,,,
100654,2002,3,,,,,,1,,,,,,,,,,
100654,2003,3,,,2,,,1,,,,,,,,,,
100654,2004,3,,,2,,,1,,,,,,,,,,
100654,2005,3,,,2,,,1,,,,,,,,,,
100654,2006,3,,,3,,,1,,,,,,,,,,
100654,2007,3,,,2,,,1,,,,,,,,,,
100654,2008,3,,,2,,,1,,,,,,,,,,
100654,2009,3,,,2,,,1,,,,,,,,,,
100654,2010,3,,,2,,,1,,,,,,,,,,
100654,2011,3,,,2,,,1,,,,,,,,,,
100654,2012,3,,,2,,,1,,,,,,,,,,
100654,2013,3,,,2,,,1,,,,,,,,,,
100654,2014,3,,,2,,,1,,,,,,,,,,
100654,2015,3,,,2,,,1,,,,,,,,,,
100654,2016,3,,,2,,,1,,,,,,,,,,
100654,2017,3,,,2,,,1,,,,,,,,,,
100654,2018,3,,,2,,,1,,,,,,,,,,
100654,2019,3,,,2,,,1,,,,,,,,,,
100654,2020,3,,,2,,,1,,,,,,,,,,
100654,2021,3,,,2,,,1,,,,,,,,,,
100663,1997,1,463545,0,,,,1,,,,,,,,,,
100663,1998,1,475290,,,,,1,,,,,,,,,,
100663,1999,1,278643,,,,,1,,,,,,,,,,
100663,2000,1,280482,0,,,,1,,,,,,,,,,
100663,2001,1,271674,0,,,,1,,,,,,,,,,
100663,2002,1,286326,0,,,,1,,,,,,,,,,
100663,2003,1,298192,,2,9940,9940,1,,,,,,,,,,
100663,2004,1,306237,,2,10208,10208,1,,,,,,,,,,
100663,2005,1,306911,,2,10230,10230,1,,,,,,,,,,
100663,2006,1,301387,,2,10046,10046,1,,,,,,,,,,
100663,2007,1,288402,,2,9613,9613,1,,,,,,,,,,
