CO_TAZID,MF_Units,SF_Units
110001,0.0,13.0
110002,0.0,56.0
110003,0.0,27.0
110004,4.0,29.0
110005,0.0,26.0
110006,0.0,135.0
110007,0.0,156.0
110008,1.0,53.0
110009,0.0,103.0
110010,1.0,193.0
110011,1.0,153.0
110012,5.0,158.0
110013,23.0,275.0
110014,3.0,517.0
110015,72.0,315.0
110016,0.0,180.0
110017,0.0,88.0
110018,0.0,95.0
110019,68.0,150.0
110020,13.0,380.0
110021,0.0,48.0
110022,0.0,238.0
110023,0.0,358.0
110024,0.0,19.0
110025,2.0,330.0
110026,0.0,308.0
110027,12.0,195.0
110028,86.0,794.0
110029,0.0,84.0
110030,14.0,378.0
110031,0.0,466.0
110032,1.0,148.0
110033,0.0,874.0
110034,0.0,171.0
110035,1.0,395.0
110036,0.0,504.0
110037,0.0,254.0
110038,0.0,1.0
110039,0.0,365.0
110040,203.0,365.0
110041,244.0,280.0
110043,88.0,433.0
110044,107.0,391.0
110046,22.0,367.0
110054,27.0,127.0
110055,14.0,355.0
110056,72.0,493.0
110057,63.0,616.0
110058,0.0,4.0
110060,0.0,45.0
110061,46.0,391.0
110062,292.0,329.0
110063,21.0,429.0
110064,196.0,438.0
110065,235.0,517.0
110067,128.0,405.0
110068,0.0,202.0
110069,85.0,316.0
110071,0.0,34.0
110072,228.0,11.0
110073,109.0,474.0
110074,0.0,57.0
110075,0.0,379.0
110076,0.0,1.0
110077,416.0,45.0
110078,164.0,60.0
110079,64.0,290.0
110080,769.0,74.0
110081,546.0,40.0
110082,116.0,11.0
110083,744.0,9.0
110084,29.0,761.0
110085,328.0,802.0
110086,0.0,254.0
110087,0.0,97.0
110088,1.0,165.0
110089,0.0,859.0
110090,0.0,332.0
110091,1.0,371.0
110092,0.0,239.0
110093,2.0,372.0
110094,79.0,721.0
110095,0.0,5.0
110096,0.0,384.0
110097,0.0,383.0
110098,2.0,671.0
110099,116.0,597.0
110100,147.0,504.0
110101,44.0,629.0
110102,0.0,29.0
110103,13.0,57.0
110104,24.0,238.0
110105,0.0,416.0
110106,2.0,602.0
110107,0.0,388.0
110109,360.0,208.0
110110,239.0,301.0
110111,0.0,616.0
110112,951.0,413.0
110113,598.0,0.0
110114,0.0,30.0
110115,0.0,376.0
110116,11.0,657.0
110117,0.0,956.0
110118,7.0,226.0
110119,376.0,206.0
110120,523.0,256.0
110121,155.0,842.0
110122,901.0,198.0
110123,748.0,169.0
110124,386.0,1328.0
110125,0.0,102.0
110126,143.0,804.0
110127,0.0,1103.0
110128,0.0,143.0
110129,419.0,83.0
110131,63.0,15.0
110132,135.0,645.0
110133,32.0,579.0
110134,45.0,308.0
110135,1.0,161.0
110136,8.0,284.0
110137,0.0,27.0
110139,439.0,42.0
110140,30.0,543.0
110141,22.0,124.0
110142,378.0,754.0
110143,307.0,987.0
110144,0.0,218.0
110145,2.0,193.0
110146,0.0,43.0
110147,0.0,190.0
110148,32.0,255.0
110149,147.0,776.0
110150,0.0,207.0
110151,0.0,202.0
110152,0.0,98.0
110153,0.0,276.0
110154,0.0,430.0
110155,2.0,263.0
110156,229.0,166.0
110157,101.0,21.0
110158,514.0,993.0
110159,0.0,3.0
110160,0.0,170.0
110161,0.0,352.0
110162,56.0,517.0
110163,21.0,909.0
110164,0.0,27.0
110165,0.0,90.0
110166,419.0,387.0
110167,22.0,407.0
110168,0.0,170.0
110169,0.0,429.0
110170,0.0,18.0
110171,54.0,8.0
110172,0.0,1.0
110173,0.0,447.0
110174,4.0,422.0
110175,2.0,389.0
110176,126.0,563.0
110177,149.0,492.0
110178,4.0,264.0
110179,39.0,562.0
110180,6.0,297.0
110181,0.0,370.0
