UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
100654,"R",171207,"A",,"R",24907,"G",5707,"G",1038,"G",5707,"G",1038,2
100663,"R",298192,"A",,"R",97411,"G",9940,"G",4059,"G",9940,"G",4059,2
100690,"R",11520,"A",,"R",4650,"G",384,"G",194,"G",384,"G",194,2
100706,"R",139309,"A",,"R",23680,"G",4644,"G",987,"R",4644,"R",1038,2
100724,"R",147974,"A",,"R",12798,"G",4932,"G",533,"G",4932,"G",533,2
100751,"R",455011,"A",,"R",84563,"G",15167,"G",3523,"G",15167,"G",3523,2
100760,"R",51205,"A",,"A",,"G",1707,"A",,"G",1707,"A",,2
100812,"R",65414,"A",,"A",,"G",2180,"A",,"G",2180,"A",,2
100830,"R",116757,"A",,"R",13424,"G",3892,"G",559,"G",3892,"G",559,2
100858,"R",577191,"A",,"R",84441,"G",19240,"G",3518,"G",19240,"G",3518,2
100919,"R",30028,"A",,"A",,"G",1001,"A",,"G",1001,"A",,2
100937,"R",22324,"A",,"R",564,"G",744,"G",24,"R",1343,"R",57,2
100973,"R",9503,"A",,"A",,"G",317,"A",,"G",317,"A",,2
101028,"R",47948,"A",,"A",,"G",1598,"A",,"G",1598,"A",,2
101073,"R",28300,"A",,"A",,"G",943,"A",,"G",943,"A",,2
101116,"R",15682,"A",,"A",,"G",348,"A",,"G",348,"A",,2
101143,"R",51508,"A",,"A",,"G",1717,"A",,"G",1717,"A",,2
101161,"R",86766,"A",,"A",,"G",2892,"A",,"G",2892,"A",,2
101189,"R",75808,"A",,"R",7066,"G",2527,"G",294,"G",2527,"G",294,2
101231,"A",,"R",216000,"A",,"G",240,"A",,"G",240,"A",,1
101240,"R",147915,"A",,"A",,"G",4931,"A",,"G",4931,"A",,2
101286,"R",95738,"A",,"A",,"G",3191,"A",,"G",3191,"A",,2
101295,"R",133968,"A",,"A",,"G",4466,"A",,"G",4466,"A",,2
101301,"R",28931,"A",,"A",,"G",964,"A",,"G",964,"A",,2
101365,"R",15444,"A",,"A",,"G",515,"A",,"G",515,"A",,2
101435,"R",18760,"A",,"A",,"G",625,"A",,"R",644,"A",,2
101453,"R",2399,"A",,"R",150,"G",80,"G",6,"G",80,"G",6,2
101462,"R",21467,"A",,"A",,"G",716,"A",,"G",716,"A",,2
101471,"R",21982,"A",,"A",,"G",733,"A",,"G",733,"A",,2
101480,"R",202506,"A",,"R",28910,"G",6750,"G",1205,"G",6750,"G",1205,2
101499,"R",39426,"A",,"A",,"G",1314,"A",,"G",1314,"A",,2
101505,"R",150694,"A",,"A",,"G",5023,"A",,"G",5023,"A",,2
101514,"R",187217,"A",,"A",,"G",6241,"A",,"G",6241,"A",,2
101541,"R",12424,"A",,"A",,"G",414,"A",,"G",414,"A",,2
101569,"R",62791,"A",,"A",,"G",2093,"A",,"G",2093,"A",,2
101587,"R",45153,"A",,"R",11634,"G",1505,"G",485,"G",1505,"G",485,2
101602,"R",39645,"A",,"A",,"G",1322,"A",,"R",1322,"A",,2
101648,"R",7008,"A",,"A",,"G",234,"A",,"R",206,"A",,2
101675,"R",49399,"A",,"A",,"G",1647,"A",,"G",1647,"A",,2
101693,"R",43678,"A",,"R",3672,"G",1456,"G",153,"R",1489,"R",138,2
101709,"R",75215,"A",,"R",8210,"G",2507,"G",342,"G",2507,"G",342,2
101736,"R",107755,"A",,"A",,"G",3592,"A",,"G",3592,"A",,2
101879,"R",136393,"A",,"R",10926,"G",4546,"G",455,"G",4546,"G",455,2
101897,"R",48212,"A",,"A",,"G",1607,"A",,"G",1607,"A",,2
101912,"R",47984,"A",,"A",,"G",1599,"A",,"G",1599,"A",,2
101949,"R",35848,"A",,"A",,"G",1195,"A",,"G",1195,"A",,2
101958,"R",4901,"A",,"A",,"G",109,"A",,"G",109,"A",,2
101994,"R",22191,"A",,"A",,"G",740,"A",,"R",740,"A",,2
102030,"R",117612,"A",,"A",,"G",3920,"A",,"G",3920,"A",,2
102049,"R",90391,"A",,"R",8276,"G",3013,"G",345,"G",3013,"G",345,2
102067,"R",136246,"A",,"A",,"G",4542,"A",,"G",4542,"A",,2
102076,"R",48590,"A",,"A",,"G",1620,"A",,"G",1620,"A",,2
102094,"R",285113,"A",,"R",48201,"G",9504,"G",2008,"R",9504,"R",2074,2
102216,"R",4817,"A",,"A",,"G",107,"A",,"G",107,"A",,2
102234,"R",36705,"A",,"R",2960,"G",1224,"G",123,"G",1224,"G",123,2
102261,"R",5910,"A",,"A",,"G",197,"A",,"G",197,"A",,2
102270,"R",35802,"A",,"A",,"G",1193,"A",,"G",1193,"A",,2
102298,"R",12782,"A",,"A",,"G",426,"A",,"G",426,"A",,2
