unitid,line,section,"lstudy","xefrac01",efrace01,"xefrac02",efrace02,"xefrac03",efrace03,"xefrac04",efrace04,"xefrac05",efrace05,"xefrac06",efrace06,"xefrac07",efrace07,"xefrac08",efrace08,"xefrac09",efrace09,"xefrac10",efrace10,"xefrac11",efrace11,"xefrac12",efrace12,"xefrac13",efrace13,"xefrac14",efrace14,"xefrac15",efrace15,"xefrac16",efrace16
100751,29,3,"4","G",599,"G",283,"G",950,"G",1640,"G",61,"G",57,"G",92,"G",100,"G",84,"G",88,"G",7312,"G",8011,"G",0,"G",0,"G",9098,"G",10179
100760,1,1,"1","R",2,"R",1,"R",9,"R",45,"R",2,"Z",0,"R",1,"R",1,"Z",0,"R",1,"R",130,"R",159,"Z",0,"Z",0,"G",144,"G",207
100760,3,1,"1","G",1,"G",3,"G",18,"G",122,"G",0,"G",3,"G",1,"G",1,"G",0,"G",2,"G",168,"G",279,"G",1,"G",0,"G",189,"G",410
100760,8,1,"1","R",3,"R",4,"R",27,"R",167,"R",2,"R",3,"R",2,"R",2,"Z",0,"R",3,"R",298,"R",438,"R",1,"Z",0,"G",333,"G",617
100760,14,1,"4","G",3,"G",4,"G",27,"G",167,"G",2,"G",3,"G",2,"G",2,"G",0,"G",3,"G",298,"G",438,"G",1,"G",0,"G",333,"G",617
100760,15,2,"1","Z",0,"Z",0,"R",5,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",22,"R",44,"Z",0,"R",1,"G",27,"G",59
100760,17,2,"1","G",0,"G",0,"G",22,"G",94,"G",2,"G",1,"G",1,"G",1,"G",0,"G",3,"G",156,"G",261,"G",0,"G",0,"G",181,"G",360
100760,22,2,"1","Z",0,"Z",0,"R",27,"R",107,"R",2,"R",1,"R",1,"R",1,"Z",0,"R",4,"R",178,"R",305,"Z",0,"R",1,"G",208,"G",419
100760,28,2,"4","G",0,"G",0,"G",27,"G",107,"G",2,"G",1,"G",1,"G",1,"G",0,"G",4,"G",178,"G",305,"G",0,"G",1,"G",208,"G",419
100760,29,3,"4","G",3,"G",4,"G",54,"G",274,"G",4,"G",4,"G",3,"G",3,"G",0,"G",7,"G",476,"G",743,"G",1,"G",1,"G",541,"G",1036
100812,3,1,"1","G",0,"G",0,"G",47,"G",64,"G",1,"G",19,"G",3,"G",3,"G",2,"G",1,"G",270,"G",646,"G",8,"G",12,"G",331,"G",745
100812,8,1,"1","R",0,"R",0,"R",47,"R",64,"R",1,"R",19,"R",3,"R",3,"R",2,"R",1,"R",270,"R",646,"R",8,"R",12,"G",331,"G",745
100812,14,1,"4","G",0,"G",0,"G",47,"G",64,"G",1,"G",19,"G",3,"G",3,"G",2,"G",1,"G",270,"G",646,"G",8,"G",12,"G",331,"G",745
100812,17,2,"1","G",0,"G",0,"G",67,"G",138,"G",11,"G",13,"G",3,"G",6,"G",3,"G",4,"G",465,"G",853,"G",8,"G",15,"G",557,"G",1029
100812,22,2,"1","R",0,"R",0,"R",67,"R",138,"R",11,"R",13,"R",3,"R",6,"R",3,"R",4,"R",465,"R",853,"R",8,"R",15,"G",557,"G",1029
100812,28,2,"4","G",0,"G",0,"G",67,"G",138,"G",11,"G",13,"G",3,"G",6,"G",3,"G",4,"G",465,"G",853,"G",8,"G",15,"G",557,"G",1029
