unitid,line,section,"lstudy","xefrac01",efrace01,"xefrac02",efrace02,"xefrac03",efrace03,"xefrac04",efrace04,"xefrac05",efrace05,"xefrac06",efrace06,"xefrac07",efrace07,"xefrac08",efrace08,"xefrac09",efrace09,"xefrac10",efrace10,"xefrac11",efrace11,"xefrac12",efrace12,"xefrac13",efrace13,"xefrac14",efrace14,"xefrac15",efrace15,"xefrac16",efrace16
100812,29,3,"4","G",0,"G",0,"G",114,"G",202,"G",12,"G",32,"G",6,"G",9,"G",5,"G",5,"G",735,"G",1499,"G",16,"G",27,"G",888,"G",1774
100830,1,1,"1","R",0,"R",0,"R",62,"R",129,"R",1,"R",0,"R",2,"R",8,"R",0,"R",3,"R",142,"R",143,"R",2,"R",1,"G",209,"G",284
100830,3,1,"1","G",16,"G",18,"G",180,"G",498,"G",3,"G",5,"G",12,"G",19,"G",8,"G",10,"G",529,"G",822,"G",5,"G",6,"G",753,"G",1378
100830,8,1,"1","R",16,"R",18,"R",242,"R",627,"R",4,"R",5,"R",14,"R",27,"R",8,"R",13,"R",671,"R",965,"R",7,"R",7,"G",962,"G",1662
100830,11,1,"3","R",5,"R",2,"R",17,"R",59,"R",0,"R",3,"R",3,"R",2,"R",2,"R",0,"R",64,"R",107,"R",0,"R",0,"G",91,"G",173
100830,14,1,"4","G",21,"G",20,"G",259,"G",686,"G",4,"G",8,"G",17,"G",29,"G",10,"G",13,"G",735,"G",1072,"G",7,"G",7,"G",1053,"G",1835
100830,15,2,"1","R",0,"R",0,"R",23,"R",25,"R",0,"R",1,"R",0,"R",4,"R",0,"R",1,"R",25,"R",48,"R",0,"R",2,"G",48,"G",81
100830,17,2,"1","G",1,"G",1,"G",112,"G",278,"G",4,"G",5,"G",10,"G",18,"G",5,"G",19,"G",365,"G",515,"G",2,"G",10,"G",499,"G",846
100830,22,2,"1","R",1,"R",1,"R",135,"R",303,"R",4,"R",6,"R",10,"R",22,"R",5,"R",20,"R",390,"R",563,"R",2,"R",12,"G",547,"G",927
100830,25,2,"3","R",1,"R",5,"R",41,"R",135,"R",1,"R",1,"R",2,"R",2,"R",4,"R",2,"R",135,"R",199,"R",7,"R",3,"G",191,"G",347
100830,28,2,"4","G",2,"G",6,"G",176,"G",438,"G",5,"G",7,"G",12,"G",24,"G",9,"G",22,"G",525,"G",762,"G",9,"G",15,"G",738,"G",1274
100830,29,3,"4","G",23,"G",26,"G",435,"G",1124,"G",9,"G",15,"G",29,"G",53,"G",19,"G",35,"G",1260,"G",1834,"G",16,"G",22,"G",1791,"G",3109
100858,1,1,"1","R",18,"R",4,"R",133,"R",137,"R",5,"R",7,"R",29,"R",16,"R",17,"R",26,"R",1650,"R",1783,"R",3,"R",2,"G",1855,"G",1975
100858,3,1,"1","G",59,"G",41,"G",422,"G",462,"G",32,"G",32,"G",74,"G",70,"G",48,"G",49,"G",5851,"G",5263,"G",4,"G",6,"G",6490,"G",5923
100858,8,1,"1","R",77,"R",45,"R",555,"R",599,"R",37,"R",39,"R",103,"R",86,"R",65,"R",75,"R",7501,"R",7046,"R",7,"R",8,"G",8345,"G",7898
100858,9,1,"2","R",2,"R",1,"R",3,"R",23,"R",2,"R",4,"R",3,"R",16,"R",0,"R",2,"R",219,"R",437,"R",1,"R",0,"G",230,"G",483
100858,11,1,"3","R",226,"R",109,"R",29,"R",65,"R",4,"R",1,"R",3,"R",5,"R",9,"R",7,"R",450,"R",451,"R",10,"R",15,"G",731,"G",653
100858,14,1,"4","G",305,"G",155,"G",587,"G",687,"G",43,"G",44,"G",109,"G",107,"G",74,"G",84,"G",8170,"G",7934,"G",18,"G",23,"G",9306,"G",9034
100858,15,2,"1","R",0,"R",0,"R",1,"R",2,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",12,"R",16,"R",0,"R",0,"G",14,"G",18
100858,17,2,"1","G",21,"G",14,"G",50,"G",65,"G",8,"G",3,"G",17,"G",5,"G",9,"G",3,"G",1103,"G",742,"G",6,"G",5,"G",1214,"G",837
100858,22,2,"1","R",21,"R",14,"R",51,"R",67,"R",8,"R",3,"R",18,"R",5,"R",9,"R",3,"R",1115,"R",758,"R",6,"R",5,"G",1228,"G",855
100858,23,2,"2","R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",6,"R",0,"R",0,"G",5,"G",6
100858,25,2,"3","R",107,"R",58,"R",33,"R",68,"R",3,"R",1,"R",5,"R",9,"R",12,"R",8,"R",631,"R",451,"R",24,"R",16,"G",815,"G",611
100858,28,2,"4","G",128,"G",72,"G",84,"G",135,"G",11,"G",4,"G",23,"G",14,"G",21,"G",11,"G",1751,"G",1215,"G",30,"G",21,"G",2048,"G",1472
100858,29,3,"4","G",433,"G",227,"G",671,"G",822,"G",54,"G",48,"G",132,"G",121,"G",95,"G",95,"G",9921,"G",9149,"G",48,"G",44,"G",11354,"G",10506
100919,1,1,"1","R",0,"R",0,"R",30,"R",31,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",43,"R",28,"R",2,"R",1,"G",75,"G",60
100919,3,1,"1","G",0,"G",0,"G",65,"G",137,"G",0,"G",0,"G",1,"G",1,"G",1,"G",0,"G",101,"G",84,"G",2,"G",4,"G",170,"G",226
100919,8,1,"1","R",0,"R",0,"R",95,"R",168,"R",0,"R",0,"R",1,"R",1,"R",1,"R",0,"R",144,"R",112,"R",4,"R",5,"G",245,"G",286
100919,14,1,"4","G",0,"G",0,"G",95,"G",168,"G",0,"G",0,"G",1,"G",1,"G",1,"G",0,"G",144,"G",112,"G",4,"G",5,"G",245,"G",286
100919,15,2,"1","R",0,"R",0,"R",26,"R",17,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",62,"R",19,"R",3,"R",1,"G",92,"G",38
100919,17,2,"1","G",0,"G",0,"G",125,"G",90,"G",1,"G",1,"G",1,"G",0,"G",3,"G",0,"G",293,"G",120,"G",11,"G",8,"G",434,"G",219
100919,22,2,"1","R",0,"R",0,"R",151,"R",107,"R",2,"R",1,"R",1,"R",1,"R",3,"R",0,"R",355,"R",139,"R",14,"R",9,"G",526,"G",257
100919,28,2,"4","G",0,"G",0,"G",151,"G",107,"G",2,"G",1,"G",1,"G",1,"G",3,"G",0,"G",355,"G",139,"G",14,"G",9,"G",526,"G",257
100919,29,3,"4","G",0,"G",0,"G",246,"G",275,"G",2,"G",1,"G",2,"G",2,"G",4,"G",0,"G",499,"G",251,"G",18,"G",14,"G",771,"G",543
100937,1,1,"1","R",0,"R",0,"R",5,"R",11,"R",0,"R",1,"R",3,"R",3,"R",3,"R",1,"R",109,"R",163,"R",2,"R",1,"G",122,"G",180
100937,3,1,"1","G",1,"G",2,"G",24,"G",84,"G",3,"G",4,"G",20,"G",23,"G",2,"G",1,"G",380,"G",485,"G",1,"G",0,"G",431,"G",599
100937,8,1,"1","R",1,"R",2,"R",29,"R",95,"R",3,"R",5,"R",23,"R",26,"R",5,"R",2,"R",489,"R",648,"R",3,"R",1,"G",553,"G",779
100937,11,1,"3","R",0,"R",1,"R",4,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",19,"R",8,"R",4,"R",1,"G",27,"G",18
100937,14,1,"4","G",1,"G",3,"G",33,"G",103,"G",3,"G",5,"G",23,"G",26,"G",5,"G",2,"G",508,"G",656,"G",7,"G",2,"G",580,"G",797
100937,15,2,"1","R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"G",0,"G",1
100937,17,2,"1","G",0,"G",0,"G",3,"G",18,"G",1,"G",0,"G",0,"G",1,"G",0,"G",0,"G",11,"G",28,"G",0,"G",0,"G",15,"G",47
100937,22,2,"1","R",0,"R",0,"R",3,"R",18,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",11,"R",29,"R",0,"R",0,"G",15,"G",48
100937,25,2,"3","R",0,"R",0,"R",1,"R",5,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",21,"R",7,"R",1,"R",0,"G",24,"G",13
100937,28,2,"4","G",0,"G",0,"G",4,"G",23,"G",2,"G",1,"G",0,"G",1,"G",0,"G",0,"G",32,"G",36,"G",1,"G",0,"G",39,"G",61
100937,29,3,"4","G",1,"G",3,"G",37,"G",126,"G",5,"G",6,"G",23,"G",27,"G",5,"G",2,"G",540,"G",692,"G",8,"G",2,"G",619,"G",858
100973,1,1,"1","Z",0,"Z",0,"R",1,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",12,"Z",0,"Z",0,"G",2,"G",20
100973,3,1,"1","G",0,"G",0,"G",13,"G",15,"G",0,"G",0,"G",0,"G",0,"G",1,"G",1,"G",15,"G",23,"G",1,"G",2,"G",30,"G",41
100973,8,1,"1","Z",0,"Z",0,"R",14,"R",23,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",15,"R",35,"R",1,"R",2,"G",32,"G",61
100973,14,1,"4","G",0,"G",0,"G",14,"G",23,"G",0,"G",0,"G",0,"G",0,"G",2,"G",1,"G",15,"G",35,"G",1,"G",2,"G",32,"G",61
100973,15,2,"1","Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"G",1,"G",6
100973,17,2,"1","G",0,"G",0,"G",7,"G",9,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",14,"G",22,"G",1,"G",0,"G",22,"G",31
100973,22,2,"1","Z",0,"Z",0,"R",7,"R",11,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",15,"R",25,"R",1,"Z",0,"G",23,"G",37
100973,28,2,"4","G",0,"G",0,"G",7,"G",11,"G",0,"G",0,"G",0,"G",1,"G",0,"G",0,"G",15,"G",25,"G",1,"G",0,"G",23,"G",37
100973,29,3,"4","G",0,"G",0,"G",21,"G",34,"G",0,"G",0,"G",0,"G",1,"G",2,"G",1,"G",30,"G",60,"G",2,"G",2,"G",55,"G",98
101028,1,1,"1","R",0,"R",0,"R",34,"R",63,"R",0,"R",0,"R",0,"R",3,"R",7,"R",9,"R",67,"R",85,"R",1,"R",2,"G",109,"G",162
101028,3,1,"1","G",0,"G",0,"G",39,"G",143,"G",2,"G",0,"G",2,"G",0,"G",10,"G",10,"G",108,"G",184,"G",2,"G",11,"G",163,"G",348
101240,15,2,"1","R",21,"R",11,"R",21,"R",31,"R",2,"R",1,"R",0,"R",1,"R",1,"R",1,"R",105,"R",140,"R",0,"R",0,"G",150,"G",185
101240,17,2,"1","G",25,"G",13,"G",101,"G",187,"G",2,"G",5,"G",1,"G",8,"G",7,"G",7,"G",604,"G",844,"G",3,"G",6,"G",743,"G",1070
101240,22,2,"1","R",46,"R",24,"R",122,"R",218,"R",4,"R",6,"R",1,"R",9,"R",8,"R",8,"R",709,"R",984,"R",3,"R",6,"G",893,"G",1255
101240,28,2,"4","G",46,"G",24,"G",122,"G",218,"G",4,"G",6,"G",1,"G",9,"G",8,"G",8,"G",709,"G",984,"G",3,"G",6,"G",893,"G",1255
101240,29,3,"4","G",150,"G",85,"G",339,"G",497,"G",12,"G",15,"G",5,"G",13,"G",18,"G",20,"G",1561,"G",2056,"G",6,"G",10,"G",2091,"G",2696
101268,1,1,"1","P",0,"P",0,"P",2,"P",64,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",4,"P",97,"P",0,"P",0,"G",6,"G",161
101268,3,1,"1","G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0
101268,8,1,"1","P",0,"P",0,"P",2,"C",64,"P",0,"P",0,"P",0,"P",0,"P",0,"P",0,"P",4,"P",97,"P",0,"P",0,"G",6,"G",161
101268,14,1,"4","G",0,"G",0,"G",2,"G",64,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",4,"G",97,"G",0,"G",0,"G",6,"G",161
101268,29,3,"4","G",0,"G",0,"G",2,"G",64,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",4,"G",97,"G",0,"G",0,"G",6,"G",161
101286,1,1,"1","R",1,"R",0,"R",51,"R",94,"R",3,"R",1,"R",3,"R",4,"R",5,"R",3,"R",239,"R",222,"R",7,"R",2,"G",309,"G",326
101286,3,1,"1","G",7,"G",0,"G",159,"G",347,"G",3,"G",1,"G",12,"G",10,"G",11,"G",8,"G",505,"G",534,"G",6,"G",5,"G",703,"G",905
101286,8,1,"1","R",8,"R",0,"R",210,"R",441,"R",6,"R",2,"R",15,"R",14,"R",16,"R",11,"R",744,"R",756,"R",13,"R",7,"G",1012,"G",1231
101286,14,1,"4","G",8,"G",0,"G",210,"G",441,"G",6,"G",2,"G",15,"G",14,"G",16,"G",11,"G",744,"G",756,"G",13,"G",7,"G",1012,"G",1231
101286,15,2,"1","R",0,"R",0,"R",10,"R",14,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",54,"R",64,"R",0,"R",1,"G",64,"G",81
101286,17,2,"1","G",5,"G",1,"G",83,"G",159,"G",5,"G",3,"G",3,"G",4,"G",6,"G",5,"G",403,"G",542,"G",3,"G",2,"G",508,"G",716
101286,22,2,"1","R",5,"R",1,"R",93,"R",173,"R",5,"R",3,"R",3,"R",5,"R",6,"R",6,"R",457,"R",606,"R",3,"R",3,"G",572,"G",797
101286,28,2,"4","G",5,"G",1,"G",93,"G",173,"G",5,"G",3,"G",3,"G",5,"G",6,"G",6,"G",457,"G",606,"G",3,"G",3,"G",572,"G",797
101286,29,3,"4","G",13,"G",1,"G",303,"G",614,"G",11,"G",5,"G",18,"G",19,"G",22,"G",17,"G",1201,"G",1362,"G",16,"G",10,"G",1584,"G",2028
101295,1,1,"1","R",6,"Z",0,"R",16,"R",11,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",161,"R",238,"Z",0,"Z",0,"G",185,"G",251
101295,3,1,"1","G",16,"G",1,"G",46,"G",50,"G",3,"G",4,"G",1,"G",5,"G",0,"G",3,"G",740,"G",1247,"G",0,"G",0,"G",806,"G",1310
101295,8,1,"1","R",22,"R",1,"R",62,"R",61,"R",4,"R",5,"R",1,"R",5,"R",1,"R",4,"R",901,"R",1485,"Z",0,"Z",0,"G",991,"G",1561
101295,14,1,"4","G",22,"G",1,"G",62,"G",61,"G",4,"G",5,"G",1,"G",5,"G",1,"G",4,"G",901,"G",1485,"G",0,"G",0,"G",991,"G",1561
101295,15,2,"1","Z",0,"Z",0,"R",1,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",67,"R",81,"Z",0,"Z",0,"G",69,"G",83
101295,17,2,"1","G",1,"G",1,"G",22,"G",14,"G",1,"G",2,"G",4,"G",4,"G",5,"G",7,"G",775,"G",1156,"G",0,"G",0,"G",808,"G",1184
101295,22,2,"1","R",1,"R",1,"R",23,"R",16,"R",2,"R",2,"R",4,"R",4,"R",5,"R",7,"R",842,"R",1237,"Z",0,"Z",0,"G",877,"G",1267
101295,28,2,"4","G",1,"G",1,"G",23,"G",16,"G",2,"G",2,"G",4,"G",4,"G",5,"G",7,"G",842,"G",1237,"G",0,"G",0,"G",877,"G",1267
101295,29,3,"4","G",23,"G",2,"G",85,"G",77,"G",6,"G",7,"G",5,"G",9,"G",6,"G",11,"G",1743,"G",2722,"G",0,"G",0,"G",1868,"G",2828
101301,1,1,"1","Z",0,"Z",0,"R",55,"R",117,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",65,"R",63,"R",1,"Z",0,"G",122,"G",181
101301,3,1,"1","G",0,"G",0,"G",114,"G",244,"G",0,"G",0,"G",0,"G",0,"G",0,"G",1,"G",98,"G",118,"G",0,"G",0,"G",212,"G",363
101301,8,1,"1","Z",0,"Z",0,"R",169,"R",361,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",1,"R",163,"R",181,"R",1,"Z",0,"G",334,"G",544
101301,14,1,"4","G",0,"G",0,"G",169,"G",361,"G",0,"G",0,"G",0,"G",1,"G",1,"G",1,"G",163,"G",181,"G",1,"G",0,"G",334,"G",544
101301,15,2,"1","Z",0,"Z",0,"R",5,"R",13,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",23,"R",21,"Z",0,"Z",0,"G",29,"G",35
101301,17,2,"1","G",0,"G",0,"G",33,"G",131,"G",0,"G",0,"G",2,"G",2,"G",0,"G",1,"G",137,"G",197,"G",0,"G",0,"G",172,"G",331
101301,22,2,"1","Z",0,"Z",0,"R",38,"R",144,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"R",2,"R",160,"R",218,"Z",0,"Z",0,"G",201,"G",366
101301,28,2,"4","G",0,"G",0,"G",38,"G",144,"G",0,"G",0,"G",3,"G",2,"G",0,"G",2,"G",160,"G",218,"G",0,"G",0,"G",201,"G",366
101301,29,3,"4","G",0,"G",0,"G",207,"G",505,"G",0,"G",0,"G",3,"G",3,"G",1,"G",3,"G",323,"G",399,"G",1,"G",0,"G",535,"G",910
101347,1,1,"1","R",0,"R",0,"R",5,"R",32,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",36,"R",56,"R",1,"R",6,"G",42,"G",94
101347,3,1,"1","G",0,"G",0,"G",42,"G",128,"G",1,"G",1,"G",0,"G",1,"G",1,"G",1,"G",115,"G",157,"G",5,"G",12,"G",164,"G",300
101347,8,1,"1","R",0,"R",0,"R",47,"R",160,"R",1,"R",1,"R",0,"R",1,"R",1,"R",1,"R",151,"R",213,"R",6,"R",18,"G",206,"G",394
101347,14,1,"4","G",0,"G",0,"G",47,"G",160,"G",1,"G",1,"G",0,"G",1,"G",1,"G",1,"G",151,"G",213,"G",6,"G",18,"G",206,"G",394
101347,15,2,"1","R",0,"R",0,"R",9,"R",37,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",46,"R",41,"R",3,"R",4,"G",58,"G",84
101347,17,2,"1","G",0,"G",0,"G",23,"G",63,"G",1,"G",0,"G",3,"G",2,"G",1,"G",0,"G",136,"G",134,"G",2,"G",5,"G",166,"G",204
101347,22,2,"1","R",0,"R",0,"R",32,"R",100,"R",1,"R",1,"R",3,"R",3,"R",1,"R",0,"R",182,"R",175,"R",5,"R",9,"G",224,"G",288
101347,28,2,"4","G",0,"G",0,"G",32,"G",100,"G",1,"G",1,"G",3,"G",3,"G",1,"G",0,"G",182,"G",175,"G",5,"G",9,"G",224,"G",288
101347,29,3,"4","G",0,"G",0,"G",79,"G",260,"G",2,"G",2,"G",3,"G",4,"G",2,"G",1,"G",333,"G",388,"G",11,"G",27,"G",430,"G",682
101365,1,1,"1","Z",0,"Z",0,"R",20,"R",17,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",49,"R",16,"Z",0,"Z",0,"G",69,"G",33
101365,3,1,"1","G",0,"G",0,"G",60,"G",51,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",143,"G",44,"G",0,"G",0,"G",203,"G",95
101365,8,1,"1","Z",0,"Z",0,"R",80,"R",68,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",192,"R",60,"Z",0,"Z",0,"G",272,"G",128
101365,14,1,"4","G",0,"G",0,"G",80,"G",68,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",192,"G",60,"G",0,"G",0,"G",272,"G",128
101365,15,2,"1","Z",0,"Z",0,"R",5,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",4,"Z",0,"Z",0,"G",17,"G",8
101365,17,2,"1","G",0,"G",0,"G",21,"G",19,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",53,"G",16,"G",0,"G",0,"G",74,"G",35
101365,22,2,"1","Z",0,"Z",0,"R",26,"R",23,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",65,"R",20,"Z",0,"Z",0,"G",91,"G",43
101365,28,2,"4","G",0,"G",0,"G",26,"G",23,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",65,"G",20,"G",0,"G",0,"G",91,"G",43
101365,29,3,"4","G",0,"G",0,"G",106,"G",91,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",257,"G",80,"G",0,"G",0,"G",363,"G",171
101435,1,1,"1","R",1,"R",3,"R",1,"R",7,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"R",52,"R",82,"R",2,"Z",0,"G",56,"G",95
101435,3,1,"1","G",10,"G",9,"G",5,"G",26,"G",1,"G",3,"G",3,"G",6,"G",0,"G",0,"G",143,"G",234,"G",0,"G",0,"G",162,"G",278
101435,8,1,"1","R",11,"R",12,"R",6,"R",33,"R",1,"R",5,"R",3,"R",6,"Z",0,"R",1,"R",195,"R",316,"R",2,"Z",0,"G",218,"G",373
101435,14,1,"4","G",11,"G",12,"G",6,"G",33,"G",1,"G",5,"G",3,"G",6,"G",0,"G",1,"G",195,"G",316,"G",2,"G",0,"G",218,"G",373
101435,17,2,"1","G",0,"G",0,"G",0,"G",3,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",21,"G",37,"G",2,"G",3,"G",23,"G",43
101435,22,2,"1","Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",37,"R",2,"R",3,"G",23,"G",43
101435,28,2,"4","G",0,"G",0,"G",0,"G",3,"G",0,"G",0,"G",0,"G",0,"G",0,"G",0,"G",21,"G",37,"G",2,"G",3,"G",23,"G",43
101435,29,3,"4","G",11,"G",12,"G",6,"G",36,"G",1,"G",5,"G",3,"G",6,"G",0,"G",1,"G",216,"G",353,"G",4,"G",3,"G",241,"G",416
101453,1,1,"1","R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",1,"Z",0,"G",6,"G",1
101453,3,1,"1","G",4,"G",0,"G",4,"G",1,"G",0,"G",0,"G",0,"G",0,"G",1,"G",0,"G",27,"G",5,"G",0,"G",0,"G",36,"G",6
101453,8,1,"1","R",8,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",28,"R",6,"R",1,"Z",0,"G",42,"G",7
101453,11,1,"3","R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"G",5,"G",1
101453,14,1,"4","G",9,"G",0,"G",4,"G",1,"G",0,"G",0,"G",0,"G",0,"G",1,"G",0,"G",32,"G",7,"G",1,"G",0,"G",47,"G",8
101453,15,2,"1","Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"G",7,"G",1
101453,17,2,"1","G",1,"G",0,"G",2,"G",1,"G",0,"G",0,"G",0,"G",0,"G",1,"G",0,"G",26,"G",7,"G",0,"G",0,"G",30,"G",8
101453,22,2,"1","R",1,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",30,"R",8,"Z",0,"Z",0,"G",37,"G",9
101453,25,2,"3","R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"G",9,"G",0
101541,22,2,"1","Z",0,"Z",0,"Z",0,"R",15,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",4,"R",34,"Z",0,"Z",0,"G",5,"G",50
101541,28,2,"4","G",0,"G",0,"G",0,"G",15,"G",0,"G",0,"G",0,"G",1,"G",1,"G",0,"G",4,"G",34,"G",0,"G",0,"G",5,"G",50
101541,29,3,"4","G",0,"G",3,"G",0,"G",44,"G",0,"G",0,"G",0,"G",2,"G",1,"G",0,"G",6,"G",265,"G",0,"G",0,"G",7,"G",314
101569,1,1,"1","Z",0,"Z",0,"R",88,"R",262,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"G",89,"G",262
101569,3,1,"1","G",0,"G",0,"G",215,"G",455,"G",0,"G",0,"G",0,"G",1,"G",0,"G",1,"G",13,"G",0,"G",2,"G",0,"G",230,"G",457
