UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
100654,"R",138111,"A",,"R",17782,"G",4604,"G",741,"G",4604,"G",741,2
100663,"R",288402,"A",,"R",102905,"G",9613,"G",4288,"G",9613,"G",4288,2
100690,"R",10372,"A",,"R",5552,"G",346,"G",231,"G",346,"G",231,2
100706,"R",147116,"A",,"R",21304,"G",4904,"G",888,"R",4904,"R",933,2
100724,"R",141087,"A",,"R",17651,"G",4703,"G",735,"G",4703,"G",735,2
100751,"R",618221,"A",,"R",70449,"G",20607,"G",2935,"G",20607,"G",2935,2
100760,"R",56526,"A",,"A",,"G",1884,"A",,"G",1884,"A",,2
100812,"R",76904,"A",,"A",,"G",2563,"A",,"G",2563,"A",,2
100830,"R",110971,"A",,"R",12862,"G",3699,"G",536,"G",3699,"G",536,2
100858,"R",571451,"A",,"R",65488,"G",19048,"G",2729,"G",19048,"G",2729,2
100937,"R",47159,"A",,"R",534,"G",1572,"G",22,"R",1310,"R",22,2
101028,"R",34747,"A",,"A",,"G",1158,"A",,"G",1158,"A",,2
101073,"R",18807,"A",,"A",,"G",627,"A",,"G",627,"A",,2
101116,"R",23007,"A",,"R",919,"G",511,"G",26,"G",511,"G",26,2
101143,"R",57892,"A",,"A",,"G",1930,"A",,"G",1930,"A",,2
101161,"R",93207,"A",,"A",,"G",3107,"A",,"R",3071,"A",,2
101189,"R",81323,"A",,"R",3451,"G",2711,"G",144,"G",2711,"G",144,2
101240,"R",137496,"A",,"A",,"G",4583,"A",,"G",4583,"A",,2
101286,"R",94485,"A",,"A",,"G",3150,"A",,"G",3150,"A",,2
101295,"R",138629,"A",,"A",,"G",4621,"A",,"G",4621,"A",,2
101301,"R",51007,"A",,"A",,"G",1700,"A",,"G",1700,"A",,2
101365,"R",12640,"A",,"A",,"G",421,"A",,"G",421,"A",,2
101435,"R",26757,"A",,"A",,"G",892,"A",,"G",892,"A",,2
101453,"R",1432,"A",,"R",152,"G",48,"G",6,"G",48,"G",6,2
101462,"R",20938,"A",,"A",,"G",698,"A",,"G",698,"A",,2
101471,"R",21762,"A",,"A",,"G",725,"A",,"G",725,"A",,2
101480,"R",198395,"A",,"R",23275,"G",6613,"G",970,"G",6613,"G",970,2
101499,"R",32312,"A",,"A",,"G",1077,"A",,"G",1077,"A",,2
101505,"R",168049,"A",,"A",,"G",5602,"A",,"G",5602,"A",,2
101514,"R",197934,"A",,"A",,"G",6598,"A",,"G",6598,"A",,2
101541,"R",8844,"A",,"A",,"G",295,"A",,"R",369,"A",,2
101569,"R",79712,"A",,"A",,"G",2657,"A",,"G",2657,"A",,2
101587,"R",54331,"A",,"R",50884,"G",1811,"G",2120,"G",1811,"G",2120,2
101602,"R",41636,"A",,"A",,"G",1388,"A",,"G",1388,"A",,2
101648,"R",11946,"A",,"A",,"G",398,"A",,"G",398,"A",,2
101675,"R",55692,"A",,"A",,"G",1856,"A",,"G",1856,"A",,2
101693,"R",37898,"A",,"R",3199,"G",1263,"G",133,"G",1263,"G",133,2
101709,"R",70870,"A",,"R",7710,"G",2362,"G",321,"G",2362,"G",321,2
101736,"R",84989,"A",,"A",,"G",2833,"A",,"G",2833,"A",,2
101879,"R",154406,"A",,"R",23393,"G",5147,"G",975,"G",5147,"G",975,2
101897,"R",59578,"A",,"A",,"G",1986,"A",,"G",1986,"A",,2
101912,"R",49552,"A",,"A",,"G",1652,"A",,"G",1652,"A",,2
101949,"R",34536,"A",,"A",,"G",1151,"A",,"G",1151,"A",,2
101958,"R",1080,"A",,"A",,"G",24,"A",,"G",24,"A",,2
101994,"R",15385,"A",,"A",,"G",513,"A",,"G",513,"A",,2
102030,"R",55426,"A",,"A",,"G",1848,"A",,"G",1848,"A",,2
102049,"R",89634,"A",,"R",9606,"G",2988,"G",400,"G",2988,"G",400,2
102058,"R",3840,"A",,"R",420,"G",128,"G",18,"G",128,"G",18,2
102067,"R",127333,"A",,"A",,"G",4244,"A",,"G",4244,"A",,2
102076,"R",52891,"A",,"A",,"G",1763,"A",,"G",1763,"A",,2
102094,"R",292007,"A",,"R",57961,"G",9734,"G",2415,"R",9734,"R",2548,2
102234,"R",40608,"A",,"R",2610,"G",1354,"G",109,"G",1354,"G",109,2
102261,"R",5312,"A",,"A",,"G",177,"A",,"G",177,"A",,2
102270,"R",27270,"A",,"A",,"G",909,"A",,"G",909,"A",,2
102298,"R",21035,"A",,"A",,"G",701,"A",,"G",701,"A",,2
102313,"R",36290,"A",,"A",,"G",1210,"A",,"G",1210,"A",,2
102368,"R",470571,"A",,"R",126446,"G",15686,"G",5269,"G",15686,"G",5269,2
102377,"R",97111,"A",,"R",6999,"G",3237,"G",292,"G",3237,"G",292,2
102395,"R",3213,"A",,"R",8505,"G",107,"G",354,"G",107,"G",354,2
102429,"R",100419,"A",,"A",,"G",3347,"A",,"G",3347,"A",,2
102553,"R",315096,"A",,"R",13692,"G",10503,"G",571,"R",10605,"R",563,2
102614,"R",150593,"A",,"R",16244,"G",5020,"G",677,"R",5062,"R",658,2
102632,"R",42098,"A",,"R",5112,"G",1403,"G",213,"R",1435,"R",209,2
102669,"R",12289,"A",,"R",3612,"G",410,"G",151,"G",410,"G",151,2
102711,"A",,"R",318018,"A",,"G",353,"A",,"G",353,"A",,1
102845,"R",27270,"A",,"A",,"G",606,"A",,"G",606,"A",,2
103361,"R",8550,"A",,"A",,"G",285,"A",,"R",286,"A",,2
103501,"A",,"R",378292,"A",,"G",420,"A",,"G",420,"A",,1
103644,"R",112368,"R",135120,"A",,"G",2647,"A",,"R",3308,"A",,3
103723,"R",77005,"A",,"A",,"G",2567,"A",,"R",2567,"A",,2
103732,"A",,"R",69900,"A",,"G",78,"A",,"G",78,"A",,1
103741,"A",,"R",253048,"A",,"G",281,"A",,"G",281,"A",,1
103778,"A",,"A",,"R",33565,"A",,"G",1399,"A",,"R",1023,2
103787,"R",1973,"A",,"A",,"G",66,"A",,"G",66,"A",,2
103811,"A",,"R",408000,"A",,"G",453,"A",,"G",453,"A",,1
103893,"R",152308,"A",,"A",,"G",5077,"A",,"G",5077,"A",,2
103945,"R",6000,"A",,"A",,"G",200,"A",,"G",200,"A",,2
103954,"A",,"R",55880,"A",,"G",62,"A",,"G",62,"A",,1
103963,"R",22936,"A",,"A",,"G",510,"A",,"G",510,"A",,2
104090,"R",53162,"A",,"A",,"G",1772,"A",,"G",1772,"A",,2
104151,"R",1375981,"A",,"R",230877,"G",45866,"G",9620,"G",45866,"G",9620,2
104160,"R",132735,"A",,"A",,"G",4425,"A",,"G",4425,"A",,2
