unitid,"xcdactua",cdactua,"xcnactua",cnactua,"xcdactga",cdactga
100654,"R",150829,"A",,"R",21730
100663,"R",271674,"R",0,"R",87082
100690,"R",7495,"A",,"R",4432
100706,"R",129471,"A",,"R",20547
100724,"R",136013,"A",,"R",16198
100751,"R",436496,"A",,"R",80668
100760,"R",42977,"A",,"A",
100812,"R",60624,"R",0,"R",0
100830,"R",107919,"R",0,"R",13029
100858,"R",574073,"A",,"R",77208
100919,"R",31680,"A",,"R",0
100937,"R",20513,"A",,"R",548
100973,"R",7847,"A",,"R",0
101028,"R",45640,"A",,"A",
101073,"R",39976,"A",,"A",
101107,"R",16411,"A",,"A",
101116,"R",12438,"A",,"A",
101143,"R",40368,"A",,"A",
101161,"R",77949,"A",,"A",
101189,"R",79180,"A",,"R",1593
101231,"A",,"R",262080,"A",
101240,"R",135654,"A",,"A",
101286,"R",118670,"A",,"A",
101295,"R",121188,"A",,"A",
101301,"R",18643,"A",,"A",
101347,"R",36256,"R",0,"R",0
101365,"R",21019,"R",0,"R",0
101435,"R",18428,"R",0,"R",0
101453,"R",2688,"A",,"R",183
101462,"R",18128,"A",,"A",
101471,"R",19399,"A",,"A",
101480,"R",195936,"R",0,"R",24770
101499,"R",21649,"A",,"A",
101505,"R",131053,"A",,"A",
101514,"R",172533,"A",,"A",
101523,"R",27343,"A",,"A",
101541,"R",11783,"A",,"A",
101569,"R",51125,"R",0,"R",0
101587,"R",45990,"A",,"R",5516
101602,"R",22401,"A",,"A",
101648,"R",10496,"R",0,"R",0
101675,"R",51527,"R",0,"R",0
101693,"R",47163,"A",,"R",3171
101709,"R",72724,"A",,"R",5623
101736,"R",100759,"R",0,"R",0
101879,"R",132892,"A",,"R",10042
101897,"R",44070,"R",0,"A",
101912,"R",51080,"A",,"A",
101949,"R",34604,"A",,"A",
101958,"R",5207,"R",0,"R",0
101994,"R",19544,"R",0,"R",0
102030,"R",108598,"A",,"A",
102049,"R",90880,"A",,"R",7642
102067,"R",143104,"A",,"R",0
102076,"R",43102,"A",,"R",0
102094,"R",263601,"A",,"R",42507
102216,"R",4034,"A",,"A",
102234,"R",33315,"R",0,"R",2548
102261,"R",4948,"R",0,"A",
102270,"R",38805,"A",,"A",
102298,"R",12491,"R",0,"R",0
102313,"R",17599,"A",,"A",
102322,"R",39512,"A",,"R",5878
102359,"R",52128,"A",,"R",6842
102368,"R",191699,"A",,"R",95558
102377,"R",41101,"A",,"R",5063
102395,"R",0,"R",0,"R",5868
102429,"R",95951,"A",,"A",
102553,"R",272566,"A",,"R",10442
102614,"R",134448,"A",,"R",14003
102632,"R",46702,"A",,"R",2285
102669,"R",12333,"A",,"R",3523
102711,"Z",0,"R",340082,"A",
102845,"R",19418,"Z",0,"A",
103361,"R",9160,"A",,"A",
103440,"R",4131,"A",,"A",
103501,"A",,"R",253990,"A",
103644,"R",4523,"R",0,"R",0
103723,"R",0,"R",2033200,"R",0
103732,"A",,"R",81050,"A",
103741,"A",,"R",308300,"A",
103778,"R",0,"R",0,"R",41843
103787,"R",2280,"A",,"A",
103811,"A",,"R",311880,"A",
103893,"R",44983,"R",0,"R",0
103945,"R",219,"R",3320,"A",
103954,"A",,"R",121600,"A",
103963,"R",75,"R",960,"R",0
104090,"R",6225,"R",203184,"R",0
104151,"R",928852,"A",,"R",156046
104160,"R",91479,"A",,"A",
104179,"R",692126,"A",,"R",127484
104188,"K",11373,"K",0,"K",0
104294,"A",,"R",165240,"A",
104346,"R",105213,"A",,"A",
104364,"R",22506,"R",0,"R",0
104391,"Z",0,"R",97344,"A",
104425,"R",102584,"A",,"A",
104434,"A",,"R",95200,"A",
104443,"A",,"R",163650,"A",
104504,"Z",0,"R",138214,"A",
104522,"Z",0,"R",51600,"A",
104531,"R",135235,"A",,"R",7756
104568,"A",,"R",85185,"A",
104577,"R",106451,"A",,"A",
104586,"R",50534,"A",,"R",354
104708,"R",292794,"A",,"A",
104717,"R",42522,"A",,"R",49201
104805,"R",7240,"R",1689000,"A",
104911,"A",,"R",92766,"A",
104984,"R",0,"R",106520,"A",
105118,"R",17709,"R",1440,"R",0
105127,"R",0,"R",139200,"R",0
105145,"R",91461,"A",,"A",
105154,"R",401232,"A",,"A",
105163,"R",11487,"A",,"A",
105172,"R",19783,"A",,"A",
105206,"R",48871,"R",0,"R",0
105215,"R",0,"R",103425,"R",0
105242,"R",0,"R",67960,"R",0
105297,"R",36415,"A",,"A",
105330,"R",382079,"A",,"R",100543
105349,"R",61705,"A",,"A",
105367,"R",29281,"R",0,"R",14246
105419,"A",,"R",237950,"A",
105428,"R",188916,"A",,"A",
105482,"R",0,"R",274800,"R",0
105516,"R",47573,"Z",0,"R",57512
105525,"R",528450,"R",340480,"A",
105534,"R",705,"R",248018,"A",
105543,"R",750,"R",307476,"A",
105589,"R",37990,"R",0,"R",5778
105659,"R",19127,"R",0,"R",0
105668,"R",246036,"A",,"A",
105677,"A",,"R",61600,"A",
105701,"P",0,"P",41560,"P",0
105747,"R",173523,"A",,"A",
105792,"R",48999,"A",,"A",
105880,"R",2240,"A",,"R",42930
105899,"R",8042,"A",,"A",
105987,"R",6126,"R",151180,"A",
106041,"R",74002,"R",1316360,"R",0
106050,"R",7452,"A",,"A",
106102,"R",32230,"A",,"R",7981
106111,"A",,"R",170800,"A",
106148,"R",93934,"A",,"A",
106245,"R",227543,"A",,"R",29996
106263,"R",17852,"R",0,"R",5811
106281,"A",,"R",34539,"A",
106306,"R",4191,"R",0,"R",0
106315,"A",,"R",79500,"A",
106342,"R",14404,"A",,"A",
106351,"R",0,"R",52040,"R",0
106360,"A",,"R",59100,"A",
106397,"R",354599,"A",,"R",55962
106412,"R",88947,"A",,"R",1827
106449,"R",61281,"R",0,"R",0
106458,"R",250841,"A",,"R",16855
106467,"R",147465,"R",0,"R",9809
106476,"R",16967,"R",509037,"R",0
106485,"R",61025,"A",,"R",2627
106494,"A",,"R",134250,"A",
106546,"R",12097,"R",367517,"R",0
106607,"R",0,"R",55200,"R",0
106625,"R",20318,"A",,"A",
106704,"R",217420,"A",,"R",21193
106713,"R",10501,"A",,"A",
106759,"R",0,"R",16524,"R",0
106795,"R",18661,"A",,"A",
106801,"R",12204,"R",290780,"A",
106810,"R",3686,"A",,"A",
106829,"R",8238,"A",,"A",
106838,"R",0,"R",34500,"R",0
106883,"R",30030,"A",,"A",
106892,"A",,"R",217094,"A",
106908,"A",,"R",17540,"A",
106935,"R",9425,"A",,"A",
106944,"R",2821,"A",,"A",
106980,"R",43994,"R",0,"R",0
106999,"R",29746,"A",,"A",
107017,"R",1662,"R",13996,"A",
107035,"R",0,"A",,"R",2539
107044,"R",119537,"A",,"R",8822
107071,"R",46926,"A",,"R",2150
107080,"R",32588,"R",0,"R",123
107099,"A",,"R",73500,"A",
107123,"R",0,"R",73696,"R",0
107141,"R",44914,"A",,"R",1786
107211,"Z",0,"R",84000,"A",
107220,"A",,"R",75309,"A",
107275,"A",,"R",23295,"A",
107293,"R",0,"R",34525,"R",0
107318,"R",19235,"R",0,"R",0
107327,"R",41948,"R",0,"R",0
107363,"R",0,"R",39000,"R",0
107442,"A",,"R",44639,"A",
107460,"R",42404,"A",,"R",0
107488,"R",13965,"R",131457,"A",
107512,"R",49707,"R",0,"R",0
107521,"R",19113,"A",,"A",
107549,"R",18284,"A",,"A",
107558,"R",18536,"A",,"A",
107585,"R",31742,"R",0,"R",0
107600,"R",21092,"A",,"A",
107619,"R",44971,"A",,"A",
107637,"R",46813,"A",,"A",
107655,"A",,"R",78000,"A",
107664,"R",110244,"R",0,"A",
107673,"R",6903,"R",189854,"A",
107725,"R",25104,"A",,"A",
107743,"R",12012,"R",137056,"A",
107789,"R",0,"R",79866,"R",0
107831,"A",,"R",100000,"A",
107877,"R",17404,"A",,"A",
107886,"A",,"R",42000,"A",
107974,"R",25391,"R",0,"R",0
107983,"R",83731,"R",5337,"R",2895
107992,"R",23296,"R",271977,"A",
108065,"K",0,"K",16400,"K",0
108092,"R",114729,"A",,"A",
108199,"R",0,"R",500000,"R",0
108232,"R",134673,"A",,"R",16181
108250,"R",28251,"A",,"A",
108269,"A",,"R",2970,"R",2640
108287,"R",11429,"R",228580,"R",0
108348,"R",3996,"R",69120,"A",
108393,"A",,"R",142875,"A",
108649,"R",0,"R",81436,"R",0
108667,"R",80870,"R",8399,"R",0
108807,"R",161811,"R",267418,"R",0
108852,"R",5269,"A",,"A",
108861,"A",,"A",,"R",79
108870,"A",,"A",,"R",7668
108977,"Z",0,"R",51318,"A",
109013,"R",5749,"R",0,"R",1262
109040,"R",0,"R",985024,"R",0
109086,"R",1324,"A",,"R",1659
109208,"R",418057,"R",425662,"R",0
109332,"A",,"R",472640,"R",0
109350,"R",187896,"R",10127,"R",0
109651,"R",58710,"A",,"R",4482
109721,"A",,"R",22126,"A",
109730,"R",3888,"R",116640,"A",
109749,"R",1668,"R",50040,"A",
109785,"R",113394,"A",,"R",57010
109819,"R",255521,"R",184035,"R",0
109907,"R",47803,"R",41275,"R",0
109934,"R",0,"R",217600,"R",0
110051,"R",12596,"R",7020,"R",1210
110060,"R",2394,"A",,"R",879
110097,"R",84823,"A",,"R",19923
110176,"R",86310,"R",1687840,"R",0
110185,"R",39027,"R",0,"R",462
110194,"R",2359,"Z",0,"A",
110219,"Z",0,"R",7176,"A",
110246,"R",216185,"R",235910,"R",0
110307,"R",0,"R",0,"R",6502
110316,"R",2152,"R",0,"R",22152
110325,"R",10846,"R",472474,"A",
110334,"R",239958,"R",160079,"R",0
110361,"R",46823,"A",,"R",9681
110370,"R",29742,"R",0,"R",3488
110398,"A",,"A",,"R",35584
110404,"R",29871,"R",0,"R",45851
110413,"R",53140,"A",,"R",15450
110422,"R",746443,"A",,"R",21562
110440,"A",,"A",,"R",4099
110459,"R",0,"R",0,"R",17057
110468,"R",22595,"A",,"R",32446
110477,"A",,"A",,"R",13943
110486,"R",246095,"A",,"R",27597
110495,"R",172595,"A",,"R",12631
110510,"R",485037,"A",,"R",94897
110529,"R",736734,"A",,"R",28476
110538,"R",429819,"A",,"R",13821
110547,"R",228467,"A",,"R",39387
110556,"R",461604,"A",,"R",32375
110565,"R",664362,"A",,"R",41363
110574,"R",476661,"A",,"R",53031
110583,"R",750584,"A",,"R",48938
110592,"R",670437,"A",,"R",59190
110608,"R",620068,"A",,"R",78354
110617,"R",572358,"A",,"R",62910
110635,"R",671810,"A",,"R",209867
110644,"R",883369,"A",,"R",201592
110653,"R",785833,"A",,"R",161207
110662,"R",1031420,"A",,"R",357646
110671,"R",519861,"A",,"R",66546
110680,"R",766409,"A",,"R",149510
110699,"R",1530,"A",,"R",91548
110705,"R",748270,"A",,"R",100960
110714,"R",524553,"A",,"R",40513
110778,"R",0,"R",0,"R",8290
110875,"Z",0,"R",289600,"A",
110918,"R",1830,"A",,"R",0
110945,"R",2696,"A",,"A",
111009,"A",,"R",15249360,"A",
111054,"R",0,"R",234000,"R",0
111081,"R",23610,"A",,"R",10800
111188,"R",23700,"A",,"R",0
111230,"R",5387,"R",190409,"A",
111391,"R",0,"R",0,"R",863
111434,"R",64214,"R",25868,"R",0
111461,"R",196991,"R",23696,"R",0
111513,"R",0,"R",234067,"R",0
111638,"R",0,"R",454535,"R",0
111708,"A",,"R",79974,"A",
111717,"A",,"R",449615,"A",
111726,"A",,"R",191127,"A",
111744,"A",,"R",26260,"A",
111762,"A",,"R",99172,"A",
111771,"A",,"R",137354,"A",
111799,"A",,"R",63321,"A",
111805,"R",0,"R",24074,"R",0
111887,"R",377654,"R",175564,"R",0
111896,"R",66229,"R",44606,"R",0
111920,"R",218215,"R",113306,"R",0
111939,"R",296667,"R",111227,"R",0
111948,"R",108964,"R",0,"R",21807
111966,"R",2495,"R",0,"R",37
112075,"R",34741,"R",0,"R",5769
112084,"R",17742,"A",,"Z",0
112127,"A",,"A",,"R",474
112172,"R",230753,"R",12969,"R",0
112190,"R",458253,"R",1417994,"R",0
112233,"R",27000,"R",27000,"R",654200
112251,"A",,"A",,"R",27086
112260,"R",33288,"A",,"A",
112288,"R",15748,"R",314970,"R",0
112312,"R",996,"R",0,"A",
112367,"Z",0,"R",199829,"A",
112385,"R",91355,"R",15834,"R",0
112394,"R",9772,"R",182454,"A",
112446,"R",29520,"R",0,"R",2842
112455,"A",,"R",137738,"A",
112516,"R",22196,"Z",0,"R",0
112525,"Z",0,"A",,"R",17660
112561,"R",41797,"R",19099,"R",0
112570,"R",6064,"R",0,"R",0
112686,"R",106131,"R",370726,"R",0
112783,"A",,"R",418987,"A",
112826,"R",108102,"R",213837,"R",0
113096,"R",242850,"R",166935,"R",0
113111,"R",89194,"R",5025,"R",0
113193,"R",192648,"R",1301,"R",0
113218,"R",101947,"R",37758,"R",0
113227,"A",,"R",419444,"A",
113236,"R",251828,"R",744165,"R",0
113245,"R",5399,"R",121500,"A",
