unitid,"xcdactua",cdactua,"xcnactua",cnactua,"xcdactga",cdactga
113333,"R",693624,"R",7757,"R",0
113397,"A",,"R",229656,"A",
113528,"R",800,"A",,"A",
113537,"Z",0,"R",29700,"A",
113573,"R",106471,"R",16097,"R",0
113582,"R",10170,"A",,"A",
113607,"R",412104,"A",,"R",19816
113634,"R",378079,"R",72039,"R",0
113698,"R",26285,"A",,"R",11157
113704,"R",334,"A",,"R",586
113713,"R",6520,"A",,"R",0
113856,"R",329825,"R",2234437,"R",0
113908,"R",0,"Z",0,"A",
113953,"R",0,"R",2318597,"R",0
113980,"R",414141,"R",298479,"R",0
114044,"R",1680,"R",33600,"A",
114062,"R",0,"R",61721,"R",0
114071,"R",0,"R",72426,"R",0
114080,"R",0,"R",128881,"R",0
114114,"A",,"A",,"R",4080
114123,"A",,"R",1677000,"A",
114266,"R",155960,"R",132528,"R",0
114345,"Z",0,"R",39060,"A",
114354,"R",125641,"R",0,"R",0
114372,"R",3600,"R",0,"R",0
114390,"R",30153,"R",0,"R",0
114415,"R",11058,"R",0,"R",0
114433,"R",38251,"R",26505,"R",0
114460,"R",0,"R",243800,"R",0
114549,"A",,"A",,"R",28599
114585,"R",0,"R",0,"R",4769
114716,"R",367606,"R",90822,"R",0
114734,"A",,"A",,"R",561
114761,"R",0,"R",74921,"R",0
114789,"R",319105,"R",561513,"R",0
114813,"R",35804,"A",,"R",14609
114840,"R",0,"R",0,"R",76902
114859,"R",379540,"R",5786,"R",0
114886,"A",,"R",110789,"A",
114895,"A",,"R",183533,"A",
114901,"A",,"R",26624,"A",
114938,"R",69879,"R",235803,"R",0
114947,"A",,"R",443234,"A",
115001,"R",287838,"R",291999,"R",0
115010,"A",,"R",799402,"A",
115047,"A",,"A",,"R",301
115083,"R",18895,"A",,"R",60521
115126,"R",227210,"R",12804,"R",0
115214,"A",,"A",,"R",6394
115296,"R",319830,"R",170889,"R",0
115357,"R",0,"R",65292,"R",0
115393,"R",132588,"R",189271,"R",0
115409,"R",22977,"A",,"R",9
115454,"R",33068,"A",,"A",
115472,"R",34727,"A",,"A",
115490,"R",58348,"A",,"A",
115515,"R",48831,"A",,"A",
115533,"R",60198,"A",,"A",
115658,"A",,"R",173949,"A",
115728,"R",12180,"R",0,"R",4533
115746,"A",,"A",,"R",14852
115755,"R",204034,"A",,"R",8990
115773,"R",9550,"R",0,"R",513
115782,"R",5361,"R",0,"R",0
115861,"R",101809,"R",334025,"R",0
115931,"A",,"R",346100,"A",
116040,"R",25053,"R",5400,"R",0
116226,"R",8377,"R",38100,"R",0
116235,"R",7532,"R",152484,"A",
116350,"R",0,"R",84887,"R",0
116439,"R",172596,"R",0,"R",0
116466,"R",43515,"A",,"A",
116475,"R",40135,"A",,"A",
116484,"R",36872,"A",,"A",
116563,"R",0,"R",302400,"R",0
116624,"A",,"A",,"R",1075
116712,"R",5423,"A",,"R",26130
116846,"R",2868,"A",,"R",3034
117052,"R",155933,"R",20431,"R",0
117104,"R",12850,"A",,"A",
117113,"R",27585,"Z",0,"A",
117140,"R",106224,"A",,"R",51437
117168,"R",6762,"A",,"A",
117186,"A",,"R",0,"A",
117195,"R",56426,"R",26993,"R",0
117238,"R",0,"R",228448,"R",0
117247,"R",159940,"R",79066,"R",0
117274,"R",39169,"R",48748,"R",0
117557,"R",1488,"Z",0,"R",2880
117575,"R",2244,"A",,"R",2109
117627,"R",54504,"R",0,"R",6986
117636,"R",40117,"A",,"R",41668
117645,"R",364793,"R",54582,"R",0
117672,"A",,"A",,"R",2478
117690,"R",149392,"R",510998,"R",0
117706,"R",283802,"R",853063,"A",
117715,"R",99158,"R",287934,"A",
117724,"R",149220,"R",3119398,"A",
117733,"R",284591,"R",1009339,"A",
117751,"R",41397,"A",,"R",2446
117788,"R",271766,"R",2448456,"R",0
117797,"A",,"R",31540,"A",
117803,"R",4026,"A",,"R",0
117867,"R",104261,"R",2433047,"R",0
117894,"R",114188,"R",795265,"R",0
117928,"R",16906,"A",,"A",
117946,"R",155807,"A",,"R",40872
118116,"A",,"R",61927,"A",
118125,"A",,"R",67074,"A",
118134,"Z",0,"R",225200,"A",
118143,"Z",0,"R",54400,"A",
118161,"R",0,"R",90361,"R",0
118189,"R",10413,"R",198025,"A",
118198,"R",425684,"R",604800,"A",
118259,"R",904,"R",9373,"R",0
118277,"R",43145,"R",306000,"R",0
118286,"R",6419,"R",430353,"A",
118338,"A",,"R",141587,"A",
118347,"R",110711,"R",21893,"R",0
118356,"R",0,"R",88800,"R",0
118374,"R",0,"R",58800,"R",0
118383,"R",0,"R",79200,"R",0
118392,"R",0,"R",73200,"R",0
118417,"R",0,"R",111600,"R",0
118426,"R",0,"R",104400,"R",0
118435,"R",0,"R",122800,"R",0
118444,"R",0,"R",42000,"R",0
118453,"R",0,"R",142800,"R",0
118480,"R",0,"R",86400,"R",0
118541,"R",20025,"A",,"R",0
118684,"R",56236,"R",36678,"R",0
118693,"R",19559,"A",,"A",
118709,"R",0,"R",0,"R",2263
118718,"R",150318,"R",342306,"R",0
118772,"R",90505,"R",40359,"R",0
118888,"R",5549,"R",0,"R",2618
118912,"R",163424,"R",31265,"R",0
118921,"P",0,"P",181275,"P",0
118930,"R",146492,"R",7966,"R",0
118958,"Z",0,"R",82791,"A",
118967,"Z",0,"R",346390,"A",
118976,"R",273633,"R",322022,"R",0
118994,"A",,"R",58500,"A",
119058,"R",884,"R",0,"R",18894
119067,"R",120730,"R",601046,"R",0
119128,"Z",0,"R",0,"Z",0
119137,"R",262735,"R",3125,"R",0
119155,"K",2448,"K",0,"K",0
119164,"R",499039,"R",640677,"R",0
119173,"R",33795,"R",0,"R",0
119216,"R",181201,"R",1608,"R",0
119270,"R",18414,"R",41400,"R",0
119331,"R",103946,"R",167928,"R",0
119340,"A",,"R",963270,"A",
119359,"R",0,"R",918000,"R",0
119368,"A",,"R",473760,"A",
119438,"R",0,"R",389520,"R",0
119456,"A",,"R",938040,"A",
119465,"A",,"R",752880,"A",
119508,"R",0,"R",416664,"R",0
119544,"R",10110,"R",0,"R",2490
119553,"R",16596,"R",153540,"A",
119605,"R",486365,"A",,"R",1332329
119711,"R",1365,"R",0,"R",1776
119775,"R",291,"R",0,"R",243010
119827,"R",0,"R",142800,"R",0
119845,"A",,"R",171787,"A",
119951,"R",0,"R",145300,"R",0
120069,"R",0,"R",321716,"R",0
120078,"R",0,"R",349980,"R",0
120087,"R",0,"R",109308,"R",0
120166,"R",6917,"Z",0,"R",13215
120184,"R",24315,"R",1500,"R",12300
120254,"R",54342,"A",,"R",690
120272,"A",,"R",145158,"A",
120290,"R",163251,"R",18286,"R",0
120333,"R",0,"R",529320,"R",0
120342,"R",472353,"R",2107,"R",0
120403,"R",30933,"R",0,"R",917
120421,"R",111529,"R",13030,"R",0
120537,"R",24627,"A",,"R",5662
120661,"Z",0,"R",277574,"A",
120698,"A",,"A",,"R",7062
120740,"A",,"A",,"R",350
120768,"R",3991,"Z",0,"R",8484
120795,"A",,"A",,"R",423
120838,"R",2002,"R",0,"R",660
120865,"R",60328,"A",,"R",476
120883,"R",103021,"A",,"R",10346
120953,"R",39351,"R",54772,"R",0
120971,"R",504627,"R",21640,"R",0
121008,"Z",0,"R",73130,"A",
121017,"R",0,"R",260869,"R",0
121044,"R",472304,"R",599338,"R",0
121071,"R",7845,"R",2648,"R",1486
121150,"R",96679,"A",,"R",94258
121257,"R",27335,"R",0,"R",0
121275,"A",,"R",425726,"A",
121309,"R",70941,"A",,"R",10968
121345,"R",50164,"A",,"A",
121363,"R",69192,"R",87972,"R",0
121381,"A",,"R",27935,"A",
121433,"A",,"R",197717,"A",
121600,"R",0,"R",0,"R",21
121619,"R",309545,"R",973938,"R",0
121628,"R",0,"R",0,"R",918
121691,"R",92709,"A",,"R",28950
121707,"R",121371,"R",1134,"R",0
121859,"R",0,"R",27644,"R",0
121868,"R",0,"R",35445,"R",0
121886,"R",241949,"R",382542,"R",0
121901,"R",488326,"R",408175,"R",0
121983,"R",60,"A",,"R",3693
121992,"R",0,"R",305171,"R",0
122117,"R",0,"R",0,"R",1683038
122180,"R",325679,"R",350169,"R",0
122205,"R",306789,"R",478157,"R",0
122223,"R",2742,"A",,"Z",0
122250,"A",,"A",,"R",350
122287,"R",2700,"R",0,"R",13500
122296,"R",4930,"R",0,"R",10795
122339,"R",208669,"R",8293,"R",0
122366,"R",13200,"R",0,"R",0
122375,"R",360146,"R",831,"R",0
122384,"R",127240,"R",19806,"R",0
122409,"R",736478,"A",,"R",94570
122436,"R",134733,"A",,"R",20424
122454,"R",11821,"A",,"R",5736
122506,"R",4603,"R",0,"R",4249
122597,"R",561828,"A",,"R",78740
122603,"R",0,"R",0,"R",5873
122612,"R",131481,"A",,"R",64011
122649,"R",816,"R",0,"R",0
122658,"R",321671,"R",124471,"R",0
122685,"R",23148,"R",0,"R",0
122694,"R",24372,"A",,"A",
122728,"R",10978,"A",,"R",0
122746,"R",135708,"R",62807,"R",0
122755,"R",570286,"A",,"R",69655
122791,"R",167463,"R",4715,"R",0
122834,"A",,"R",245512,"A",
122843,"R",31557,"R",0,"R",408
122852,"A",,"R",189016,"A",
122889,"R",266135,"R",241825,"R",0
122931,"R",224409,"A",,"R",45582
122977,"R",555097,"R",53545,"R",0
123013,"R",371128,"R",163576,"R",0
123095,"A",,"A",,"R",5607
123165,"R",23540,"R",0,"R",460
123208,"A",,"R",512493,"A",
123217,"R",188563,"R",75730,"R",0
123280,"R",1023,"A",,"R",921
123299,"R",169891,"R",5093,"R",0
123341,"R",299422,"R",308,"R",0
123350,"R",0,"R",97600,"A",
123396,"A",,"R",139776,"A",
123457,"R",30543,"A",,"R",1579
123484,"R",41885,"R",61048,"R",0
123493,"R",0,"R",859080,"R",0
123509,"R",136303,"R",428,"R",0
123527,"R",223934,"R",27271,"R",0
123554,"R",98908,"R",0,"R",10410
123563,"R",180924,"R",21450,"R",0
123572,"R",186766,"A",,"R",7762
123581,"R",3564,"A",,"A",
123633,"R",215090,"A",,"R",266050
123642,"R",22320,"R",106512,"R",0
123651,"R",43973,"A",,"R",4008
123679,"Z",0,"R",522233,"A",
123800,"R",270415,"R",267891,"R",0
123855,"A",,"A",,"R",72
123916,"A",,"A",,"R",104
123952,"P",1413,"P",0,"P",4850
123961,"R",517340,"A",,"R",278315
124113,"R",45684,"R",13944,"R",0
124283,"A",,"A",,"R",6005
124292,"R",10961,"R",0,"R",0
124344,"R",0,"R",52748,"R",0
124399,"R",12317,"R",0,"R",0
124432,"R",528,"R",37830,"A",
124487,"R",5264,"R",0,"R",0
124681,"A",,"R",3753304,"A",
124706,"Z",0,"R",621807,"A",
124779,"P",0,"P",74971,"P",0
124919,"R",0,"R",68510,"R",0
124937,"Z",0,"R",618577,"A",
125028,"R",195469,"R",74229,"R",0
125082,"A",,"R",149353,"A",
125091,"R",174277,"R",190456,"R",0
125170,"R",54523,"R",180,"R",0
125231,"A",,"A",,"R",39697
125462,"R",78377,"R",35012,"R",0
125471,"R",133588,"R",953745,"R",0
125480,"R",612,"A",,"R",1734
125499,"R",180807,"R",985,"R",0
125505,"Z",0,"R",2618750,"A",
125532,"R",20820,"R",536540,"A",
125718,"R",0,"R",0,"R",3340
125727,"R",39854,"A",,"R",314
125763,"R",37000,"R",0,"R",3119
125897,"R",34403,"A",,"R",4316
126012,"A",,"A",,"R",10851
126049,"A",,"A",,"R",88
126076,"R",3270,"A",,"A",
126119,"R",169013,"R",100681,"R",0
126164,"Z",0,"R",102450,"A",
126182,"R",55999,"R",0,"R",18928
126207,"R",117849,"R",600997,"A",
126261,"A",,"R",96000,"A",
126289,"R",129540,"A",,"A",
126359,"R",41052,"A",,"A",
126401,"R",25622,"A",,"A",
126410,"R",17142,"R",201749,"R",0
126562,"R",192957,"A",,"R",94883
126571,"R",12518,"A",,"R",60973
126580,"R",139442,"A",,"R",20264
126605,"A",,"R",742152,"A",
126614,"R",672963,"A",,"R",89069
126669,"R",47568,"R",0,"R",4324
126678,"R",59712,"A",,"R",14784
126687,"Z",0,"R",412384,"A",
126702,"R",29441,"R",0,"R",0
126711,"R",85243,"A",,"A",
126748,"R",26498,"A",,"R",0
126775,"R",83526,"A",,"R",12932
126784,"A",,"R",141960,"A",
126818,"R",597400,"A",,"R",79923
126827,"R",36768,"A",,"R",13683
126854,"A",,"R",154750,"A",
126863,"R",84419,"A",,"R",0
126872,"R",39200,"R",470000,"R",0
126915,"R",15828,"R",233927,"A",
126924,"R",1895,"A",,"A",
126942,"R",115315,"A",,"A",
126951,"R",0,"R",608164,"R",0
126979,"A",,"A",,"R",9824
127024,"R",67430,"A",,"R",1212
127042,"R",968,"A",,"Z",0
127060,"R",181668,"A",,"R",163331
127158,"Z",0,"R",1431520,"A",
127185,"R",129140,"A",,"A",
127200,"R",331829,"A",,"A",
127219,"Z",0,"R",85904,"A",
127228,"A",,"R",108000,"A",
127273,"A",,"A",,"R",5299
127316,"R",0,"R",142000,"R",0
127389,"R",11992,"R",9811,"R",0
127556,"R",133245,"A",,"R",619
127565,"R",396806,"A",,"A",
127617,"R",28097,"R",0,"A",
127653,"R",10589,"A",,"R",10959
127680,"R",8150,"A",,"R",0
127699,"R",9563,"A",,"R",0
127714,"R",10794,"R",129528,"R",0
127732,"R",47456,"A",,"R",0
127741,"R",281296,"A",,"R",43108
127778,"R",32763,"A",,"A",
127787,"R",25645,"R",21680,"R",0
127820,"R",183918,"A",,"A",
127839,"R",0,"R",325380,"R",0
127884,"R",108308,"A",,"A",
127909,"R",57583,"R",70797,"A",
127918,"R",123732,"A",,"R",73724
127945,"R",14322,"A",,"A",
127954,"Z",0,"R",67500,"Z",0
128036,"R",16098,"R",229973,"A",
128106,"R",101890,"A",,"R",3555
128151,"R",0,"R",289575,"R",0
128179,"A",,"R",241680,"R",0
128188,"R",0,"R",278360,"R",0
128203,"A",,"R",150940,"A",
128258,"R",16876,"R",520050,"R",0
128328,"R",31,"A",,"R",0
128337,"A",,"R",144400,"A",
128391,"R",62783,"R",0,"R",0
128425,"R",1065,"A",,"R",0
128498,"R",61771,"A",,"R",7397
128540,"A",,"R",67829,"A",
128577,"R",24844,"A",,"A",
128586,"R",1785,"A",,"A",
128674,"A",,"R",178000,"A",
128683,"R",6612,"A",,"A",
128726,"R",1152,"R",0,"R",0
128744,"R",29857,"A",,"R",39157
128762,"R",0,"R",240000,"R",0
128771,"R",212021,"A",,"R",41157
128780,"R",1,"Z",0,"A",
128896,"R",7649,"A",,"A",
128902,"R",33044,"A",,"R",429
128957,"A",,"R",286500,"A",
129002,"R",2739,"Z",0,"A",
129020,"R",400027,"A",,"R",75079
129154,"R",36400,"R",0,"R",0
129181,"A",,"R",562214,"A",
129215,"R",119328,"A",,"R",4026
129242,"R",119539,"A",,"R",14528
129349,"R",1500,"R",169500,"A",
129367,"R",45765,"A",,"A",
129428,"A",,"A",,"R",17949
129446,"R",1273,"A",,"A",
