UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
157793,"R",198220,"A",,"R",26048,"G",4405,"G",724,"G",4405,"G",724,"R",289,2
157809,"R",39923,"A",,"R",2551,"G",1331,"G",106,"G",1331,"G",106,"A",,2
157818,"R",38147,"A",,"A",,"G",1272,"A",,"G",1272,"A",,"A",,2
157827,"A",,"R",118800,"A",,"G",132,"A",,"G",132,"A",,"A",,1
157863,"R",22297,"A",,"R",8338,"G",743,"G",347,"G",743,"G",347,"A",,2
157951,"R",453435,"A",,"R",43851,"G",15115,"G",1827,"G",15115,"G",1827,"R",32,2
158088,"R",58721,"A",,"A",,"G",1957,"A",,"G",1957,"A",,"A",,2
158158,"R",2744,"A",,"A",,"G",91,"A",,"G",91,"A",,"A",,2
158246,"R",12060,"A",,"A",,"G",402,"A",,"G",402,"A",,"A",,2
158325,"R",2034,"A",,"A",,"G",68,"A",,"G",68,"A",,"A",,2
