UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
173902,"R",65214,"A",,"A",,"G",2174,"A",,"R",2038,"A",,"A",,2
173911,"R",81780,"A",,"A",,"G",2726,"A",,"G",2726,"A",,"A",,2
173920,"R",380126,"A",,"R",30463,"G",12671,"G",1269,"G",12671,"G",1269,"A",,2
173939,"A",,"R",147873,"A",,"G",164,"A",,"G",164,"A",,"A",,1
173957,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",240,-2
173966,"R",2520,"A",,"R",5240,"G",84,"G",218,"G",84,"G",218,"A",,2
173984,"R",27817,"A",,"R",6410,"G",927,"G",267,"G",927,"G",267,"R",140,2
173993,"R",32582,"A",,"A",,"G",1086,"A",,"G",1086,"A",,"A",,2
174020,"R",168593,"A",,"R",12924,"G",5620,"G",539,"G",5620,"G",539,"A",,2
174066,"R",1055560,"A",,"R",199702,"G",35185,"G",8321,"G",35185,"G",8321,"R",10822,2
174075,"R",58010,"A",,"A",,"G",1934,"A",,"G",1934,"A",,"A",,2
174118,"A",,"R",150000,"A",,"G",167,"A",,"G",167,"A",,"A",,1
174127,"R",19053,"A",,"R",2222,"G",635,"G",93,"G",635,"G",93,"A",,2
174136,"R",201775,"A",,"A",,"G",6726,"A",,"G",6726,"A",,"A",,2
174154,"R",12361,"A",,"A",,"G",412,"A",,"G",412,"A",,"A",,2
174190,"A",,"R",148206,"A",,"G",165,"A",,"G",165,"A",,"A",,1
174206,"R",4152,"A",,"A",,"G",138,"A",,"G",138,"A",,"A",,2
174233,"R",295451,"A",,"R",18330,"G",9848,"G",764,"G",9848,"G",764,"R",475,2
174251,"R",55550,"A",,"A",,"G",1852,"A",,"G",1852,"A",,"A",,2
174279,"R",44038,"A",,"R",2091,"G",979,"G",58,"G",979,"G",58,"A",,2
174321,"A",,"R",130674,"A",,"G",145,"A",,"G",145,"A",,"A",,1
174358,"R",172191,"A",,"R",8546,"G",5740,"G",356,"G",5740,"G",356,"A",,2
174376,"R",148290,"A",,"A",,"G",4943,"A",,"G",4943,"A",,"A",,2
174385,"R",16104,"A",,"A",,"G",358,"A",,"G",358,"A",,"A",,2
174394,"R",20563,"A",,"A",,"G",457,"A",,"G",457,"A",,"A",,2
