UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
100654,"R",116132,"A",,"R",14162,"G",3871,"G",590,"G",3871,"G",590,"A",,2
100663,"R",297437,"A",,"R",111853,"G",9915,"G",4661,"G",9915,"G",4661,"R",1404,2
100690,"R",9284,"A",,"R",6195,"G",309,"G",258,"G",309,"G",258,"R",62,2
100706,"R",155405,"A",,"R",23971,"G",5180,"G",999,"G",5180,"R",1046,"R",30,2
100724,"R",142286,"A",,"R",11000,"G",4743,"G",458,"G",4743,"G",458,"R",89,2
100751,"R",761135,"A",,"R",92751,"G",25371,"G",3865,"G",25371,"G",3865,"R",786,2
100760,"R",57843,"A",,"A",,"G",1928,"A",,"G",1928,"A",,"A",,2
100812,"R",84839,"A",,"A",,"G",2828,"A",,"G",2828,"A",,"A",,2
100830,"R",109868,"A",,"R",13870,"G",3662,"G",578,"G",3662,"G",578,"A",,2
100858,"R",593299,"A",,"R",75297,"G",19777,"G",3137,"G",19777,"G",3137,"R",970,2
100937,"R",44637,"A",,"A",,"G",1488,"A",,"R",1240,"A",,"A",,2
101028,"R",39961,"A",,"A",,"G",1332,"A",,"G",1332,"A",,"A",,2
101073,"R",15830,"A",,"A",,"G",528,"A",,"G",528,"A",,"A",,2
101116,"R",25148,"A",,"R",1242,"G",559,"G",35,"G",559,"G",35,"A",,2
101143,"R",73912,"A",,"A",,"G",2464,"A",,"G",2464,"A",,"A",,2
101161,"R",115726,"A",,"A",,"G",3858,"A",,"G",3858,"A",,"A",,2
101189,"R",82255,"A",,"R",4948,"G",2742,"G",206,"G",2742,"G",206,"R",403,2
101240,"R",161746,"A",,"A",,"G",5392,"A",,"G",5392,"A",,"A",,2
101277,"A",,"R",47668,"A",,"G",53,"A",,"G",53,"A",,"A",,1
101286,"R",114168,"A",,"A",,"G",3806,"A",,"G",3806,"A",,"A",,2
101295,"R",148606,"A",,"A",,"G",4954,"A",,"G",4954,"A",,"A",,2
101301,"R",53325,"A",,"A",,"G",1778,"A",,"G",1778,"A",,"A",,2
101365,"R",11046,"A",,"A",,"G",368,"A",,"G",368,"A",,"A",,2
101435,"R",32023,"A",,"A",,"G",1067,"A",,"G",1067,"A",,"A",,2
101453,"R",1182,"A",,"R",243,"G",39,"G",10,"G",39,"G",10,"A",,2
101462,"R",29775,"A",,"A",,"G",993,"A",,"G",993,"A",,"A",,2
101471,"R",19932,"A",,"A",,"G",664,"A",,"G",664,"A",,"A",,2
101480,"R",214833,"A",,"R",18641,"G",7161,"G",777,"G",7161,"G",777,"A",,2
101499,"R",29535,"A",,"A",,"G",985,"A",,"G",985,"A",,"A",,2
101505,"R",195697,"A",,"A",,"G",6523,"A",,"G",6523,"A",,"A",,2
101514,"R",254445,"A",,"A",,"G",8482,"A",,"G",8482,"A",,"A",,2
101541,"R",10012,"A",,"A",,"G",334,"A",,"G",334,"A",,"A",,2
101569,"R",97712,"A",,"A",,"G",3257,"A",,"G",3257,"A",,"A",,2
101587,"R",52280,"A",,"R",46585,"G",1743,"G",1941,"G",1743,"G",1941,"A",,2
101602,"R",42669,"A",,"A",,"G",1422,"A",,"G",1422,"A",,"A",,2
101648,"R",13448,"A",,"A",,"G",448,"A",,"G",448,"A",,"A",,2
101675,"R",49836,"A",,"A",,"G",1661,"A",,"G",1661,"A",,"A",,2
101693,"R",40847,"A",,"R",2712,"G",1362,"G",113,"G",1362,"G",113,"A",,2
101709,"R",72637,"A",,"R",9368,"G",2421,"G",390,"G",2421,"G",390,"A",,2
101736,"R",86423,"A",,"A",,"G",2881,"A",,"G",2881,"A",,"A",,2
101879,"R",160794,"A",,"R",14986,"G",5360,"G",624,"G",5360,"G",624,"A",,2
101897,"R",77539,"A",,"A",,"G",2585,"A",,"G",2585,"A",,"A",,2
101912,"R",58724,"A",,"R",1130,"G",1957,"G",47,"G",1957,"G",47,"A",,2
101949,"R",36304,"A",,"A",,"G",1210,"A",,"G",1210,"A",,"A",,2
