UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFRAC01,EFRACE01,XEFRAC02,EFRACE02,XEFRAC03,EFRACE03,XEFRAC04,EFRACE04,XEFRAC05,EFRACE05,XEFRAC06,EFRACE06,XEFRAC07,EFRACE07,XEFRAC08,EFRACE08,XEFRAC09,EFRACE09,XEFRAC10,EFRACE10,XEFRAC11,EFRACE11,XEFRAC12,EFRACE12,XEFRAC13,EFRACE13,XEFRAC14,EFRACE14,XEFRAC15,EFRACE15,XEFRAC16,EFRACE16,XEFRAC17,EFRACE17,XEFRAC18,EFRACE18,XEFRAC19,EFRACE19,XEFRAC20,EFRACE20,XEFRAC21,EFRACE21,XEFRAC22,EFRACE22,XEFRAC23,EFRACE23,XEFRAC24,EFRACE24
100654, 1,29,3,4,"R",139,"R",120,"R",2464,"R",3053,"R",6,"R",6,"R",6,"R",12,"R",12,"R",16,"R",133,"R",355,"Z",0,"R",1,"R",2760,"R",3563,"R",259,"R",5517,"R",12,"R",18,"R",28,"R",488,"R",1,"R",6323
100654, 2,99,3,1,"R",78,"R",66,"R",2280,"R",2499,"R",5,"R",3,"R",4,"R",6,"R",9,"R",13,"R",52,"R",75,"Z",0,"R",1,"R",2428,"R",2663,"R",144,"R",4779,"R",8,"R",10,"R",22,"R",127,"R",1,"R",5091
100654, 3,99,3,1,"R",78,"R",64,"R",2275,"R",2488,"R",5,"R",3,"R",4,"R",5,"R",9,"R",13,"R",51,"R",75,"Z",0,"R",1,"R",2422,"R",2649,"R",142,"R",4763,"R",8,"R",9,"R",22,"R",126,"R",1,"R",5071
100654, 4,99,3,1,"R",7,"R",5,"R",583,"R",597,"Z",0,"R",1,"R",1,"Z",0,"R",1,"R",3,"R",3,"R",7,"Z",0,"Z",0,"R",595,"R",613,"R",12,"R",1180,"R",1,"R",1,"R",4,"R",10,"Z",0,"R",1208
100654, 5,99,3,1,"R",71,"R",59,"R",1692,"R",1891,"R",5,"R",2,"R",3,"R",5,"R",8,"R",10,"R",48,"R",68,"Z",0,"R",1,"R",1827,"R",2036,"R",130,"R",3583,"R",7,"R",8,"R",18,"R",116,"R",1,"R",3863
100654,11,99,3,1,"Z",0,"R",2,"R",5,"R",11,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",6,"R",14,"R",2,"R",16,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",20
100654,12,99,3,3,"R",61,"R",54,"R",184,"R",554,"R",1,"R",3,"R",2,"R",6,"R",3,"R",3,"R",81,"R",280,"Z",0,"Z",0,"R",332,"R",900,"R",115,"R",738,"R",4,"R",8,"R",6,"R",361,"Z",0,"R",1232
100654,21,14,1,4,"R",101,"R",86,"R",2206,"R",2577,"R",4,"R",5,"R",2,"R",10,"R",9,"R",15,"R",59,"R",135,"Z",0,"Z",0,"R",2381,"R",2828,"R",187,"R",4783,"R",9,"R",12,"R",24,"R",194,"Z",0,"R",5209
100654,22, 8,1,1,"R",70,"R",58,"R",2137,"R",2343,"R",3,"R",3,"R",2,"R",5,"R",7,"R",13,"R",35,"R",48,"Z",0,"Z",0,"R",2254,"R",2470,"R",128,"R",4480,"R",6,"R",7,"R",20,"R",83,"Z",0,"R",4724
100654,23, 6,1,1,"R",70,"R",56,"R",2136,"R",2336,"R",3,"R",3,"R",2,"R",4,"R",7,"R",13,"R",35,"R",48,"Z",0,"Z",0,"R",2253,"R",2460,"R",126,"R",4472,"R",6,"R",6,"R",20,"R",83,"Z",0,"R",4713
