UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
156408,"R",34696,"A",,"A",,"G",1157,"A",,"R",1181,"A",,2
156417,"R",4571,"A",,"A",,"G",152,"A",,"G",152,"A",,2
156426,"A",,"R",19623,"A",,"G",22,"A",,"R",26,"A",,1
156444,"A",,"R",15025,"A",,"G",17,"A",,"G",17,"A",,1
156471,"R",23922,"R",572160,"A",,"G",1433,"A",,"R",985,"A",,3
156541,"R",45479,"A",,"R",15493,"G",1516,"G",646,"G",1516,"G",646,2
156620,"R",368575,"A",,"R",36225,"G",12286,"G",1509,"G",12286,"G",1509,2
156648,"R",98965,"A",,"A",,"G",3299,"A",,"G",3299,"A",,2
156675,"A",,"R",83496,"A",,"G",93,"A",,"G",93,"A",,1
156727,"A",,"A",,"R",14781,"A",,"G",411,"A",,"G",411,2
156745,"R",38348,"A",,"R",8135,"G",1278,"G",339,"G",1278,"G",339,2
156754,"A",,"R",87758,"A",,"G",98,"A",,"G",98,"A",,1
156790,"R",53498,"A",,"A",,"G",1783,"A",,"G",1783,"A",,2
156842,"A",,"R",149231,"A",,"G",166,"A",,"G",166,"A",,1
156851,"R",36735,"A",,"A",,"G",1225,"A",,"G",1225,"A",,2
156860,"R",61119,"A",,"A",,"G",2037,"A",,"G",2037,"A",,2
156903,"R",4464,"A",,"A",,"G",149,"A",,"G",149,"A",,2
156921,"R",246098,"A",,"A",,"G",8203,"A",,"G",8203,"A",,2
156949,"A",,"R",21600,"A",,"G",24,"A",,"G",24,"A",,1
156967,"A",,"R",133192,"A",,"G",148,"A",,"G",148,"A",,1
157021,"R",93204,"A",,"A",,"G",2071,"A",,"G",2071,"A",,2
157030,"R",1782,"A",,"A",,"G",59,"A",,"R",59,"A",,2
157058,"R",61447,"A",,"R",2514,"G",2048,"G",105,"G",2048,"G",105,2
157076,"R",25496,"A",,"A",,"G",850,"A",,"G",850,"A",,2
157085,"R",535916,"A",,"R",88075,"G",17864,"G",3670,"G",17864,"G",3670,2
157100,"R",17056,"A",,"R",363,"G",569,"G",15,"G",569,"G",15,2
157207,"A",,"A",,"R",1599,"A",,"G",67,"A",,"R",89,2
157216,"R",45460,"A",,"R",10902,"G",1515,"G",454,"G",1515,"G",454,2
157234,"R",1844,"A",,"R",152,"G",61,"G",6,"G",61,"G",6,2
157270,"R",25983,"A",,"A",,"G",577,"A",,"G",577,"A",,2
157289,"R",397740,"A",,"R",67453,"G",13258,"G",2811,"G",13258,"G",2811,2
157298,"A",,"A",,"R",3601,"A",,"G",150,"A",,"R",165,2
157304,"R",61755,"A",,"A",,"G",2059,"A",,"G",2059,"A",,2
157331,"R",77723,"A",,"A",,"G",2591,"A",,"G",2591,"A",,2
157359,"R",42871,"A",,"A",,"G",1429,"A",,"G",1429,"A",,2
157377,"R",31926,"A",,"R",679,"G",1064,"G",28,"R",1064,"R",43,2
157386,"R",183963,"A",,"R",21050,"G",6132,"G",877,"G",6132,"G",877,2
157395,"A",,"R",58800,"A",,"G",65,"A",,"G",65,"A",,1
157401,"R",229228,"A",,"R",24065,"G",7641,"G",1003,"G",7641,"G",1003,2
157438,"R",51906,"A",,"A",,"G",1730,"A",,"G",1730,"A",,2
157447,"R",326211,"A",,"R",21125,"G",10874,"G",880,"G",10874,"G",880,2
157456,"A",,"R",31500,"A",,"G",35,"A",,"G",35,"A",,1
157465,"R",14355,"R",22284,"A",,"G",344,"A",,"G",344,"A",,3
157483,"R",98841,"A",,"A",,"G",3295,"A",,"G",3295,"A",,2
157508,"A",,"R",26000,"A",,"G",29,"A",,"G",29,"A",,1
157535,"R",20972,"A",,"R",7344,"G",699,"G",306,"G",699,"G",306,2
157553,"R",75011,"A",,"A",,"G",2500,"A",,"G",2500,"A",,2
157599,"R",44089,"A",,"A",,"G",980,"A",,"G",980,"A",,2
157614,"A",,"R",287207,"A",,"G",319,"A",,"G",319,"A",,1
157632,"R",18431,"A",,"A",,"G",614,"A",,"G",614,"A",,2
157650,"A",,"R",356968,"A",,"G",397,"A",,"G",397,"A",,1
157669,"A",,"R",233986,"A",,"G",260,"A",,"G",260,"A",,1
157678,"A",,"R",194980,"A",,"G",217,"A",,"G",217,"A",,1
157696,"R",23005,"A",,"A",,"G",511,"A",,"G",511,"A",,2
157711,"R",111140,"A",,"A",,"G",3705,"A",,"G",3705,"A",,2
157739,"R",61314,"A",,"A",,"G",2044,"A",,"G",2044,"A",,2
157748,"R",13541,"A",,"R",36945,"G",451,"G",1539,"G",451,"G",1539,2
157757,"R",24158,"A",,"R",15776,"G",805,"G",657,"G",805,"G",657,2
157766,"R",74914,"A",,"A",,"G",1665,"A",,"G",1665,"A",,2
157793,"R",91524,"A",,"R",8928,"G",2034,"G",248,"G",2034,"G",248,2
157809,"R",41537,"A",,"R",3481,"G",1385,"G",145,"G",1385,"G",145,2
