UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100812, 2,"R",2531,"R",1672,"R",646,"R",213,"R",1559,"R",88,"R",0,"R",25,"R",0
100812, 3,"R",2407,"R",1586,"R",620,"R",201,"R",1501,"R",85,"R",0,"R",0,"R",0
100812,11,"R",124,"R",86,"R",26,"R",12,"R",58,"R",3,"R",0,"R",25,"R",0
100812,12,"R",424,"R",409,"R",5,"R",10,"R",349,"R",60,"R",0,"R",0,"R",0
100830, 1,"R",5189,"R",1064,"R",2089,"R",2036,"R",1006,"R",53,"R",0,"R",5,"R",0
100830, 2,"R",3407,"R",640,"R",1520,"R",1247,"R",612,"R",25,"R",0,"R",3,"R",0
100830, 3,"R",2693,"R",373,"R",1371,"R",949,"R",357,"R",15,"R",0,"R",1,"R",0
100830,11,"R",714,"R",267,"R",149,"R",298,"R",255,"R",10,"R",0,"R",2,"R",0
100830,12,"R",1782,"R",424,"R",569,"R",789,"R",394,"R",28,"R",0,"R",2,"R",0
100858, 1,"R",33015,"R",3295,"R",11545,"R",18175,"R",1764,"R",1497,"Z",0,"R",34,"R",0
100858, 2,"R",26874,"R",1434,"R",10591,"R",14849,"R",1067,"R",360,"Z",0,"R",7,"R",0
100858, 3,"R",25732,"R",548,"R",10583,"R",14601,"R",309,"R",233,"Z",0,"R",6,"R",0
100858,11,"R",1142,"R",886,"R",8,"R",248,"R",758,"R",127,"Z",0,"R",1,"R",0
100858,12,"R",6141,"R",1861,"R",954,"R",3326,"R",697,"R",1137,"Z",0,"R",27,"R",0
100937, 1,"R",731,"R",0,"R",0,"R",731,"A",,"A",,"A",,"A",,"A",
100937, 2,"R",713,"R",0,"R",0,"R",713,"A",,"A",,"A",,"A",,"A",
100937, 3,"R",713,"R",0,"R",0,"R",713,"A",,"A",,"A",,"A",,"A",
100937,12,"R",18,"A",,"A",,"R",18,"A",,"A",,"A",,"A",,"A",
101028, 1,"R",1712,"R",262,"R",487,"R",963,"R",203,"R",59,"R",0,"R",0,"R",0
101028, 2,"R",1712,"R",262,"R",487,"R",963,"R",203,"R",59,"R",0,"R",0,"R",0
101028, 3,"R",1044,"R",197,"R",429,"R",418,"R",139,"R",58,"R",0,"R",0,"R",0
101028,11,"R",668,"R",65,"R",58,"R",545,"R",64,"R",1,"R",0,"R",0,"R",0
101116, 1,"R",319,"R",174,"R",37,"R",108,"R",171,"R",3,"Z",0,"Z",0,"R",0
101116, 2,"R",302,"R",157,"R",37,"R",108,"R",154,"R",3,"Z",0,"Z",0,"R",0
101116, 3,"R",302,"R",157,"R",37,"R",108,"R",154,"R",3,"Z",0,"Z",0,"R",0
101116,12,"R",17,"R",17,"Z",0,"R",0,"R",17,"Z",0,"Z",0,"Z",0,"R",0
101143, 1,"R",2248,"R",651,"R",698,"R",899,"R",642,"R",9,"Z",0,"Z",0,"R",0
101143, 2,"R",2248,"R",651,"R",698,"R",899,"R",642,"R",9,"Z",0,"Z",0,"R",0
101143, 3,"R",1476,"R",340,"R",560,"R",576,"R",331,"R",9,"Z",0,"Z",0,"R",0
101143,11,"R",772,"R",311,"R",138,"R",323,"R",311,"Z",0,"Z",0,"Z",0,"R",0
101161, 1,"R",6791,"R",1961,"R",2067,"R",2763,"R",1923,"R",38,"Z",0,"Z",0,"R",0
101161, 2,"R",6791,"R",1961,"R",2067,"R",2763,"R",1923,"R",38,"Z",0,"Z",0,"R",0
101161, 3,"R",4714,"R",1194,"R",1970,"R",1550,"R",1164,"R",30,"Z",0,"Z",0,"R",0
101161,11,"R",2077,"R",767,"R",97,"R",1213,"R",759,"R",8,"Z",0,"Z",0,"R",0
101189, 1,"R",2933,"R",1228,"R",455,"R",1250,"R",862,"R",334,"R",1,"Z",0,"R",31
101189, 2,"R",1793,"R",719,"R",298,"R",776,"R",546,"R",143,"R",1,"Z",0,"R",29
101189, 3,"R",1555,"R",702,"R",295,"R",558,"R",530,"R",143,"Z",0,"Z",0,"R",29
101189,11,"R",238,"R",17,"R",3,"R",218,"R",16,"Z",0,"R",1,"Z",0,"R",0
101189,12,"R",1140,"R",509,"R",157,"R",474,"R",316,"R",191,"Z",0,"Z",0,"R",2
101240, 1,"R",4728,"R",1149,"R",1660,"R",1919,"R",1113,"R",36,"R",0,"R",0,"R",0
101240, 2,"R",4728,"R",1149,"R",1660,"R",1919,"R",1113,"R",36,"R",0,"R",0,"R",0
101240, 3,"R",3619,"R",786,"R",1583,"R",1250,"R",753,"R",33,"R",0,"R",0,"R",0
101240,11,"R",1109,"R",363,"R",77,"R",669,"R",360,"R",3,"R",0,"R",0,"R",0
101277, 1,"R",39,"A",,"A",,"R",39,"A",,"A",,"A",,"A",,"A",
101277, 2,"R",39,"A",,"A",,"R",39,"A",,"A",,"A",,"A",,"A",
101277, 3,"R",39,"A",,"A",,"R",39,"A",,"A",,"A",,"A",,"A",
101286, 1,"R",4010,"R",731,"R",970,"R",2309,"R",667,"R",64,"Z",0,"Z",0,"R",0
101286, 2,"R",4010,"R",731,"R",970,"R",2309,"R",667,"R",64,"Z",0,"Z",0,"R",0
101286, 3,"R",3053,"R",570,"R",904,"R",1579,"R",510,"R",60,"Z",0,"Z",0,"R",0
101286,11,"R",957,"R",161,"R",66,"R",730,"R",157,"R",4,"Z",0,"Z",0,"R",0
101295, 1,"R",6023,"R",1286,"R",1882,"R",2855,"R",1267,"R",15,"R",4,"R",0,"R",0
101295, 2,"R",6023,"R",1286,"R",1882,"R",2855,"R",1267,"R",15,"R",4,"R",0,"R",0
101295, 3,"R",4413,"R",1056,"R",1735,"R",1622,"R",1037,"R",15,"R",4,"R",0,"R",0
101295,11,"R",1610,"R",230,"R",147,"R",1233,"R",230,"R",0,"R",0,"R",0,"R",0
101301, 1,"R",1935,"R",816,"R",401,"R",718,"R",812,"R",4,"Z",0,"Z",0,"R",0
101301, 2,"R",1935,"R",816,"R",401,"R",718,"R",812,"R",4,"Z",0,"Z",0,"R",0
101301, 3,"R",828,"R",276,"R",266,"R",286,"R",273,"R",3,"Z",0,"Z",0,"R",0
101301,11,"R",1107,"R",540,"R",135,"R",432,"R",539,"R",1,"Z",0,"Z",0,"R",0
101365, 1,"R",448,"R",166,"R",112,"R",170,"R",155,"R",11,"Z",0,"Z",0,"R",0
101365, 2,"R",446,"R",164,"R",112,"R",170,"R",153,"R",11,"Z",0,"Z",0,"R",0
101365, 3,"R",445,"R",164,"R",112,"R",169,"R",153,"R",11,"Z",0,"Z",0,"R",0
101365,11,"R",1,"R",0,"R",0,"R",1,"A",,"A",,"A",,"A",,"A",
101365,12,"R",2,"R",2,"R",0,"R",0,"R",2,"Z",0,"Z",0,"Z",0,"R",0
101435, 1,"R",869,"R",0,"R",389,"R",480,"A",,"A",,"A",,"A",,"A",
101435, 2,"R",866,"R",0,"R",389,"R",477,"A",,"A",,"A",,"A",,"A",
101435, 3,"R",865,"R",0,"R",389,"R",476,"A",,"A",,"A",,"A",,"A",
101435,11,"R",1,"R",0,"R",0,"R",1,"A",,"A",,"A",,"A",,"A",
101435,12,"R",3,"A",,"A",,"R",3,"A",,"A",,"A",,"A",,"A",
101453, 1,"R",158,"R",126,"R",24,"R",8,"R",32,"R",90,"Z",0,"R",4,"R",0
101453, 2,"R",70,"R",48,"R",15,"R",7,"R",12,"R",34,"Z",0,"R",2,"R",0
101453, 3,"R",63,"R",42,"R",14,"R",7,"R",9,"R",31,"Z",0,"R",2,"R",0
101453,11,"R",7,"R",6,"R",1,"R",0,"R",3,"R",3,"Z",0,"Z",0,"R",0
101453,12,"R",88,"R",78,"R",9,"R",1,"R",20,"R",56,"Z",0,"R",2,"R",0
101462, 1,"R",1011,"R",121,"R",423,"R",467,"R",119,"R",2,"R",0,"R",0,"R",0
101462, 2,"R",1011,"R",121,"R",423,"R",467,"R",119,"R",2,"R",0,"R",0,"R",0
101462, 3,"R",719,"R",93,"R",406,"R",220,"R",91,"R",2,"R",0,"R",0,"R",0
101462,11,"R",292,"R",28,"R",17,"R",247,"R",28,"R",0,"R",0,"R",0,"R",0
101471, 1,"R",826,"A",,"A",,"R",826,"A",,"A",,"A",,"A",,"A",
101471, 2,"R",826,"A",,"A",,"R",826,"A",,"A",,"A",,"A",,"A",
101471, 3,"R",826,"A",,"A",,"R",826,"A",,"A",,"A",,"A",,"A",
101480, 1,"R",9672,"R",2165,"R",4855,"R",2652,"R",2045,"R",120,"R",0,"R",0,"R",0
101480, 2,"R",8378,"R",1251,"R",4608,"R",2519,"R",1219,"R",32,"R",0,"R",0,"R",0
101480, 3,"R",7030,"R",698,"R",4443,"R",1889,"R",667,"R",31,"R",0,"R",0,"R",0
101480,11,"R",1348,"R",553,"R",165,"R",630,"R",552,"R",1,"R",0,"R",0,"R",0
101480,12,"R",1294,"R",914,"R",247,"R",133,"R",826,"R",88,"R",0,"R",0,"R",0
101505, 1,"R",8839,"R",3092,"R",2004,"R",3743,"R",3045,"R",45,"R",2,"R",0,"R",0
101505, 2,"R",8839,"R",3092,"R",2004,"R",3743,"R",3045,"R",45,"R",2,"R",0,"R",0
101505, 3,"R",5443,"R",2145,"R",1758,"R",1540,"R",2101,"R",43,"R",1,"R",0,"R",0
101505,11,"R",3396,"R",947,"R",246,"R",2203,"R",944,"R",2,"R",1,"R",0,"R",0
101514, 1,"R",8736,"R",3094,"R",2499,"R",3143,"R",3043,"R",51,"R",0,"R",0,"R",0
101514, 2,"R",8736,"R",3094,"R",2499,"R",3143,"R",3043,"R",51,"R",0,"R",0,"R",0
101514, 3,"R",6928,"R",2491,"R",2386,"R",2051,"R",2457,"R",34,"R",0,"R",0,"R",0
101514,11,"R",1808,"R",603,"R",113,"R",1092,"R",586,"R",17,"R",0,"R",0,"R",0
101569, 1,"R",3153,"R",532,"R",937,"R",1684,"R",528,"R",4,"R",0,"R",0,"R",0
101569, 2,"R",3153,"R",532,"R",937,"R",1684,"R",528,"R",4,"R",0,"R",0,"R",0
101569, 3,"R",2720,"R",346,"R",913,"R",1461,"R",343,"R",3,"R",0,"R",0,"R",0
101569,11,"R",433,"R",186,"R",24,"R",223,"R",185,"R",1,"R",0,"R",0,"R",0
101587, 1,"R",6194,"R",4627,"R",515,"R",1052,"R",3926,"R",689,"R",0,"R",3,"R",9
101587, 2,"R",2673,"R",1425,"R",398,"R",850,"R",1248,"R",174,"R",0,"R",3,"R",0
101587, 3,"R",2666,"R",1419,"R",398,"R",849,"R",1242,"R",174,"R",0,"R",3,"R",0
101587,11,"R",7,"R",6,"R",0,"R",1,"R",6,"R",0,"R",0,"R",0,"R",0
101587,12,"R",3521,"R",3202,"R",117,"R",202,"R",2678,"R",515,"R",0,"R",0,"R",9
101602, 1,"R",2130,"R",569,"R",748,"R",813,"R",557,"R",12,"R",0,"R",0,"R",0
101602, 2,"R",2130,"R",569,"R",748,"R",813,"R",557,"R",12,"R",0,"R",0,"R",0
101602, 3,"R",1122,"R",222,"R",635,"R",265,"R",214,"R",8,"R",0,"R",0,"R",0
101602,11,"R",1008,"R",347,"R",113,"R",548,"R",343,"R",4,"R",0,"R",0,"R",0
101648, 1,"R",308,"R",0,"R",105,"R",203,"A",,"A",,"A",,"A",,"A",
101648, 2,"R",308,"R",0,"R",105,"R",203,"A",,"A",,"A",,"A",,"A",
101648, 3,"R",308,"R",0,"R",105,"R",203,"A",,"A",,"A",,"A",,"A",
101675, 1,"R",1151,"R",98,"R",436,"R",617,"R",76,"R",22,"R",0,"R",0,"R",0
101675, 2,"R",1151,"R",98,"R",436,"R",617,"R",76,"R",22,"R",0,"R",0,"R",0
101675, 3,"R",1151,"R",98,"R",436,"R",617,"R",76,"R",22,"R",0,"R",0,"R",0
101693, 1,"R",1911,"R",150,"R",186,"R",1575,"R",126,"R",24,"R",0,"R",0,"R",0
101693, 2,"R",1688,"R",48,"R",168,"R",1472,"R",44,"R",4,"R",0,"R",0,"R",0
101693, 3,"R",1079,"R",48,"R",168,"R",863,"R",44,"R",4,"R",0,"R",0,"R",0
101693,11,"R",609,"R",0,"R",0,"R",609,"A",,"A",,"A",,"A",,"A",
101693,12,"R",223,"R",102,"R",18,"R",103,"R",82,"R",20,"R",0,"R",0,"R",0
101709, 1,"R",2942,"R",637,"R",1176,"R",1129,"R",630,"R",7,"Z",0,"Z",0,"R",0
101709, 2,"R",2545,"R",477,"R",1081,"R",987,"R",476,"R",1,"Z",0,"Z",0,"R",0
101709, 3,"R",2087,"R",44,"R",1079,"R",964,"R",43,"R",1,"Z",0,"Z",0,"R",0
101709,11,"R",458,"R",433,"R",2,"R",23,"R",433,"R",0,"Z",0,"Z",0,"R",0
101709,12,"R",397,"R",160,"R",95,"R",142,"R",154,"R",6,"Z",0,"Z",0,"R",0
101736, 1,"R",4136,"R",767,"R",946,"R",2423,"R",745,"R",22,"R",0,"R",0,"R",0
101736, 2,"R",4136,"R",767,"R",946,"R",2423,"R",745,"R",22,"R",0,"R",0,"R",0
101736, 3,"R",1924,"R",433,"R",758,"R",733,"R",421,"R",12,"R",0,"R",0,"R",0
101736,11,"R",2212,"R",334,"R",188,"R",1690,"R",324,"R",10,"R",0,"R",0,"R",0
101879, 1,"R",10059,"R",3391,"R",3483,"R",3185,"R",2359,"R",960,"R",3,"R",69,"R",0
101879, 2,"R",7451,"R",1162,"R",3287,"R",3002,"R",861,"R",246,"R",1,"R",54,"R",0
101879, 3,"R",5468,"R",883,"R",3210,"R",1375,"R",595,"R",239,"Z",0,"R",49,"R",0
101879,11,"R",1983,"R",279,"R",77,"R",1627,"R",266,"R",7,"R",1,"R",5,"R",0
101879,12,"R",2608,"R",2229,"R",196,"R",183,"R",1498,"R",714,"R",2,"R",15,"R",0
101897, 1,"R",2905,"R",952,"R",936,"R",1017,"R",946,"R",6,"R",0,"R",0,"R",0
101897, 2,"R",2905,"R",952,"R",936,"R",1017,"R",946,"R",6,"R",0,"R",0,"R",0
101897, 3,"R",1547,"R",394,"R",735,"R",418,"R",392,"R",2,"R",0,"R",0,"R",0
101897,11,"R",1358,"R",558,"R",201,"R",599,"R",554,"R",4,"R",0,"R",0,"R",0
101912, 1,"R",1319,"R",82,"R",435,"R",802,"R",48,"R",33,"Z",0,"R",1,"R",0
101912, 2,"R",1279,"R",42,"R",435,"R",802,"R",23,"R",19,"Z",0,"Z",0,"R",0
101912, 3,"R",1253,"R",42,"R",421,"R",790,"R",23,"R",19,"Z",0,"Z",0,"R",0
101912,11,"R",26,"R",0,"R",14,"R",12,"A",,"A",,"A",,"A",,"A",
101912,12,"R",40,"R",40,"R",0,"R",0,"R",25,"R",14,"Z",0,"R",1,"R",0
101994, 1,"R",576,"R",17,"R",239,"R",320,"R",15,"R",1,"R",0,"R",0,"R",1
101994, 2,"R",576,"R",17,"R",239,"R",320,"R",15,"R",1,"R",0,"R",0,"R",1
101994, 3,"R",365,"R",6,"R",221,"R",138,"R",5,"R",0,"R",0,"R",0,"R",1
101994,11,"R",211,"R",11,"R",18,"R",182,"R",10,"R",1,"R",0,"R",0,"R",0
102030, 1,"R",3568,"R",710,"R",937,"R",1921,"R",697,"R",13,"R",0,"R",0,"R",0
102030, 2,"R",3568,"R",710,"R",937,"R",1921,"R",697,"R",13,"R",0,"R",0,"R",0
102030, 3,"R",2100,"R",413,"R",868,"R",819,"R",402,"R",11,"R",0,"R",0,"R",0
102030,11,"R",1468,"R",297,"R",69,"R",1102,"R",295,"R",2,"R",0,"R",0,"R",0
102049, 1,"R",5791,"R",66,"R",436,"R",5289,"R",54,"R",12,"R",0,"R",0,"R",0
102049, 2,"R",3832,"R",5,"R",363,"R",3464,"R",5,"R",0,"R",0,"R",0,"R",0
102049, 3,"R",3828,"R",5,"R",363,"R",3460,"R",5,"R",0,"R",0,"R",0,"R",0
102049,11,"R",4,"R",0,"R",0,"R",4,"A",,"A",,"A",,"A",,"A",
102049,12,"R",1959,"R",61,"R",73,"R",1825,"R",49,"R",12,"R",0,"R",0,"R",0
102058, 1,"R",60,"R",0,"R",59,"R",1,"A",,"A",,"A",,"A",,"A",
102058, 2,"R",47,"R",0,"R",47,"R",0,"A",,"A",,"A",,"A",,"A",
102058, 3,"R",34,"R",0,"R",34,"R",0,"A",,"A",,"A",,"A",,"A",
102058,11,"R",13,"R",0,"R",13,"R",0,"A",,"A",,"A",,"A",,"A",
102058,12,"R",13,"R",0,"R",12,"R",1,"A",,"A",,"A",,"A",,"A",
102067, 1,"R",4536,"R",1612,"R",1676,"R",1248,"R",1546,"R",64,"R",2,"R",0,"R",0
102067, 2,"R",4536,"R",1612,"R",1676,"R",1248,"R",1546,"R",64,"R",2,"R",0,"R",0
102067, 3,"R",3191,"R",864,"R",1455,"R",872,"R",825,"R",39,"R",0,"R",0,"R",0
102067,11,"R",1345,"R",748,"R",221,"R",376,"R",721,"R",25,"R",2,"R",0,"R",0
102076, 1,"R",2767,"R",1449,"R",818,"R",500,"R",1306,"R",143,"R",0,"R",0,"R",0
102076, 2,"R",2767,"R",1449,"R",818,"R",500,"R",1306,"R",143,"R",0,"R",0,"R",0
102076, 3,"R",1494,"R",579,"R",711,"R",204,"R",566,"R",13,"R",0,"R",0,"R",0
102076,11,"R",1273,"R",870,"R",107,"R",296,"R",740,"R",130,"R",0,"R",0,"R",0
102094, 1,"R",13768,"R",3964,"R",4329,"R",5475,"R",1266,"R",2684,"R",0,"R",14,"R",0
102094, 2,"R",8914,"R",759,"R",4090,"R",4065,"R",655,"R",102,"R",0,"R",2,"R",0
102094, 3,"R",8540,"R",458,"R",4080,"R",4002,"R",356,"R",100,"R",0,"R",2,"R",0
102094,11,"R",374,"R",301,"R",10,"R",63,"R",299,"R",2,"R",0,"R",0,"R",0
102094,12,"R",4854,"R",3205,"R",239,"R",1410,"R",611,"R",2582,"Z",0,"R",12,"R",0
102234, 1,"R",977,"R",149,"R",335,"R",493,"R",84,"R",65,"R",0,"R",0,"R",0
102234, 2,"R",851,"R",37,"R",334,"R",480,"R",26,"R",11,"R",0,"R",0,"R",0
102234, 3,"R",850,"R",37,"R",334,"R",479,"R",26,"R",11,"R",0,"R",0,"R",0
102234,11,"R",1,"R",0,"R",0,"R",1,"A",,"A",,"A",,"A",,"A",
102234,12,"R",126,"R",112,"R",1,"R",13,"R",58,"R",54,"R",0,"R",0,"R",0
102270, 1,"R",779,"R",158,"R",562,"R",59,"R",136,"R",22,"Z",0,"Z",0,"R",0
102270, 2,"R",779,"R",158,"R",562,"R",59,"R",136,"R",22,"Z",0,"Z",0,"R",0
102270, 3,"R",761,"R",155,"R",553,"R",53,"R",133,"R",22,"Z",0,"Z",0,"R",0
102270,11,"R",18,"R",3,"R",9,"R",6,"R",3,"Z",0,"Z",0,"Z",0,"R",0
102298, 1,"R",837,"R",193,"R",515,"R",129,"R",68,"R",111,"R",8,"R",3,"R",3
102298, 2,"R",782,"R",138,"R",515,"R",129,"R",39,"R",98,"R",1,"R",0,"R",0
102298, 3,"R",782,"R",138,"R",515,"R",129,"R",39,"R",98,"R",1,"R",0,"R",0
102298,12,"R",55,"R",55,"R",0,"R",0,"R",29,"R",13,"R",7,"R",3,"R",3
102313, 1,"R",1907,"R",648,"R",625,"R",634,"R",646,"R",2,"Z",0,"Z",0,"R",0
102313, 2,"R",1907,"R",648,"R",625,"R",634,"R",646,"R",2,"Z",0,"Z",0,"R",0
102313, 3,"R",1584,"R",585,"R",612,"R",387,"R",583,"R",2,"Z",0,"Z",0,"R",0
102313,11,"R",323,"R",63,"R",13,"R",247,"R",63,"Z",0,"Z",0,"Z",0,"R",0
102368, 1,"R",13923,"R",7142,"R",2431,"R",4350,"R",3830,"R",3028,"R",0,"R",284,"R",0
102368, 2,"R",10468,"R",4586,"R",2123,"R",3759,"R",2814,"R",1620,"R",0,"R",152,"R",0
102368, 3,"R",10089,"R",4258,"R",2109,"R",3722,"R",2576,"R",1539,"R",0,"R",143,"R",0
102368,11,"R",379,"R",328,"R",14,"R",37,"R",238,"R",81,"R",0,"R",9,"R",0
102368,12,"R",3455,"R",2556,"R",308,"R",591,"R",1016,"R",1408,"R",0,"R",132,"R",0
102377, 1,"R",2846,"R",27,"R",0,"R",2819,"R",11,"R",16,"R",0,"R",0,"R",0
102377, 2,"R",2400,"R",27,"R",0,"R",2373,"R",11,"R",16,"R",0,"R",0,"R",0
102377, 3,"R",2367,"R",27,"R",0,"R",2340,"R",11,"R",16,"R",0,"R",0,"R",0
102377,11,"R",33,"R",0,"R",0,"R",33,"A",,"A",,"A",,"A",,"A",
102377,12,"R",446,"R",0,"R",0,"R",446,"A",,"A",,"A",,"A",,"A",
102395, 1,"R",272,"R",266,"R",0,"R",6,"R",38,"R",216,"R",0,"R",8,"R",4
102395, 2,"R",144,"R",138,"R",0,"R",6,"R",29,"R",105,"R",0,"R",3,"R",1
102395, 3,"R",136,"R",130,"R",0,"R",6,"R",27,"R",99,"R",0,"R",3,"R",1
102395,11,"R",8,"R",8,"R",0,"R",0,"R",2,"R",6,"R",0,"R",0,"R",0
102395,12,"R",128,"R",128,"R",0,"R",0,"R",9,"R",111,"R",0,"R",5,"R",3
102429, 1,"R",3946,"R",928,"R",932,"R",2086,"R",912,"R",16,"Z",0,"Z",0,"R",0
102429, 2,"R",3946,"R",928,"R",932,"R",2086,"R",912,"R",16,"Z",0,"Z",0,"R",0
102429, 3,"R",2189,"R",580,"R",812,"R",797,"R",565,"R",15,"Z",0,"Z",0,"R",0
102429,11,"R",1757,"R",348,"R",120,"R",1289,"R",347,"R",1,"Z",0,"Z",0,"R",0
102553, 1,"R",10796,"R",3588,"R",4147,"R",3061,"R",3381,"R",202,"R",4,"R",0,"R",1
102553, 2,"R",10162,"R",3322,"R",3951,"R",2889,"R",3141,"R",177,"R",3,"R",0,"R",1
102553, 3,"R",6916,"R",2122,"R",3483,"R",1311,"R",2003,"R",115,"R",3,"R",0,"R",1
102553,11,"R",3246,"R",1200,"R",468,"R",1578,"R",1138,"R",62,"R",0,"R",0,"R",0
102553,12,"R",634,"R",266,"R",196,"R",172,"R",240,"R",25,"R",1,"R",0,"R",0
102580, 1,"R",65,"R",0,"R",0,"R",65,"A",,"A",,"A",,"A",,"A",
102580, 2,"R",65,"R",0,"R",0,"R",65,"A",,"A",,"A",,"A",,"A",
102580, 3,"R",34,"R",0,"R",0,"R",34,"A",,"A",,"A",,"A",,"A",
102580,11,"R",31,"R",0,"R",0,"R",31,"A",,"A",,"A",,"A",,"A",
102614, 1,"R",6640,"R",3065,"R",1961,"R",1614,"R",2537,"R",495,"R",13,"R",8,"R",12
102614, 2,"R",5638,"R",2702,"R",1761,"R",1175,"R",2250,"R",428,"R",12,"R",5,"R",7
102614, 3,"R",4027,"R",1843,"R",1573,"R",611,"R",1439,"R",383,"R",11,"R",4,"R",6
102614,11,"R",1611,"R",859,"R",188,"R",564,"R",811,"R",45,"R",1,"R",1,"R",1
102614,12,"R",1002,"R",363,"R",200,"R",439,"R",287,"R",67,"R",1,"R",3,"R",5
102632, 1,"R",1918,"R",940,"R",387,"R",591,"R",850,"R",77,"R",0,"R",11,"R",2
102632, 2,"R",1678,"R",809,"R",316,"R",553,"R",732,"R",69,"R",0,"R",6,"R",2
102632, 3,"R",920,"R",407,"R",273,"R",240,"R",371,"R",36,"R",0,"R",0,"R",0
102632,11,"R",758,"R",402,"R",43,"R",313,"R",361,"R",33,"R",0,"R",6,"R",2
102632,12,"R",240,"R",131,"R",71,"R",38,"R",118,"R",8,"R",0,"R",5,"R",0
102669, 1,"R",578,"R",88,"R",150,"R",340,"R",80,"R",8,"Z",0,"Z",0,"R",0
102669, 2,"R",437,"R",77,"R",138,"R",222,"R",71,"R",6,"Z",0,"Z",0,"R",0
102669, 3,"R",400,"R",59,"R",133,"R",208,"R",54,"R",5,"Z",0,"Z",0,"R",0
