UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",6614,"R",406,"R",2630,"R",3578,"R",232,"R",93,"Z",0,"Z",0,"R",81
100654, 2,"R",5845,"R",265,"R",2407,"R",3173,"R",149,"R",71,"Z",0,"Z",0,"R",45
100654, 3,"R",5726,"R",263,"R",2404,"R",3059,"R",149,"R",71,"Z",0,"Z",0,"R",43
100654,11,"R",119,"R",2,"R",3,"R",114,"Z",0,"Z",0,"Z",0,"Z",0,"R",2
100654,12,"R",769,"R",141,"R",223,"R",405,"R",83,"R",22,"Z",0,"Z",0,"R",36
100663, 1,"R",21160,"R",5807,"R",8807,"R",6546,"R",4153,"R",1629,"Z",0,"R",6,"R",19
100663, 2,"R",12382,"R",2321,"R",7079,"R",2982,"R",2064,"R",254,"Z",0,"R",1,"R",2
100663, 3,"R",12118,"R",2207,"R",7039,"R",2872,"R",1961,"R",243,"Z",0,"R",1,"R",2
100663,11,"R",264,"R",114,"R",40,"R",110,"R",103,"R",11,"Z",0,"R",0,"R",0
100663,12,"R",8778,"R",3486,"R",1728,"R",3564,"R",2089,"R",1375,"Z",0,"R",5,"R",17
100690, 1,"R",636,"R",636,"A",,"A",,"R",308,"R",328,"Z",0,"Z",0,"R",0
100690, 2,"R",226,"R",226,"A",,"A",,"R",143,"R",83,"Z",0,"Z",0,"R",0
100690, 3,"R",226,"R",226,"A",,"A",,"R",143,"R",83,"Z",0,"Z",0,"R",0
100690,12,"R",410,"R",410,"A",,"A",,"R",165,"R",245,"Z",0,"Z",0,"R",0
100706, 1,"R",8743,"R",861,"R",3924,"R",3958,"R",700,"R",149,"R",4,"R",8,"R",0
100706, 2,"R",6851,"R",372,"R",3589,"R",2890,"R",329,"R",38,"R",2,"R",3,"R",0
100706, 3,"R",6650,"R",353,"R",3554,"R",2743,"R",310,"R",38,"R",2,"R",3,"R",0
100706,11,"R",201,"R",19,"R",35,"R",147,"R",19,"R",0,"R",0,"R",0,"R",0
100706,12,"R",1892,"R",489,"R",335,"R",1068,"R",371,"R",111,"R",2,"R",5,"R",0
100724, 1,"R",3870,"R",504,"R",2675,"R",691,"R",342,"R",153,"R",0,"R",0,"R",9
100724, 2,"R",3322,"R",191,"R",2510,"R",621,"R",104,"R",84,"R",0,"R",0,"R",3
100724, 3,"R",3322,"R",191,"R",2510,"R",621,"R",104,"R",84,"R",0,"R",0,"R",3
100724,12,"R",548,"R",313,"R",165,"R",70,"R",238,"R",69,"R",0,"R",0,"R",6
100751, 1,"R",39622,"R",5998,"R",11157,"R",22467,"R",3567,"R",2374,"R",31,"R",26,"R",0
100751, 2,"R",33435,"R",3381,"R",10511,"R",19543,"R",2372,"R",980,"R",17,"R",12,"R",0
100751, 3,"R",32323,"R",2378,"R",10494,"R",19451,"R",1484,"R",869,"R",15,"R",10,"R",0
100751,11,"R",1112,"R",1003,"R",17,"R",92,"R",888,"R",111,"R",2,"R",2,"R",0
100751,12,"R",6187,"R",2617,"R",646,"R",2924,"R",1195,"R",1394,"R",14,"R",14,"R",0
100760, 1,"R",1910,"R",332,"R",637,"R",941,"R",328,"R",4,"R",0,"R",0,"R",0
100760, 2,"R",1910,"R",332,"R",637,"R",941,"R",328,"R",4,"R",0,"R",0,"R",0
100760, 3,"R",1134,"R",188,"R",491,"R",455,"R",184,"R",4,"R",0,"R",0,"R",0
100760,11,"R",776,"R",144,"R",146,"R",486,"R",144,"R",0,"R",0,"R",0,"R",0
100812, 1,"R",2955,"R",2081,"R",651,"R",223,"R",1908,"R",148,"R",0,"R",25,"R",0
