UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
100654,"R",131684,"A",,"R",15163,"G",4389,"G",632,"G",4389,"G",632,2
100663,"R",291383,"A",,"R",143706,"G",9713,"G",5988,"G",9713,"G",5988,2
100690,"R",10672,"A",,"R",6554,"G",356,"G",273,"G",356,"G",273,2
100706,"R",162214,"A",,"R",21655,"G",5407,"G",902,"R",5407,"R",957,2
100724,"R",148932,"A",,"R",15956,"G",4964,"G",665,"G",4964,"G",665,2
100751,"R",691952,"A",,"R",100010,"G",23065,"G",4167,"G",23065,"G",4167,2
100760,"R",66304,"A",,"A",,"G",2210,"A",,"G",2210,"A",,2
100812,"R",88139,"A",,"A",,"G",2938,"A",,"G",2938,"A",,2
100830,"R",113517,"A",,"R",15253,"G",3784,"G",636,"G",3784,"G",636,2
100858,"R",575751,"A",,"R",106112,"G",19192,"G",4421,"G",19192,"G",4421,2
100937,"R",53638,"A",,"R",489,"G",1788,"G",20,"R",1490,"R",20,2
101028,"R",44167,"A",,"A",,"G",1472,"A",,"G",1472,"A",,2
101073,"R",15388,"A",,"A",,"G",513,"A",,"G",513,"A",,2
101116,"R",25711,"A",,"R",1320,"G",571,"G",37,"G",571,"G",37,2
101143,"R",82253,"A",,"A",,"G",2742,"A",,"G",2742,"A",,2
101161,"R",115539,"A",,"A",,"G",3851,"A",,"G",3851,"A",,2
101189,"R",86659,"A",,"R",14068,"G",2889,"G",586,"G",2889,"G",586,2
101240,"R",182437,"A",,"A",,"G",6081,"A",,"G",6081,"A",,2
101286,"R",124945,"A",,"A",,"G",4165,"A",,"G",4165,"A",,2
101295,"R",171206,"A",,"A",,"G",5707,"A",,"G",5707,"A",,2
101301,"R",58464,"A",,"A",,"G",1949,"A",,"G",1949,"A",,2
101365,"R",15295,"A",,"A",,"G",510,"A",,"G",510,"A",,2
101435,"R",29783,"A",,"A",,"G",993,"A",,"G",993,"A",,2
101453,"R",1341,"A",,"R",300,"G",45,"G",13,"G",45,"G",13,2
101462,"R",34170,"A",,"A",,"G",1139,"A",,"G",1139,"A",,2
101471,"R",21221,"A",,"A",,"G",707,"A",,"G",707,"A",,2
101480,"R",212370,"A",,"R",20435,"G",7079,"G",851,"G",7079,"G",851,2
101499,"R",36259,"A",,"A",,"G",1209,"A",,"G",1209,"A",,2
101505,"R",187924,"A",,"A",,"G",6264,"A",,"G",6264,"A",,2
101514,"R",251351,"A",,"A",,"G",8378,"A",,"G",8378,"A",,2
101541,"R",8754,"A",,"A",,"G",292,"A",,"R",365,"A",,2
101569,"R",112469,"A",,"A",,"G",3749,"A",,"G",3749,"A",,2
101587,"R",51782,"A",,"R",67417,"G",1726,"G",2809,"G",1726,"G",2809,2
101602,"R",49216,"A",,"A",,"G",1641,"A",,"G",1641,"A",,2
101648,"R",15412,"A",,"A",,"G",514,"A",,"G",514,"A",,2
101675,"R",55209,"A",,"A",,"G",1840,"A",,"G",1840,"A",,2
101693,"R",39709,"A",,"R",2578,"G",1324,"G",107,"G",1324,"G",107,2
101709,"R",73968,"A",,"R",9014,"G",2466,"G",376,"G",2466,"G",376,2
101736,"R",105047,"A",,"A",,"G",3502,"A",,"G",3502,"A",,2
101879,"R",160050,"A",,"R",16817,"G",5335,"G",701,"G",5335,"G",701,2
101897,"R",88904,"A",,"A",,"G",2963,"A",,"G",2963,"A",,2
101912,"R",51892,"A",,"R",1287,"G",1730,"G",54,"G",1730,"G",54,2
101949,"R",39381,"A",,"A",,"G",1313,"A",,"G",1313,"A",,2
101958,"R",2961,"A",,"A",,"G",66,"A",,"G",66,"A",,2
101994,"R",23090,"A",,"A",,"G",770,"A",,"G",770,"A",,2
102030,"R",84791,"A",,"A",,"G",2826,"A",,"G",2826,"A",,2
102049,"R",91216,"A",,"R",49415,"G",3041,"G",2059,"G",3041,"G",2059,2
102058,"R",13296,"A",,"R",372,"G",443,"G",16,"G",443,"G",16,2
102067,"R",153919,"A",,"A",,"G",5131,"A",,"G",5131,"A",,2
102076,"R",63284,"A",,"A",,"G",2109,"A",,"G",2109,"A",,2
102094,"R",313140,"A",,"R",59128,"G",10438,"G",2464,"R",10438,"R",2897,2
102234,"R",41214,"A",,"R",2592,"G",1374,"G",108,"G",1374,"G",108,2
102261,"R",5276,"A",,"A",,"G",176,"A",,"G",176,"A",,2
102270,"R",34359,"A",,"A",,"G",1145,"A",,"G",1145,"A",,2
102298,"R",19273,"A",,"A",,"G",642,"A",,"G",642,"A",,2
102313,"R",49722,"A",,"A",,"G",1657,"A",,"G",1657,"A",,2
102368,"R",372173,"A",,"R",77400,"G",12406,"G",3225,"G",12406,"G",3225,2
102377,"R",97722,"A",,"R",7052,"G",3257,"G",294,"G",3257,"G",294,2
102395,"R",3075,"A",,"R",7845,"G",103,"G",327,"G",103,"G",327,2
102429,"R",119924,"A",,"A",,"G",3997,"A",,"G",3997,"A",,2
102553,"R",330198,"A",,"R",26506,"G",11007,"G",1104,"R",11007,"R",1104,2
102580,"R",862,"A",,"A",,"G",29,"A",,"G",29,"A",,2
102614,"R",159681,"A",,"R",19752,"G",5323,"G",823,"R",5323,"R",823,2
102632,"R",44522,"A",,"R",9603,"G",1484,"G",400,"R",1484,"R",400,2
102669,"R",12746,"A",,"R",3809,"G",425,"G",159,"G",425,"G",159,2
102711,"A",,"R",336924,"A",,"G",374,"A",,"G",374,"A",,1
102845,"R",93456,"A",,"A",,"G",2077,"A",,"G",2077,"A",,2
103361,"R",8587,"A",,"A",,"G",286,"A",,"R",288,"A",,2
103501,"A",,"R",475575,"A",,"G",528,"A",,"G",528,"A",,1
103644,"R",182861,"A",,"A",,"G",4064,"A",,"R",4796,"A",,2
103723,"R",82434,"A",,"A",,"G",1832,"A",,"G",1832,"A",,2
103732,"A",,"R",165951,"A",,"G",184,"A",,"R",104,"A",,1
103741,"A",,"R",369616,"A",,"G",411,"A",,"R",231,"A",,1
103778,"R",42,"A",,"R",28648,"G",1,"G",1194,"G",1,"G",1194,2
103787,"R",2354,"A",,"A",,"G",78,"A",,"G",78,"A",,2
103811,"A",,"R",838560,"A",,"G",932,"A",,"G",932,"A",,1
103893,"R",29631,"A",,"A",,"G",988,"A",,"G",988,"A",,2
103909,"R",37723,"A",,"A",,"G",1257,"A",,"G",1257,"A",,2
103927,"R",23380,"A",,"A",,"G",779,"A",,"G",779,"A",,2
103945,"R",10470,"A",,"A",,"G",349,"A",,"R",349,"A",,2
103954,"A",,"R",104245,"A",,"G",116,"A",,"G",116,"A",,1
103963,"A",,"R",2710160,"A",,"G",3011,"A",,"G",3011,"A",,1
104090,"R",94080,"A",,"A",,"G",3136,"A",,"G",3136,"A",,2
104151,"R",1514128,"A",,"R",258414,"G",50471,"G",10767,"G",50471,"G",10767,2
104160,"R",156168,"A",,"A",,"G",5206,"A",,"G",5206,"A",,2
