UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
100654,"R",158541,"A",,"R",23363,"G",5285,"G",973,"G",5285,"G",973,2
100663,"R",306237,"A",,"R",95070,"G",10208,"G",3961,"G",10208,"G",3961,2
100690,"R",11688,"A",,"R",4905,"G",390,"G",204,"G",390,"G",204,2
100706,"R",141313,"A",,"R",21680,"G",4710,"G",903,"R",4710,"R",954,2
100724,"R",136016,"A",,"R",12627,"G",4534,"G",526,"G",4534,"G",526,2
100751,"R",468085,"A",,"R",82349,"G",15603,"G",3431,"G",15603,"G",3431,2
100760,"R",50873,"A",,"A",,"G",1696,"A",,"G",1696,"A",,2
100812,"R",65414,"A",,"A",,"G",2180,"A",,"G",2180,"A",,2
100830,"R",111824,"A",,"R",13416,"G",3727,"G",559,"G",3727,"G",559,2
100858,"R",563324,"A",,"R",90325,"G",18777,"G",3764,"G",18777,"G",3764,2
100937,"R",48878,"A",,"R",1122,"G",1629,"G",47,"G",1629,"G",47,2
101028,"R",18705,"A",,"A",,"G",624,"A",,"G",624,"A",,2
101073,"R",22527,"A",,"A",,"G",751,"A",,"G",751,"A",,2
101116,"R",15715,"A",,"R",68,"G",349,"G",2,"G",349,"G",2,2
101143,"R",48174,"A",,"A",,"G",1606,"A",,"G",1606,"A",,2
101161,"R",83507,"A",,"A",,"G",2784,"A",,"G",2784,"A",,2
101189,"R",77217,"A",,"R",8930,"G",2574,"G",372,"G",2574,"G",372,2
101231,"A",,"R",164880,"A",,"G",183,"A",,"G",183,"A",,1
101240,"R",140050,"A",,"A",,"G",4668,"A",,"G",4668,"A",,2
101286,"R",95862,"A",,"A",,"G",3195,"A",,"G",3195,"A",,2
101295,"R",135378,"A",,"A",,"G",4513,"A",,"G",4513,"A",,2
101301,"R",47536,"A",,"A",,"G",1585,"A",,"G",1585,"A",,2
101365,"R",14089,"A",,"A",,"G",470,"A",,"G",470,"A",,2
101435,"R",21134,"A",,"A",,"G",704,"A",,"R",739,"A",,2
101453,"R",2162,"A",,"R",135,"G",72,"G",6,"G",72,"G",6,2
101462,"R",20035,"A",,"A",,"G",668,"A",,"G",668,"A",,2
101471,"R",22835,"A",,"A",,"G",761,"A",,"R",761,"A",,2
101480,"R",202361,"A",,"R",30025,"G",6745,"G",1251,"G",6745,"G",1251,2
101499,"R",34202,"A",,"A",,"G",1140,"A",,"G",1140,"A",,2
101505,"R",150702,"A",,"A",,"G",5023,"A",,"G",5023,"A",,2
101514,"R",179247,"A",,"A",,"G",5975,"A",,"G",5975,"A",,2
101541,"R",11837,"A",,"A",,"G",395,"A",,"G",395,"A",,2
101569,"R",86958,"A",,"A",,"G",2899,"A",,"G",2899,"A",,2
101587,"R",44747,"A",,"R",16176,"G",1492,"G",674,"G",1492,"G",674,2
101602,"R",39894,"A",,"A",,"G",1330,"A",,"G",1330,"A",,2
101648,"R",6191,"A",,"A",,"G",206,"A",,"G",206,"A",,2
101675,"R",52361,"A",,"A",,"G",1745,"A",,"G",1745,"A",,2
101693,"R",42771,"A",,"R",3617,"G",1426,"G",151,"G",1426,"G",151,2
101709,"R",74266,"A",,"R",7281,"G",2476,"G",303,"G",2476,"G",303,2
101736,"R",97777,"A",,"A",,"G",3259,"A",,"G",3259,"A",,2
101879,"R",139165,"A",,"R",12438,"G",4639,"G",518,"G",4639,"G",518,2
101897,"R",43599,"A",,"A",,"G",1453,"A",,"G",1453,"A",,2
101912,"R",47587,"A",,"A",,"G",1586,"A",,"G",1586,"A",,2
101949,"R",38850,"A",,"A",,"G",1295,"A",,"G",1295,"A",,2
101958,"R",2175,"A",,"A",,"G",48,"A",,"G",48,"A",,2
101994,"R",17060,"A",,"A",,"G",569,"A",,"G",569,"A",,2
102030,"R",102743,"A",,"A",,"G",3425,"A",,"G",3425,"A",,2
102049,"R",90315,"A",,"R",8629,"G",3011,"G",360,"G",3011,"G",360,2
102067,"R",141709,"A",,"A",,"G",4724,"A",,"G",4724,"A",,2
102076,"R",50776,"A",,"A",,"G",1693,"A",,"G",1693,"A",,2
102094,"R",279844,"A",,"R",49167,"G",9328,"G",2049,"R",9328,"R",2082,2
102216,"R",4875,"A",,"A",,"G",108,"A",,"G",108,"A",,2
102234,"R",36765,"A",,"R",2407,"G",1226,"G",100,"G",1226,"G",100,2
102261,"R",6502,"A",,"A",,"G",217,"A",,"G",217,"A",,2
102270,"R",30363,"A",,"A",,"G",1012,"A",,"G",1012,"A",,2
102298,"R",11190,"A",,"A",,"G",373,"A",,"G",373,"A",,2
102313,"R",39514,"A",,"A",,"G",1317,"A",,"G",1317,"A",,2
102368,"R",405742,"A",,"R",153747,"G",13525,"G",6406,"G",13525,"G",6406,2
102377,"R",72823,"A",,"R",3133,"G",2427,"G",131,"G",2427,"G",131,2
102395,"R",438,"A",,"R",7692,"G",15,"G",321,"G",15,"G",321,2
102429,"R",101381,"A",,"A",,"G",3379,"A",,"G",3379,"A",,2
102553,"R",305796,"A",,"R",14812,"G",10193,"G",617,"G",10193,"G",617,2
102614,"R",151726,"A",,"R",16118,"G",5058,"G",672,"G",5058,"G",672,2
102632,"R",50411,"A",,"R",3832,"G",1680,"G",160,"G",1680,"G",160,2
102669,"R",13060,"A",,"R",3763,"G",435,"G",157,"G",435,"G",157,2
102711,"A",,"R",261603,"A",,"G",291,"A",,"G",291,"A",,1
102845,"R",22343,"A",,"A",,"G",497,"A",,"G",497,"A",,2
103361,"R",10202,"A",,"A",,"G",340,"A",,"G",340,"A",,2
103440,"R",3834,"A",,"A",,"G",128,"A",,"G",128,"A",,2
103501,"A",,"R",348346,"A",,"G",387,"A",,"G",387,"A",,1
103644,"R",39360,"A",,"A",,"G",875,"A",,"G",875,"A",,2
103723,"R",84650,"A",,"A",,"G",2822,"A",,"G",2822,"A",,2
103732,"A",,"R",92600,"A",,"G",103,"A",,"G",103,"A",,1
103741,"A",,"R",241200,"A",,"G",268,"A",,"G",268,"A",,1
103778,"A",,"A",,"R",32118,"A",,"G",1338,"A",,"G",1338,-2
103787,"R",909,"A",,"A",,"G",30,"A",,"G",30,"A",,2
103811,"A",,"R",368560,"A",,"G",410,"A",,"G",410,"A",,1
103893,"R",83862,"A",,"A",,"G",2795,"A",,"G",2795,"A",,2
103945,"R",6756,"A",,"A",,"G",225,"A",,"G",225,"A",,2
103954,"A",,"R",90550,"A",,"G",101,"A",,"G",101,"A",,1
103963,"R",14290,"A",,"A",,"G",318,"A",,"G",318,"A",,2
104090,"A",,"R",231508,"A",,"G",257,"A",,"G",257,"A",,1
104151,"R",1031395,"A",,"R",152728,"G",34380,"G",6364,"G",34380,"G",6364,2
104160,"R",107725,"A",,"A",,"G",3591,"A",,"G",3591,"A",,2
104179,"R",697947,"A",,"R",103976,"G",23265,"G",4332,"G",23265,"G",4332,2
104188,"R",9450,"A",,"A",,"G",315,"A",,"G",315,"A",,2
104294,"A",,"R",463680,"A",,"G",515,"A",,"G",515,"A",,1
104346,"R",116705,"A",,"A",,"G",3890,"A",,"G",3890,"A",,2
104364,"R",22402,"A",,"R",109,"G",498,"G",3,"R",649,"G",3,2
