UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
100654,"R",138125,"A",,"R",15340,"G",4604,"G",639,"G",4604,"G",639,2
100663,"R",297795,"A",,"R",143790,"G",9927,"G",5991,"G",9927,"G",5991,2
100690,"R",9936,"A",,"R",6518,"G",331,"G",272,"G",331,"G",272,2
100706,"R",156318,"A",,"R",22266,"G",5211,"G",928,"R",5211,"R",988,2
100724,"R",147874,"A",,"R",15479,"G",4929,"G",645,"G",4929,"G",645,2
100751,"R",716492,"A",,"R",107102,"G",23883,"G",4463,"G",23883,"G",4463,2
100760,"R",62836,"A",,"A",,"G",2095,"A",,"R",2095,"A",,2
100812,"R",87498,"A",,"A",,"G",2917,"A",,"R",2917,"A",,2
100830,"R",122177,"A",,"R",16337,"G",4073,"G",681,"G",4073,"G",681,2
100858,"R",589768,"A",,"R",106831,"G",19659,"G",4451,"G",19659,"G",4451,2
100937,"R",54968,"A",,"R",234,"G",1832,"G",10,"R",1527,"R",10,2
101028,"R",42338,"A",,"A",,"G",1411,"A",,"G",1411,"A",,2
101073,"R",14699,"A",,"A",,"G",490,"A",,"G",490,"A",,2
101116,"R",54864,"A",,"R",1444,"G",1219,"G",40,"G",1219,"G",40,2
101143,"R",83355,"A",,"A",,"G",2779,"A",,"G",2779,"A",,2
101161,"R",120956,"A",,"A",,"G",4032,"A",,"G",4032,"A",,2
101189,"R",85100,"A",,"R",14860,"G",2837,"G",619,"G",2837,"G",619,2
101240,"R",179904,"A",,"A",,"G",5997,"A",,"G",5997,"A",,2
101277,"A",,"R",70326,"A",,"G",78,"A",,"R",52,"A",,1
101286,"R",126194,"A",,"A",,"G",4206,"A",,"G",4206,"A",,2
101295,"R",168729,"A",,"A",,"G",5624,"A",,"G",5624,"A",,2
101301,"R",61489,"A",,"A",,"G",2050,"A",,"G",2050,"A",,2
101365,"R",15093,"A",,"A",,"G",503,"A",,"G",503,"A",,2
101435,"R",30932,"A",,"A",,"G",1031,"A",,"G",1031,"A",,2
101453,"R",1082,"A",,"R",279,"G",36,"G",12,"G",36,"G",12,2
101462,"R",34836,"A",,"A",,"G",1161,"A",,"G",1161,"A",,2
101471,"R",20711,"A",,"A",,"G",690,"A",,"G",690,"A",,2
101480,"R",215396,"A",,"R",20160,"G",7180,"G",840,"G",7180,"G",840,2
101499,"R",32799,"A",,"A",,"G",1093,"A",,"G",1093,"A",,2
101505,"R",205813,"A",,"A",,"G",6860,"A",,"G",6860,"A",,2
101514,"R",264433,"A",,"A",,"G",8814,"A",,"G",8814,"A",,2
101541,"R",9276,"A",,"A",,"G",309,"A",,"R",387,"A",,2
101569,"R",119328,"A",,"A",,"G",3978,"A",,"G",3978,"A",,2
101587,"R",50926,"A",,"R",47802,"G",1698,"G",1992,"G",1698,"G",1992,2
101602,"R",49416,"A",,"A",,"G",1647,"A",,"G",1647,"A",,2
101648,"R",13697,"A",,"A",,"G",457,"A",,"G",457,"A",,2
101675,"R",51728,"A",,"A",,"G",1724,"A",,"G",1724,"A",,2
101693,"R",40299,"A",,"R",2854,"G",1343,"G",119,"G",1343,"G",119,2
101709,"R",72462,"A",,"R",9890,"G",2415,"G",412,"G",2415,"G",412,2
101736,"R",100794,"A",,"A",,"G",3360,"A",,"G",3360,"A",,2
101879,"R",163046,"A",,"R",16367,"G",5435,"G",682,"G",5435,"G",682,2
101897,"R",87097,"A",,"A",,"G",2903,"A",,"G",2903,"A",,2
101912,"R",54057,"A",,"R",1031,"G",1802,"G",43,"G",1802,"G",43,2
101949,"R",41568,"A",,"A",,"G",1386,"A",,"G",1386,"A",,2
101958,"A",,"R",67145,"A",,"G",75,"A",,"G",75,"A",,1
101994,"R",22055,"A",,"A",,"G",735,"A",,"G",735,"A",,2
102030,"R",87294,"A",,"A",,"G",2910,"A",,"G",2910,"A",,2
102049,"R",93156,"A",,"R",48722,"G",3105,"G",2030,"G",3105,"G",2030,2
102058,"R",11975,"A",,"R",612,"G",399,"G",26,"G",399,"G",26,2
102067,"R",146943,"A",,"A",,"G",4898,"A",,"G",4898,"A",,2
102076,"R",60267,"A",,"A",,"G",2009,"A",,"G",2009,"A",,2
102094,"R",315401,"A",,"R",60593,"G",10513,"G",2525,"R",10513,"R",2992,2
102234,"R",42058,"A",,"R",3035,"G",1402,"G",126,"G",1402,"G",126,2
102261,"R",4474,"A",,"A",,"G",149,"A",,"G",149,"A",,2
102270,"R",36016,"A",,"A",,"G",1201,"A",,"G",1201,"A",,2
102298,"R",16598,"A",,"A",,"G",553,"A",,"R",610,"A",,2
102313,"R",50110,"A",,"A",,"G",1670,"A",,"G",1670,"A",,2
102368,"R",498178,"A",,"R",96061,"G",16606,"G",4003,"G",16606,"G",4003,2
102377,"R",75755,"A",,"R",11500,"G",2525,"G",479,"G",2525,"G",479,2
102395,"R",3435,"A",,"R",8247,"G",115,"G",344,"G",115,"G",344,2
102429,"R",115214,"A",,"A",,"G",3840,"A",,"G",3840,"A",,2
102553,"R",342291,"A",,"R",26500,"G",11410,"G",1104,"G",11410,"G",1104,2
102580,"R",1069,"A",,"A",,"G",36,"A",,"G",36,"A",,2
102614,"R",166363,"A",,"R",18108,"G",5545,"G",755,"G",5545,"G",755,2
102632,"R",47375,"A",,"R",11027,"G",1579,"G",459,"G",1579,"G",459,2
102669,"R",12627,"A",,"R",3840,"G",421,"G",160,"G",421,"G",160,2
102711,"A",,"R",309452,"A",,"G",344,"A",,"G",344,"A",,1
102845,"R",120157,"A",,"A",,"G",2670,"A",,"G",2670,"A",,2
103361,"R",8907,"A",,"A",,"G",297,"A",,"G",297,"A",,2
103501,"A",,"R",427475,"A",,"G",475,"A",,"G",475,"A",,1
103644,"R",219320,"A",,"A",,"G",7311,"A",,"R",5948,"A",,2
103723,"R",75510,"A",,"A",,"G",1678,"A",,"G",1678,"A",,2
103732,"A",,"R",189495,"A",,"G",211,"A",,"G",211,"A",,1
103741,"A",,"R",343582,"A",,"G",382,"A",,"G",382,"A",,1
103778,"R",21,"A",,"R",26997,"G",1,"G",1125,"G",1,"G",1125,2
103787,"R",2603,"A",,"A",,"G",87,"A",,"G",87,"A",,2
103811,"R",44640,"R",134240,"A",,"G",1637,"A",,"R",1673,"A",,3
103893,"R",27081,"A",,"A",,"G",903,"A",,"G",903,"A",,2
103909,"R",35727,"A",,"A",,"G",1191,"A",,"G",1191,"A",,2
103927,"R",21801,"A",,"A",,"G",727,"A",,"G",727,"A",,2
103945,"R",9990,"A",,"A",,"G",333,"A",,"G",333,"A",,2
103954,"A",,"R",88125,"A",,"G",98,"A",,"G",98,"A",,1
103963,"A",,"R",3317680,"A",,"G",3686,"A",,"G",3686,"A",,1
104090,"R",46314,"A",,"A",,"G",1544,"A",,"G",1544,"A",,2
104151,"R",1582852,"A",,"R",264477,"G",52762,"G",11020,"G",52762,"G",11020,2
104160,"R",168318,"R",138751,"A",,"G",5765,"A",,"R",5828,"A",,3
104179,"R",868142,"A",,"R",178894,"G",28938,"G",7454,"G",28938,"G",7454,2
104188,"R",10330,"A",,"A",,"G",344,"A",,"G",344,"A",,2
104294,"A",,"R",287581,"A",,"G",320,"A",,"G",320,"A",,1
104346,"R",153875,"A",,"A",,"G",5129,"A",,"R",5129,"A",,2
104364,"R",37850,"A",,"A",,"G",841,"A",,"G",841,"A",,2
104391,"A",,"R",81897,"A",,"G",91,"A",,"G",91,"A",,1
104425,"R",308159,"A",,"A",,"G",10272,"A",,"R",9378,"A",,2
104434,"A",,"R",87081,"A",,"G",97,"A",,"G",97,"A",,1
104443,"A",,"R",310809,"A",,"G",345,"A",,"G",345,"A",,1
104504,"A",,"R",238500,"A",,"G",265,"A",,"G",265,"A",,1
104531,"R",63129,"A",,"A",,"G",2104,"A",,"R",1754,"A",,2
104568,"A",,"R",256743,"A",,"G",285,"A",,"G",285,"A",,1
104577,"R",134250,"A",,"A",,"G",4475,"A",,"G",4475,"A",,2
104586,"R",49257,"A",,"R",839,"G",1642,"G",35,"G",1642,"G",35,2
104665,"A",,"R",3800,"R",650,"G",4,"G",27,"G",4,"G",27,1
104708,"R",383307,"A",,"A",,"G",12777,"A",,"G",12777,"A",,2
104717,"R",596610,"A",,"R",350201,"G",19887,"G",14592,"G",19887,"G",14592,2
104805,"R",102330,"A",,"A",,"G",3411,"A",,"G",3411,"A",,2
104911,"A",,"R",242934,"A",,"G",270,"A",,"G",270,"A",,1
104984,"R",10747,"A",,"A",,"G",358,"A",,"G",358,"A",,2
105118,"R",30082,"A",,"A",,"G",1003,"A",,"G",1003,"A",,2
105127,"A",,"R",107336,"A",,"G",119,"A",,"G",119,"A",,1
105145,"R",116932,"A",,"A",,"G",3898,"A",,"G",3898,"A",,2
105154,"R",482920,"A",,"A",,"G",16097,"A",,"G",16097,"A",,2
105163,"R",22632,"A",,"A",,"G",503,"A",,"G",503,"A",,2
105172,"R",34672,"A",,"A",,"G",770,"A",,"G",770,"A",,2
105206,"R",125325,"A",,"A",,"G",4178,"A",,"G",4178,"A",,2
105215,"R",107563,"A",,"A",,"G",3585,"A",,"R",4455,"A",,2
105297,"R",52200,"A",,"A",,"G",1740,"A",,"G",1740,"A",,2
105330,"R",536302,"A",,"R",84210,"G",17877,"G",3509,"R",19747,"R",4211,2
105349,"R",65252,"A",,"A",,"G",2175,"A",,"G",2175,"A",,2
105367,"R",16283,"A",,"R",17351,"G",543,"G",723,"R",543,"R",964,2
105428,"R",227262,"A",,"A",,"G",7575,"A",,"G",7575,"A",,2
105482,"A",,"R",84230,"A",,"G",94,"A",,"G",94,"A",,1
105516,"R",108833,"A",,"R",35210,"G",3628,"G",1467,"G",3628,"G",1467,2
105525,"R",655179,"R",218854,"A",,"G",22082,"A",,"R",22907,"A",,3
105534,"A",,"R",1884358,"A",,"G",2094,"A",,"G",2094,"A",,1
105543,"A",,"R",1534153,"A",,"G",1705,"A",,"G",1705,"A",,1
105589,"R",25340,"A",,"R",7457,"G",845,"G",311,"G",845,"G",311,2
105659,"R",36240,"A",,"A",,"G",1208,"A",,"G",1208,"A",,2
105668,"R",431358,"A",,"A",,"G",14379,"A",,"G",14379,"A",,2
105677,"A",,"R",61600,"A",,"G",68,"A",,"G",68,"A",,1
105701,"A",,"R",67966,"A",,"G",76,"A",,"G",76,"A",,1
105747,"R",191901,"A",,"A",,"G",6397,"A",,"G",6397,"A",,2
105792,"R",88603,"A",,"A",,"G",2953,"A",,"G",2953,"A",,2
105899,"R",12164,"A",,"A",,"G",405,"A",,"G",405,"A",,2
105987,"R",9926,"A",,"A",,"G",331,"A",,"G",331,"A",,2
106041,"R",177629,"A",,"A",,"G",5921,"A",,"R",4352,"A",,2
106102,"R",33957,"A",,"R",9993,"G",1132,"G",416,"G",1132,"G",416,2
106111,"A",,"R",404073,"A",,"G",449,"A",,"G",449,"A",,1
106148,"R",116560,"A",,"A",,"G",3885,"A",,"G",3885,"A",,2
106245,"R",224983,"A",,"R",62762,"G",7499,"G",2615,"G",7499,"G",2615,2
106263,"R",25510,"A",,"R",52607,"G",850,"G",2192,"G",850,"G",2192,2
106281,"A",,"R",133800,"A",,"G",149,"A",,"R",91,"A",,1
106306,"R",29503,"A",,"A",,"G",983,"A",,"G",983,"A",,2
106315,"A",,"R",105000,"A",,"G",117,"A",,"G",117,"A",,1
106324,"A",,"R",25197,"A",,"G",28,"A",,"G",28,"A",,1
106342,"R",17986,"A",,"A",,"G",600,"A",,"G",600,"A",,2
106351,"A",,"R",99289,"A",,"G",110,"A",,"G",110,"A",,1
106360,"A",,"R",42134,"A",,"G",47,"A",,"G",47,"A",,1
106397,"R",494279,"A",,"R",77135,"G",16476,"G",3214,"G",16476,"G",3214,2
106412,"R",90692,"A",,"R",1939,"G",3023,"G",81,"G",3023,"G",81,2
106449,"R",106712,"A",,"A",,"G",3557,"A",,"G",3557,"A",,2
106458,"R",275134,"A",,"R",79590,"G",9171,"G",3316,"G",9171,"G",3316,2
106467,"R",239928,"A",,"R",12424,"G",7998,"G",518,"G",7998,"G",518,2
106485,"R",92979,"A",,"R",2241,"G",3099,"G",93,"G",3099,"G",93,2
106494,"A",,"R",85808,"A",,"G",95,"A",,"G",95,"A",,1
106546,"R",31903,"A",,"A",,"G",1063,"A",,"G",1063,"A",,2
106607,"A",,"R",52436,"A",,"G",58,"A",,"G",58,"A",,1
106625,"R",62406,"A",,"A",,"G",2080,"A",,"G",2080,"A",,2
106704,"R",272110,"A",,"R",33027,"G",9070,"G",1376,"G",9070,"G",1376,2
106713,"R",20851,"A",,"A",,"G",695,"A",,"R",781,"A",,2
106795,"R",32449,"A",,"A",,"G",1082,"A",,"G",1082,"A",,2
106810,"R",4820,"A",,"A",,"G",161,"A",,"G",161,"A",,2
106829,"R",10622,"R",49036,"A",,"G",409,"A",,"G",409,"A",,3
106883,"R",30956,"A",,"A",,"G",1032,"A",,"G",1032,"A",,2
106892,"A",,"R",330480,"A",,"G",367,"A",,"G",367,"A",,1
106908,"A",,"R",520657,"A",,"G",579,"A",,"G",579,"A",,1
106980,"R",83064,"A",,"A",,"G",2769,"A",,"G",2769,"A",,2
106999,"R",40219,"A",,"A",,"G",1341,"A",,"G",1341,"A",,2
107044,"R",125184,"A",,"R",30229,"G",4173,"G",1260,"G",4173,"G",1260,2
107071,"R",96801,"A",,"R",8217,"G",3227,"G",342,"G",3227,"G",342,2
107080,"R",43836,"A",,"R",396,"G",1461,"G",17,"R",1481,"R",13,2
107099,"A",,"R",68362,"A",,"G",76,"A",,"G",76,"A",,1
107123,"R",21,"R",51072,"A",,"G",57,"A",,"G",57,"A",,3
107141,"R",49918,"A",,"R",7574,"G",1664,"G",316,"G",1664,"G",316,2
107211,"A",,"R",34765,"A",,"G",39,"A",,"G",39,"A",,1
107220,"A",,"R",491804,"A",,"G",546,"A",,"G",546,"A",,1
107275,"A",,"R",10188,"A",,"G",11,"A",,"G",11,"A",,1
107293,"A",,"R",146100,"A",,"G",162,"A",,"G",162,"A",,1
107318,"R",40499,"A",,"A",,"G",1350,"A",,"G",1350,"A",,2
107327,"R",42524,"A",,"A",,"G",1417,"A",,"G",1417,"A",,2
107363,"A",,"R",72726,"A",,"G",81,"A",,"G",81,"A",,1
107442,"A",,"R",89490,"A",,"G",99,"A",,"G",99,"A",,1
107460,"R",57713,"A",,"A",,"G",1924,"A",,"G",1924,"A",,2
107488,"R",10085,"A",,"A",,"G",336,"A",,"G",336,"A",,2
107512,"R",44043,"A",,"A",,"G",1468,"A",,"G",1468,"A",,2
107521,"R",29832,"A",,"A",,"G",994,"A",,"G",994,"A",,2
107549,"R",37598,"A",,"A",,"G",1253,"A",,"G",1253,"A",,2
107558,"R",18900,"A",,"A",,"G",630,"A",,"G",630,"A",,2
107585,"R",59332,"A",,"A",,"G",1978,"A",,"G",1978,"A",,2
107600,"R",19312,"A",,"A",,"G",644,"A",,"G",644,"A",,2
107619,"R",40246,"A",,"A",,"G",1342,"A",,"G",1342,"A",,2
107637,"R",47080,"A",,"A",,"G",1569,"A",,"G",1569,"A",,2
107655,"A",,"R",82081,"A",,"G",91,"A",,"G",91,"A",,1
107664,"R",253752,"A",,"A",,"G",8458,"A",,"G",8458,"A",,2
107725,"R",33554,"A",,"A",,"G",1118,"A",,"G",1118,"A",,2
107743,"R",19842,"A",,"A",,"G",661,"A",,"G",661,"A",,2
107789,"A",,"R",128615,"A",,"G",143,"A",,"G",143,"A",,1
107831,"A",,"R",82770,"A",,"G",92,"A",,"R",80,"A",,1
107877,"R",17017,"A",,"A",,"G",567,"A",,"R",554,"A",,2
107974,"R",42140,"A",,"A",,"G",1405,"A",,"G",1405,"A",,2
107983,"R",83708,"A",,"R",7560,"G",2790,"G",315,"G",2790,"G",315,2
