unitid,efalevel,line,section,lstudy,"xefrac01",efrace01,"xefrac02",efrace02,"xefrac03",efrace03,"xefrac04",efrace04,"xefrac05",efrace05,"xefrac06",efrace06,"xefrac07",efrace07,"xefrac08",efrace08,"xefrac09",efrace09,"xefrac10",efrace10,"xefrac11",efrace11,"xefrac12",efrace12,"xefrac13",efrace13,"xefrac14",efrace14,"xefrac15",efrace15,"xefrac16",efrace16,"xefrac17",efrace17,"xefrac18",efrace18,"xefrac19",efrace19,"xefrac20",efrace20,"xefrac21",efrace21,"xefrac22",efrace22,"xefrac23",efrace23,"xefrac24",efrace24
100654,1,29,3,4,"R",148,"R",146,"R",2523,"R",3141,"R",7,"R",10,"R",8,"R",12,"R",12,"R",11,"R",168,"R",400,"R",2,"R",0,"R",2868,"R",3720,"R",294,"R",5664,"R",17,"R",20,"R",23,"R",568,"R",2,"R",6588
100654,2,99,3,2,"R",89,"R",90,"R",2340,"R",2593,"R",5,"R",4,"R",3,"R",8,"R",10,"R",10,"R",78,"R",96,"Z",0,"Z",0,"R",2525,"R",2801,"R",179,"R",4933,"R",9,"R",11,"R",20,"R",174,"Z",0,"R",5326
100654,3,99,3,2,"R",88,"R",86,"R",2334,"R",2580,"R",5,"R",4,"R",2,"R",6,"R",10,"R",10,"R",74,"R",93,"Z",0,"Z",0,"R",2513,"R",2779,"R",174,"R",4914,"R",9,"R",8,"R",20,"R",167,"Z",0,"R",5292
100654,4,99,3,2,"R",7,"R",15,"R",596,"R",655,"R",2,"R",1,"Z",0,"R",1,"R",3,"R",3,"R",12,"R",6,"Z",0,"Z",0,"R",620,"R",681,"R",22,"R",1251,"R",3,"R",1,"R",6,"R",18,"Z",0,"R",1301
100654,5,99,3,2,"R",81,"R",71,"R",1738,"R",1925,"R",3,"R",3,"R",2,"R",5,"R",7,"R",7,"R",62,"R",87,"Z",0,"Z",0,"R",1893,"R",2098,"R",152,"R",3663,"R",6,"R",7,"R",14,"R",149,"Z",0,"R",3991
100654,11,99,3,2,"R",1,"R",4,"R",6,"R",13,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",4,"R",3,"Z",0,"Z",0,"R",12,"R",22,"R",5,"R",19,"Z",0,"R",3,"Z",0,"R",7,"Z",0,"R",34
100654,12,99,3,2,"R",59,"R",56,"R",183,"R",548,"R",2,"R",6,"R",5,"R",4,"R",2,"R",1,"R",90,"R",304,"R",2,"Z",0,"R",343,"R",919,"R",115,"R",731,"R",8,"R",9,"R",3,"R",394,"R",2,"R",1262
100654,21,14,1,4,"R",120,"R",122,"R",2283,"R",2653,"R",5,"R",6,"R",2,"R",4,"R",7,"R",10,"R",76,"R",167,"R",0,"R",0,"R",2493,"R",2962,"R",242,"R",4936,"R",11,"R",6,"R",17,"R",243,"R",0,"R",5455
100654,22,8,1,1,"R",82,"R",82,"R",2219,"R",2412,"R",4,"R",4,"R",1,"R",4,"R",7,"R",9,"R",49,"R",73,"R",0,"R",0,"R",2362,"R",2584,"R",164,"R",4631,"R",8,"R",5,"R",16,"R",122,"R",0,"R",4946
100654,23,6,1,1,"R",82,"R",79,"R",2217,"R",2409,"R",4,"R",4,"R",1,"R",4,"R",7,"R",9,"R",49,"R",73,"R",0,"R",0,"R",2360,"R",2578,"R",161,"R",4626,"R",8,"R",5,"R",16,"R",122,"R",0,"R",4938
100654,24,1,1,1,"R",7,"R",15,"R",591,"R",647,"R",2,"R",1,"R",0,"R",1,"R",3,"R",3,"R",11,"R",6,"R",0,"R",0,"R",614,"R",673,"R",22,"R",1238,"R",3,"R",1,"R",6,"R",17,"R",0,"R",1287
100654,25,3,1,1,"R",75,"R",64,"R",1626,"R",1762,"R",2,"R",3,"R",1,"R",3,"R",4,"R",6,"R",38,"R",67,"R",0,"R",0,"R",1746,"R",1905,"R",139,"R",3388,"R",5,"R",4,"R",10,"R",105,"R",0,"R",3651
100654,31,7,1,1,"R",0,"R",3,"R",2,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",6,"R",3,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8
100654,32,11,1,3,"R",38,"R",40,"R",64,"R",241,"R",1,"R",2,"R",1,"R",0,"R",0,"R",1,"R",27,"R",94,"R",0,"R",0,"R",131,"R",378,"R",78,"R",305,"R",3,"R",1,"R",1,"R",121,"R",0,"R",509
100654,41,28,2,4,"R",28,"R",24,"R",240,"R",488,"R",2,"R",4,"R",6,"R",8,"R",5,"R",1,"R",92,"R",233,"R",2,"R",0,"R",375,"R",758,"R",52,"R",728,"R",6,"R",14,"R",6,"R",325,"R",2,"R",1133
100654,42,22,2,1,"R",7,"R",8,"R",121,"R",181,"R",1,"R",0,"R",2,"R",4,"R",3,"R",1,"R",29,"R",23,"R",0,"R",0,"R",163,"R",217,"R",15,"R",302,"R",1,"R",6,"R",4,"R",52,"R",0,"R",380
100654,43,20,2,1,"R",6,"R",7,"R",117,"R",171,"R",1,"R",0,"R",1,"R",2,"R",3,"R",1,"R",25,"R",20,"R",0,"R",0,"R",153,"R",201,"R",13,"R",288,"R",1,"R",3,"R",4,"R",45,"R",0,"R",354
100654,44,15,2,1,"R",0,"R",0,"R",5,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",6,"R",8,"R",0,"R",13,"R",0,"R",0,"R",0,"R",1,"R",0,"R",14
100654,45,17,2,1,"R",6,"R",7,"R",112,"R",163,"R",1,"R",0,"R",1,"R",2,"R",3,"R",1,"R",24,"R",20,"R",0,"R",0,"R",147,"R",193,"R",13,"R",275,"R",1,"R",3,"R",4,"R",44,"R",0,"R",340
100654,51,21,2,1,"R",1,"R",1,"R",4,"R",10,"R",0,"R",0,"R",1,"R",2,"R",0,"R",0,"R",4,"R",3,"R",0,"R",0,"R",10,"R",16,"R",2,"R",14,"R",0,"R",3,"R",0,"R",7,"R",0,"R",26
100654,52,25,2,3,"R",21,"R",16,"R",119,"R",307,"R",1,"R",4,"R",4,"R",4,"R",2,"R",0,"R",63,"R",210,"R",2,"R",0,"R",212,"R",541,"R",37,"R",426,"R",5,"R",8,"R",2,"R",273,"R",2,"R",753
100663,1,29,3,4,"R",631,"R",392,"R",1179,"R",3063,"R",36,"R",36,"R",251,"R",322,"R",64,"R",106,"R",4342,"R",5619,"R",132,"R",184,"R",6635,"R",9722,"R",1023,"R",4242,"R",72,"R",573,"R",170,"R",9961,"R",316,"R",16357
100663,2,99,3,2,"R",216,"R",162,"R",1029,"R",2505,"R",26,"R",27,"R",136,"R",198,"R",48,"R",77,"R",2857,"R",3511,"R",107,"R",147,"R",4419,"R",6627,"R",378,"R",3534,"R",53,"R",334,"R",125,"R",6368,"R",254,"R",11046
100663,3,99,3,2,"R",211,"R",155,"R",948,"R",2416,"R",26,"R",27,"R",128,"R",184,"R",44,"R",69,"R",2636,"R",3311,"R",88,"R",138,"R",4081,"R",6300,"R",366,"R",3364,"R",53,"R",312,"R",113,"R",5947,"R",226,"R",10381
100663,4,99,3,2,"R",15,"R",16,"R",209,"R",504,"R",4,"R",8,"R",21,"R",48,"R",5,"R",8,"R",354,"R",490,"R",7,"R",19,"R",615,"R",1093,"R",31,"R",713,"R",12,"R",69,"R",13,"R",844,"R",26,"R",1708
100663,5,99,3,2,"R",196,"R",139,"R",739,"R",1912,"R",22,"R",19,"R",107,"R",136,"R",39,"R",61,"R",2282,"R",2821,"R",81,"R",119,"R",3466,"R",5207,"R",335,"R",2651,"R",41,"R",243,"R",100,"R",5103,"R",200,"R",8673
100663,11,99,3,2,"R",5,"R",7,"R",81,"R",89,"Z",0,"Z",0,"R",8,"R",14,"R",4,"R",8,"R",221,"R",200,"R",19,"R",9,"R",338,"R",327,"R",12,"R",170,"Z",0,"R",22,"R",12,"R",421,"R",28,"R",665
100663,12,99,3,2,"R",409,"R",229,"R",129,"R",518,"R",5,"R",7,"R",55,"R",68,"R",14,"R",24,"R",1022,"R",1787,"R",21,"R",37,"R",1655,"R",2670,"R",638,"R",647,"R",12,"R",123,"R",38,"R",2809,"R",58,"R",4325
100663,16,99,3,3,"R",6,"R",1,"R",21,"R",40,"R",5,"R",2,"R",60,"R",56,"R",2,"R",5,"R",463,"R",321,"R",4,"Z",0,"R",561,"R",425,"R",7,"R",61,"R",7,"R",116,"R",7,"R",784,"R",4,"R",986
100663,21,14,1,4,"R",522,"R",317,"R",840,"R",2051,"R",27,"R",27,"R",198,"R",246,"R",50,"R",71,"R",2855,"R",3509,"R",82,"R",119,"R",4574,"R",6340,"R",839,"R",2891,"R",54,"R",444,"R",121,"R",6364,"R",201,"R",10914
100663,22,8,1,1,"R",188,"R",131,"R",766,"R",1827,"R",19,"R",21,"R",109,"R",153,"R",37,"R",54,"R",1861,"R",2394,"R",65,"R",98,"R",3045,"R",4678,"R",319,"R",2593,"R",40,"R",262,"R",91,"R",4255,"R",163,"R",7723
100663,23,6,1,1,"R",187,"R",131,"R",740,"R",1814,"R",19,"R",21,"R",108,"R",150,"R",36,"R",53,"R",1805,"R",2357,"R",64,"R",97,"R",2959,"R",4623,"R",318,"R",2554,"R",40,"R",258,"R",89,"R",4162,"R",161,"R",7582
100663,24,1,1,1,"R",14,"R",16,"R",198,"R",491,"R",4,"R",8,"R",20,"R",46,"R",5,"R",8,"R",325,"R",461,"R",7,"R",16,"R",573,"R",1046,"R",30,"R",689,"R",12,"R",66,"R",13,"R",786,"R",23,"R",1619
