UNITID,EFFYLEV,LSTUDY,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEYNRALT,EFYNRALT,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XEYUNKNT,EFYUNKNT,XEYTOTLT,EFYTOTLT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEFYHIST,EFYHISPT,XEFYAIAT,EFYAIANT,XEFYASIT,EFYASIAT,XEFYBKAT,EFYBKAAT,XEFYNHPT,EFYNHPIT,XEFYWHIT,EFYWHITT,XEFY2MOT,EFY2MORT,XDVEYAIT,DVEYAIT,XDVEYAIM,DVEYAIM,XDVEYAIW,DVEYAIW,XDVEYAPT,DVEYAPT,XDVEYAPM,DVEYAPM,XDVEYAPW,DVEYAPW,XDVEYBKT,DVEYBKT,XDVEYBKM,DVEYBKM,XDVEYBKW,DVEYBKW,XDVEYHST,DVEYHST,XDVEYHSM,DVEYHSM,XDVEYHSW,DVEYHSW,XDVEYWHT,DVEYWHT,XDVEYWHM,DVEYWHM,XDVEYWHW,DVEYWHW 
231554,1,999,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",30,"R",40,"R",368,"R",526,"R",0,"A",,"A",,"A",,"A",,"A",,"R",70,"R",894,"R",5,"R",12,"R",1,"R",1,"R",3,"R",6,"R",70,"R",123,"R",0,"R",0,"R",259,"R",344,"R",0,"R",0,"R",17,"R",2,"R",9,"R",193,"R",0,"R",603,"R",0,"R",2,"R",1,"R",1,"R",9,"R",3,"R",6,"R",193,"R",70,"R",123,"R",17,"R",5,"R",12,"R",603,"R",259,"R",344
231554,2,  1,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",30,"R",40,"R",368,"R",526,"R",0,"A",,"A",,"A",,"A",,"A",,"R",70,"R",894,"R",5,"R",12,"R",1,"R",1,"R",3,"R",6,"R",70,"R",123,"R",0,"R",0,"R",259,"R",344,"R",0,"R",0,"R",17,"R",2,"R",9,"R",193,"R",0,"R",603,"R",0,"R",2,"R",1,"R",1,"R",9,"R",3,"R",6,"R",193,"R",70,"R",123,"R",17,"R",5,"R",12,"R",603,"R",259,"R",344
231581,1,999,"R",7,"R",4,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",66,"R",79,"R",670,"R",969,"R",11,"A",,"A",,"A",,"A",,"A",,"R",145,"R",1639,"R",10,"R",21,"R",2,"R",1,"R",5,"R",9,"R",73,"R",43,"R",1,"R",0,"R",502,"R",799,"R",4,"R",13,"R",31,"R",3,"R",14,"R",116,"R",1,"R",1301,"R",17,"R",3,"R",2,"R",1,"R",15,"R",6,"R",9,"R",116,"R",73,"R",43,"R",31,"R",10,"R",21,"R",1301,"R",502,"R",799
231581,2,  1,"R",7,"R",4,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",66,"R",79,"R",670,"R",969,"R",11,"A",,"A",,"A",,"A",,"A",,"R",145,"R",1639,"R",10,"R",21,"R",2,"R",1,"R",5,"R",9,"R",73,"R",43,"R",1,"R",0,"R",502,"R",799,"R",4,"R",13,"R",31,"R",3,"R",14,"R",116,"R",1,"R",1301,"R",17,"R",3,"R",2,"R",1,"R",15,"R",6,"R",9,"R",116,"R",73,"R",43,"R",31,"R",10,"R",21,"R",1301,"R",502,"R",799
231624,1,999,"R",227,"R",207,"R",238,"R",446,"R",26,"R",43,"R",275,"R",303,"R",175,"R",284,"R",2385,"R",2720,"R",835,"R",1009,"R",4161,"R",5012,"R",434,"R",684,"R",69,"R",578,"R",459,"R",5105,"R",1844,"R",9173,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",69,"R",26,"R",43,"R",578,"R",275,"R",303,"R",684,"R",238,"R",446,"R",459,"R",175,"R",284,"R",5105,"R",2385,"R",2720
231624,2,  1,"R",77,"R",93,"R",172,"R",305,"R",23,"R",38,"R",245,"R",262,"R",152,"R",261,"R",1615,"R",1807,"R",614,"R",732,"R",2898,"R",3498,"R",170,"R",477,"R",61,"R",507,"R",413,"R",3422,"R",1346,"R",6396,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",61,"R",23,"R",38,"R",507,"R",245,"R",262,"R",477,"R",172,"R",305,"R",413,"R",152,"R",261,"R",3422,"R",1615,"R",1807
231624,4,  3,"R",150,"R",114,"R",66,"R",141,"R",3,"R",5,"R",30,"R",41,"R",23,"R",23,"R",770,"R",913,"R",221,"R",277,"R",1263,"R",1514,"R",264,"R",207,"R",8,"R",71,"R",46,"R",1683,"R",498,"R",2777,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",8,"R",3,"R",5,"R",71,"R",30,"R",41,"R",207,"R",66,"R",141,"R",46,"R",23,"R",23,"R",1683,"R",770,"R",913
231642,1,999,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1,"R",3,"R",35,"R",180,"Z",0,"A",,"A",,"A",,"A",,"A",,"R",4,"R",215,"R",1,"R",11,"R",1,"R",1,"R",3,"R",4,"R",16,"R",86,"Z",0,"Z",0,"R",13,"R",72,"Z",0,"R",3,"R",12,"R",2,"R",7,"R",102,"Z",0,"R",85,"R",3,"R",2,"R",1,"R",1,"R",7,"R",3,"R",4,"R",102,"R",16,"R",86,"R",12,"R",1,"R",11,"R",85,"R",13,"R",72
231642,2,  1,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1,"R",3,"R",35,"R",180,"Z",0,"A",,"A",,"A",,"A",,"A",,"R",4,"R",215,"R",1,"R",11,"R",1,"R",1,"R",3,"R",4,"R",16,"R",86,"Z",0,"Z",0,"R",13,"R",72,"Z",0,"R",3,"R",12,"R",2,"R",7,"R",102,"Z",0,"R",85,"R",3,"R",2,"R",1,"R",1,"R",7,"R",3,"R",4,"R",102,"R",16,"R",86,"R",12,"R",1,"R",11,"R",85,"R",13,"R",72
231651,1,999,"R",90,"R",69,"R",439,"R",1027,"R",16,"R",18,"R",52,"R",76,"R",98,"R",175,"R",1479,"R",1827,"R",149,"R",327,"R",2323,"R",3519,"R",159,"R",1466,"R",34,"R",128,"R",273,"R",3306,"R",476,"R",5842,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",34,"R",16,"R",18,"R",128,"R",52,"R",76,"R",1466,"R",439,"R",1027,"R",273,"R",98,"R",175,"R",3306,"R",1479,"R",1827
