UNITID,EFFYLEV,LSTUDY,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEYNRALT,EFYNRALT,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XEYUNKNT,EFYUNKNT,XEYTOTLT,EFYTOTLT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEFYHIST,EFYHISPT,XEFYAIAT,EFYAIANT,XEFYASIT,EFYASIAT,XEFYBKAT,EFYBKAAT,XEFYNHPT,EFYNHPIT,XEFYWHIT,EFYWHITT,XEFY2MOT,EFY2MORT,XDVEYAIT,DVEYAIT,XDVEYAIM,DVEYAIM,XDVEYAIW,DVEYAIW,XDVEYAPT,DVEYAPT,XDVEYAPM,DVEYAPM,XDVEYAPW,DVEYAPW,XDVEYBKT,DVEYBKT,XDVEYBKM,DVEYBKM,XDVEYBKW,DVEYBKW,XDVEYHST,DVEYHST,XDVEYHSM,DVEYHSM,XDVEYHSW,DVEYHSW,XDVEYWHT,DVEYWHT,XDVEYWHM,DVEYWHM,XDVEYWHW,DVEYWHW 
100654,1,999,"R",143,"R",131,"R",2483,"R",3237,"R",3,"R",7,"R",5,"R",10,"R",18,"R",15,"R",119,"R",263,"R",0,"R",1,"R",2771,"R",3664,"R",274,"R",5720,"R",10,"R",15,"R",33,"R",382,"R",1,"R",6435,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10,"R",3,"R",7,"R",15,"R",5,"R",10,"R",5720,"R",2483,"R",3237,"R",33,"R",18,"R",15,"R",382,"R",119,"R",263
100654,2,  1,"R",62,"R",64,"R",2292,"R",2623,"R",2,"R",4,"R",2,"R",5,"R",14,"R",10,"R",58,"R",48,"R",0,"R",1,"R",2430,"R",2755,"R",126,"R",4915,"R",6,"R",7,"R",24,"R",106,"R",1,"R",5185,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6,"R",2,"R",4,"R",7,"R",2,"R",5,"R",4915,"R",2292,"R",2623,"R",24,"R",14,"R",10,"R",106,"R",58,"R",48
100654,4,  3,"R",81,"R",67,"R",191,"R",614,"R",1,"R",3,"R",3,"R",5,"R",4,"R",5,"R",61,"R",215,"R",0,"R",0,"R",341,"R",909,"R",148,"R",805,"R",4,"R",8,"R",9,"R",276,"R",0,"R",1250,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4,"R",1,"R",3,"R",8,"R",3,"R",5,"R",805,"R",191,"R",614,"R",9,"R",4,"R",5,"R",276,"R",61,"R",215
100663,1,999,"R",518,"R",411,"R",1254,"R",3299,"R",33,"R",45,"R",326,"R",486,"R",108,"R",183,"R",5178,"R",6996,"R",294,"R",360,"R",7711,"R",11780,"R",929,"R",4553,"R",78,"R",812,"R",291,"R",12174,"R",654,"R",19491,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",78,"R",33,"R",45,"R",812,"R",326,"R",486,"R",4553,"R",1254,"R",3299,"R",291,"R",108,"R",183,"R",12174,"R",5178,"R",6996
100663,2,  1,"R",137,"R",150,"R",1054,"R",2608,"R",23,"R",21,"R",194,"R",329,"R",74,"R",127,"R",3447,"R",4192,"R",214,"R",227,"R",5143,"R",7654,"R",287,"R",3662,"R",44,"R",523,"R",201,"R",7639,"R",441,"R",12797,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",44,"R",23,"R",21,"R",523,"R",194,"R",329,"R",3662,"R",1054,"R",2608,"R",201,"R",74,"R",127,"R",7639,"R",3447,"R",4192
100663,3,  2,"R",2,"R",0,"R",19,"R",45,"R",4,"R",6,"R",48,"R",61,"R",3,"R",5,"R",457,"R",319,"R",24,"R",17,"R",557,"R",453,"R",2,"R",64,"R",10,"R",109,"R",8,"R",776,"R",41,"R",1010,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10,"R",4,"R",6,"R",109,"R",48,"R",61,"R",64,"R",19,"R",45,"R",8,"R",3,"R",5,"R",776,"R",457,"R",319
100663,4,  3,"R",379,"R",261,"R",181,"R",646,"R",6,"R",18,"R",84,"R",96,"R",31,"R",51,"R",1274,"R",2485,"R",56,"R",116,"R",2011,"R",3673,"R",640,"R",827,"R",24,"R",180,"R",82,"R",3759,"R",172,"R",5684,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",24,"R",6,"R",18,"R",180,"R",84,"R",96,"R",827,"R",181,"R",646,"R",82,"R",31,"R",51,"R",3759,"R",1274,"R",2485
100690,1,999,"Z",0,"Z",0,"R",157,"R",249,"Z",0,"R",1,"R",4,"R",1,"R",12,"R",24,"R",313,"R",217,"R",44,"R",45,"R",530,"R",537,"Z",0,"R",406,"R",1,"R",5,"R",36,"R",530,"R",89,"R",1067,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1,"Z",0,"R",1,"R",5,"R",4,"R",1,"R",406,"R",157,"R",249,"R",36,"R",12,"R",24,"R",530,"R",313,"R",217
100690,2,  1,"Z",0,"Z",0,"R",61,"R",118,"Z",0,"Z",0,"R",2,"Z",0,"R",10,"R",19,"R",160,"R",111,"R",29,"R",22,"R",262,"R",270,"Z",0,"R",179,"Z",0,"R",2,"R",29,"R",271,"R",51,"R",532,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",179,"R",61,"R",118,"R",29,"R",10,"R",19,"R",271,"R",160,"R",111
100690,3,  2,"Z",0,"Z",0,"R",37,"R",21,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",31,"R",9,"R",5,"R",1,"R",73,"R",31,"Z",0,"R",58,"Z",0,"Z",0,"Z",0,"R",40,"R",6,"R",104,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",58,"R",37,"R",21,"Z",0,"Z",0,"Z",0,"R",40,"R",31,"R",9
100690,4,  3,"Z",0,"Z",0,"R",59,"R",110,"Z",0,"R",1,"R",2,"R",1,"R",2,"R",5,"R",122,"R",97,"R",10,"R",22,"R",195,"R",236,"Z",0,"R",169,"R",1,"R",3,"R",7,"R",219,"R",32,"R",431,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1,"Z",0,"R",1,"R",3,"R",2,"R",1,"R",169,"R",59,"R",110,"R",7,"R",2,"R",5,"R",219,"R",122,"R",97
100706,1,999,"R",355,"R",167,"R",419,"R",730,"R",55,"R",72,"R",141,"R",130,"R",93,"R",96,"R",3478,"R",2731,"R",85,"R",81,"R",4626,"R",4007,"R",522,"R",1149,"R",127,"R",271,"R",189,"R",6209,"R",166,"R",8633,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",127,"R",55,"R",72,"R",271,"R",141,"R",130,"R",1149,"R",419,"R",730,"R",189,"R",93,"R",96,"R",6209,"R",3478,"R",2731
100706,2,  1,"R",160,"R",71,"R",353,"R",649,"R",48,"R",58,"R",104,"R",112,"R",78,"R",83,"R",2685,"R",2227,"R",72,"R",73,"R",3500,"R",3273,"R",231,"R",1002,"R",106,"R",216,"R",161,"R",4912,"R",145,"R",6773,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",106,"R",48,"R",58,"R",216,"R",104,"R",112,"R",1002,"R",353,"R",649,"R",161,"R",78,"R",83,"R",4912,"R",2685,"R",2227
100706,4,  3,"R",195,"R",96,"R",66,"R",81,"R",7,"R",14,"R",37,"R",18,"R",15,"R",13,"R",793,"R",504,"R",13,"R",8,"R",1126,"R",734,"R",291,"R",147,"R",21,"R",55,"R",28,"R",1297,"R",21,"R",1860,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",21,"R",7,"R",14,"R",55,"R",37,"R",18,"R",147,"R",66,"R",81,"R",28,"R",15,"R",13,"R",1297,"R",793,"R",504
100724,1,999,"R",8,"R",17,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6,"R",14,"R",2593,"R",4245,"R",25,"A",,"A",,"A",,"A",,"A",,"R",20,"R",6838,"R",10,"R",14,"R",2,"R",2,"R",3,"R",9,"R",2439,"R",4047,"Z",0,"Z",0,"R",125,"R",142,"Z",0,"Z",0,"R",24,"R",4,"R",12,"R",6486,"Z",0,"R",267,"Z",0,"R",4,"R",2,"R",2,"R",12,"R",3,"R",9,"R",6486,"R",2439,"R",4047,"R",24,"R",10,"R",14,"R",267,"R",125,"R",142
100724,2,  1,"R",7,"R",12,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",5,"R",5,"R",2213,"R",3207,"R",19,"A",,"A",,"A",,"A",,"A",,"R",10,"R",5420,"R",7,"R",10,"R",1,"Z",0,"R",2,"R",4,"R",2141,"R",3132,"Z",0,"Z",0,"R",50,"R",44,"Z",0,"Z",0,"R",17,"R",1,"R",6,"R",5273,"Z",0,"R",94,"Z",0,"R",1,"R",1,"Z",0,"R",6,"R",2,"R",4,"R",5273,"R",2141,"R",3132,"R",17,"R",7,"R",10,"R",94,"R",50,"R",44
100724,4,  3,"R",1,"R",5,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1,"R",9,"R",380,"R",1038,"R",6,"A",,"A",,"A",,"A",,"A",,"R",10,"R",1418,"R",3,"R",4,"R",1,"R",2,"R",1,"R",5,"R",298,"R",915,"Z",0,"Z",0,"R",75,"R",98,"Z",0,"Z",0,"R",7,"R",3,"R",6,"R",1213,"Z",0,"R",173,"Z",0,"R",3,"R",1,"R",2,"R",6,"R",1,"R",5,"R",1213,"R",298,"R",915,"R",7,"R",3,"R",4,"R",173,"R",75,"R",98
100751,1,999,"R",597,"R",441,"R",1235,"R",2089,"R",80,"R",90,"R",141,"R",165,"R",242,"R",296,"R",10816,"R",12202,"R",10,"R",5,"R",13121,"R",15288,"R",1038,"R",3324,"R",170,"R",306,"R",538,"R",23018,"R",15,"R",28409,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",170,"R",80,"R",90,"R",306,"R",141,"R",165,"R",3324,"R",1235,"R",2089,"R",538,"R",242,"R",296,"R",23018,"R",10816,"R",12202
100751,2,  1,"R",304,"R",245,"R",1083,"R",1607,"R",70,"R",72,"R",107,"R",115,"R",213,"R",233,"R",9146,"R",9772,"R",10,"R",5,"R",10933,"R",12049,"R",549,"R",2690,"R",142,"R",222,"R",446,"R",18918,"R",15,"R",22982,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",142,"R",70,"R",72,"R",222,"R",107,"R",115,"R",2690,"R",1083,"R",1607,"R",446,"R",213,"R",233,"R",18918,"R",9146,"R",9772
100751,3,  2,"R",3,"R",6,"R",18,"R",36,"R",2,"Z",0,"R",6,"R",7,"R",8,"R",2,"R",346,"R",214,"Z",0,"Z",0,"R",383,"R",265,"R",9,"R",54,"R",2,"R",13,"R",10,"R",560,"Z",0,"R",648,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2,"R",2,"Z",0,"R",13,"R",6,"R",7,"R",54,"R",18,"R",36,"R",10,"R",8,"R",2,"R",560,"R",346,"R",214
100751,4,  3,"R",290,"R",190,"R",134,"R",446,"R",8,"R",18,"R",28,"R",43,"R",21,"R",61,"R",1324,"R",2216,"Z",0,"Z",0,"R",1805,"R",2974,"R",480,"R",580,"R",26,"R",71,"R",82,"R",3540,"Z",0,"R",4779,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",26,"R",8,"R",18,"R",71,"R",28,"R",43,"R",580,"R",134,"R",446,"R",82,"R",21,"R",61,"R",3540,"R",1324,"R",2216
100760,1,999,"Z",0,"Z",0,"R",190,"R",610,"R",3,"R",11,"R",4,"R",5,"R",4,"R",16,"R",779,"R",1390,"R",5,"R",11,"R",985,"R",2043,"Z",0,"R",800,"R",14,"R",9,"R",20,"R",2169,"R",16,"R",3028,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14,"R",3,"R",11,"R",9,"R",4,"R",5,"R",800,"R",190,"R",610,"R",20,"R",4,"R",16,"R",2169,"R",779,"R",1390
100760,2,  1,"Z",0,"Z",0,"R",190,"R",610,"R",3,"R",11,"R",4,"R",5,"R",4,"R",16,"R",779,"R",1390,"R",5,"R",11,"R",985,"R",2043,"Z",0,"R",800,"R",14,"R",9,"R",20,"R",2169,"R",16,"R",3028,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14,"R",3,"R",11,"R",9,"R",4,"R",5,"R",800,"R",190,"R",610,"R",20,"R",4,"R",16,"R",2169,"R",779,"R",1390
100812,1,999,"R",0,"R",0,"R",151,"R",396,"R",39,"R",83,"R",8,"R",23,"R",13,"R",33,"R",1245,"R",2347,"R",41,"R",65,"R",1497,"R",2947,"R",0,"R",547,"R",122,"R",31,"R",46,"R",3592,"R",106,"R",4444,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",122,"R",39,"R",83,"R",31,"R",8,"R",23,"R",547,"R",151,"R",396,"R",46,"R",13,"R",33,"R",3592,"R",1245,"R",2347
100812,2,  1,"R",0,"R",0,"R",151,"R",396,"R",39,"R",83,"R",8,"R",23,"R",13,"R",33,"R",1245,"R",2347,"R",41,"R",65,"R",1497,"R",2947,"R",0,"R",547,"R",122,"R",31,"R",46,"R",3592,"R",106,"R",4444,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",122,"R",39,"R",83,"R",31,"R",8,"R",23,"R",547,"R",151,"R",396,"R",46,"R",13,"R",33,"R",3592,"R",1245,"R",2347
100830,1,999,"R",1,"R",2,"R",520,"R",1646,"R",11,"R",14,"R",56,"R",88,"R",39,"R",48,"R",1629,"R",2418,"R",83,"R",187,"R",2339,"R",4403,"R",3,"R",2166,"R",25,"R",144,"R",87,"R",4047,"R",270,"R",6742,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",25,"R",11,"R",14,"R",144,"R",56,"R",88,"R",2166,"R",520,"R",1646,"R",87,"R",39,"R",48,"R",4047,"R",1629,"R",2418
100830,2,  1,"R",1,"R",1,"R",448,"R",1343,"R",10,"R",13,"R",45,"R",77,"R",34,"R",39,"R",1405,"R",1945,"R",74,"R",165,"R",2017,"R",3583,"R",2,"R",1791,"R",23,"R",122,"R",73,"R",3350,"R",239,"R",5600,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",23,"R",10,"R",13,"R",122,"R",45,"R",77,"R",1791,"R",448,"R",1343,"R",73,"R",34,"R",39,"R",3350,"R",1405,"R",1945
100830,4,  3,"R",0,"R",1,"R",72,"R",303,"R",1,"R",1,"R",11,"R",11,"R",5,"R",9,"R",224,"R",473,"R",9,"R",22,"R",322,"R",820,"R",1,"R",375,"R",2,"R",22,"R",14,"R",697,"R",31,"R",1142,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2,"R",1,"R",1,"R",22,"R",11,"R",11,"R",375,"R",72,"R",303,"R",14,"R",5,"R",9,"R",697,"R",224,"R",473
100858,1,999,"R",575,"R",348,"R",1028,"R",1316,"R",90,"R",68,"R",262,"R",212,"R",259,"R",241,"R",10814,"R",10318,"R",189,"R",152,"R",13217,"R",12655,"R",923,"R",2344,"R",158,"R",474,"R",500,"R",21132,"R",341,"R",25872,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",158,"R",90,"R",68,"R",474,"R",262,"R",212,"R",2344,"R",1028,"R",1316,"R",500,"R",259,"R",241,"R",21132,"R",10814,"R",10318
100858,2,  1,"R",73,"R",60,"R",908,"R",1051,"R",79,"R",61,"R",212,"R",156,"R",216,"R",199,"R",9189,"R",8551,"R",141,"R",99,"R",10818,"R",10177,"R",133,"R",1959,"R",140,"R",368,"R",415,"R",17740,"R",240,"R",20995,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",140,"R",79,"R",61,"R",368,"R",212,"R",156,"R",1959,"R",908,"R",1051,"R",415,"R",216,"R",199,"R",17740,"R",9189,"R",8551
100858,3,  2,"R",1,"R",1,"R",14,"R",30,"R",3,"R",2,"R",12,"R",17,"R",5,"R",4,"R",276,"R",568,"R",12,"R",24,"R",323,"R",646,"R",2,"R",44,"R",5,"R",29,"R",9,"R",844,"R",36,"R",969,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",5,"R",3,"R",2,"R",29,"R",12,"R",17,"R",44,"R",14,"R",30,"R",9,"R",5,"R",4,"R",844,"R",276,"R",568
