unitid,efalevel,line,section,lstudy,"xefrac01",efrace01,"xefrac02",efrace02,"xefrac03",efrace03,"xefrac04",efrace04,"xefrac05",efrace05,"xefrac06",efrace06,"xefrac07",efrace07,"xefrac08",efrace08,"xefrac09",efrace09,"xefrac10",efrace10,"xefrac11",efrace11,"xefrac12",efrace12,"xefrac13",efrace13,"xefrac14",efrace14,"xefrac15",efrace15,"xefrac16",efrace16,"xefrac17",efrace17,"xefrac18",efrace18,"xefrac19",efrace19,"xefrac20",efrace20,"xefrac21",efrace21,"xefrac22",efrace22,"xefrac23",efrace23,"xefrac24",efrace24
100654,1,29,3,4,"R",165,"R",131,"R",2282,"R",2766,"R",5,"R",6,"R",8,"R",7,"R",6,"R",15,"R",159,"R",356,"R",2,"R",6,"R",2627,"R",3287,"R",296,"R",5048,"R",11,"R",15,"R",21,"R",515,"R",8,"R",5914
100654,2,99,3,2,"R",104,"R",88,"R",2082,"R",2262,"R",5,"R",3,"R",5,"R",4,"R",5,"R",10,"R",78,"R",92,"R",2,"R",4,"R",2281,"R",2463,"R",192,"R",4344,"R",8,"R",9,"R",15,"R",170,"R",6,"R",4744
100654,3,99,3,2,"R",104,"R",88,"R",2082,"R",2262,"R",5,"R",3,"R",5,"R",4,"R",5,"R",10,"R",78,"R",92,"R",2,"R",4,"R",2281,"R",2463,"R",192,"R",4344,"R",8,"R",9,"R",15,"R",170,"R",6,"R",4744
100654,4,99,3,2,"R",11,"R",12,"R",559,"R",517,"Z",0,"R",1,"R",1,"Z",0,"R",1,"R",2,"R",13,"R",9,"Z",0,"Z",0,"R",585,"R",541,"R",23,"R",1076,"R",1,"R",1,"R",3,"R",22,"Z",0,"R",1126
100654,5,99,3,2,"R",93,"R",76,"R",1523,"R",1745,"R",5,"R",2,"R",4,"R",4,"R",4,"R",8,"R",65,"R",83,"R",2,"R",4,"R",1696,"R",1922,"R",169,"R",3268,"R",7,"R",8,"R",12,"R",148,"R",6,"R",3618
100654,12,99,3,2,"R",61,"R",43,"R",200,"R",504,"Z",0,"R",3,"R",3,"R",3,"R",1,"R",5,"R",81,"R",264,"Z",0,"R",2,"R",346,"R",824,"R",104,"R",704,"R",3,"R",6,"R",6,"R",345,"R",2,"R",1170
100654,21,14,1,4,"R",143,"R",107,"R",2037,"R",2339,"R",4,"R",4,"R",4,"R",5,"R",4,"R",6,"R",75,"R",137,"R",2,"R",1,"R",2269,"R",2599,"R",250,"R",4376,"R",8,"R",9,"R",10,"R",212,"R",3,"R",4868
100654,22,8,1,1,"R",98,"R",83,"R",1960,"R",2124,"R",4,"R",3,"R",4,"R",4,"R",3,"R",6,"R",49,"R",67,"R",2,"R",1,"R",2120,"R",2288,"R",181,"R",4084,"R",7,"R",8,"R",9,"R",116,"R",3,"R",4408
100654,23,6,1,1,"R",98,"R",83,"R",1960,"R",2124,"R",4,"R",3,"R",4,"R",4,"R",3,"R",6,"R",49,"R",67,"R",2,"R",1,"R",2120,"R",2288,"R",181,"R",4084,"R",7,"R",8,"R",9,"R",116,"R",3,"R",4408
100654,24,1,1,1,"R",11,"R",12,"R",555,"R",509,"R",0,"R",1,"R",1,"R",0,"R",1,"R",1,"R",8,"R",8,"R",0,"R",0,"R",576,"R",531,"R",23,"R",1064,"R",1,"R",1,"R",2,"R",16,"R",0,"R",1107
100654,25,3,1,1,"R",87,"R",71,"R",1405,"R",1615,"R",4,"R",2,"R",3,"R",4,"R",2,"R",5,"R",41,"R",59,"R",2,"R",1,"R",1544,"R",1757,"R",158,"R",3020,"R",6,"R",7,"R",7,"R",100,"R",3,"R",3301
100654,32,11,1,3,"R",45,"R",24,"R",77,"R",215,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",26,"R",70,"R",0,"R",0,"R",149,"R",311,"R",69,"R",292,"R",1,"R",1,"R",1,"R",96,"R",0,"R",460
100654,41,28,2,4,"R",22,"R",24,"R",245,"R",427,"R",1,"R",2,"R",4,"R",2,"R",2,"R",9,"R",84,"R",219,"R",0,"R",5,"R",358,"R",688,"R",46,"R",672,"R",3,"R",6,"R",11,"R",303,"R",5,"R",1046
