unitid,"xcdactua",cdactua,"xcnactua",cnactua,"xcdactga",cdactga
100654,"R",151059,"R",124273,"R",20920
100663,"R",286326,"R",0,"R",94469
100690,"R",9759,"R",0,"R",5062
100706,"R",131203,"R",0,"R",22571
100724,"R",154349,"R",0,"R",14453
100751,"R",445512,"R",0,"R",85379
100760,"R",48607,"R",0,"A",
100812,"R",59189,"R",0,"A",
100830,"R",111356,"R",0,"R",13386
100858,"R",584759,"R",0,"R",80076
100919,"R",32631,"R",0,"A",
100937,"R",0,"R",0,"R",0
100973,"R",8838,"R",0,"A",
101028,"R",49984,"R",0,"A",
101073,"R",14715,"R",0,"A",
101107,"R",14565,"R",0,"A",
101116,"R",13434,"R",0,"A",
101143,"R",40728,"R",0,"A",
101161,"R",87980,"R",0,"A",
101189,"R",76834,"R",0,"R",6900
101231,"R",5564,"R",0,"A",
101240,"R",125773,"R",0,"A",
101286,"R",90311,"R",1895281,"A",
101295,"R",138843,"R",0,"A",
101301,"R",46446,"R",0,"A",
101365,"R",18709,"R",0,"A",
101435,"R",17060,"R",0,"A",
101453,"R",2430,"R",0,"R",93
101462,"R",21467,"R",0,"A",
101471,"R",23340,"R",0,"A",
101480,"R",203625,"R",0,"R",27443
101499,"R",28422,"R",0,"A",
101505,"R",148899,"R",0,"A",
101514,"R",183960,"R",0,"A",
101523,"R",26222,"R",0,"A",
101541,"R",12485,"R",0,"A",
101569,"R",59031,"R",0,"A",
101587,"R",44660,"R",0,"R",7970
101602,"R",22953,"R",0,"A",
101648,"R",4386,"R",0,"A",
101675,"R",43975,"R",0,"A",
101693,"R",45977,"R",0,"R",3299
101709,"R",72858,"R",0,"R",7397
101736,"R",112262,"R",0,"A",
101879,"R",134442,"R",0,"R",9534
101897,"R",45728,"R",0,"A",
101912,"R",49328,"R",0,"A",
101949,"R",21951,"R",15318,"A",
101958,"R",3841,"R",0,"A",
101994,"R",22723,"R",0,"A",
102030,"R",111526,"R",0,"A",
102049,"R",90589,"R",0,"R",7376
102067,"R",134009,"R",0,"A",
102076,"R",43282,"R",0,"A",
102094,"R",270302,"R",0,"R",44422
102216,"R",5510,"R",0,"A",
102234,"R",34221,"R",0,"R",2754
102261,"R",4903,"R",0,"A",
102270,"R",2228,"R",0,"A",
