UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
100636,"R",2592978,"A",,"A",,"G",86433,"A",,"G",86433,"A",,2
100654,"R",148752,"R",1473,"R",18775,"G",4960,"G",782,"G",4960,"G",782,3
100663,"R",301387,"A",,"R",98215,"G",10046,"G",4092,"G",10046,"G",4092,2
100690,"R",10843,"A",,"R",5483,"G",361,"G",228,"R",298,"R",221,2
100706,"R",146341,"A",,"R",19954,"G",4878,"G",831,"R",4878,"R",876,2
100724,"R",132261,"A",,"R",16889,"G",4409,"G",704,"G",4409,"G",704,2
100751,"R",571867,"A",,"R",79749,"G",19062,"G",3323,"G",19062,"G",3323,2
100760,"R",57553,"A",,"A",,"G",1918,"A",,"G",1918,"A",,2
100812,"R",70166,"A",,"A",,"G",2339,"A",,"R",2339,"A",,2
100830,"R",109018,"A",,"R",12466,"G",3634,"G",519,"G",3634,"G",519,2
100858,"R",567139,"A",,"R",69461,"G",18905,"G",2894,"G",18905,"G",2894,2
100937,"R",43112,"A",,"R",543,"G",1437,"G",23,"R",1198,"R",23,2
101028,"R",45406,"A",,"A",,"G",1514,"A",,"G",1514,"A",,2
101073,"R",21383,"A",,"A",,"G",713,"A",,"G",713,"A",,2
101116,"R",20632,"A",,"R",582,"G",458,"G",16,"G",458,"G",16,2
101143,"R",50228,"A",,"A",,"G",1674,"A",,"G",1674,"A",,2
101161,"R",87283,"A",,"A",,"G",2909,"A",,"R",2909,"A",,2
101189,"R",72800,"A",,"R",4380,"G",2427,"G",183,"G",2427,"G",183,2
101231,"A",,"R",24300,"A",,"G",27,"A",,"G",27,"A",,1
101240,"R",131866,"A",,"A",,"G",4396,"A",,"G",4396,"A",,2
101286,"R",88378,"A",,"A",,"G",2946,"A",,"G",2946,"A",,2
101295,"R",133413,"A",,"A",,"G",4447,"A",,"G",4447,"A",,2
101301,"R",47699,"A",,"A",,"G",1590,"A",,"G",1590,"A",,2
101365,"R",14849,"A",,"A",,"G",495,"A",,"G",495,"A",,2
101435,"R",24388,"A",,"A",,"G",813,"A",,"G",813,"A",,2
101453,"R",1703,"A",,"R",204,"G",57,"G",9,"G",57,"G",9,2
101462,"R",18199,"A",,"A",,"G",607,"A",,"G",607,"A",,2
101471,"R",24000,"A",,"A",,"G",800,"A",,"G",800,"A",,2
101480,"R",193842,"A",,"R",24762,"G",6461,"G",1032,"G",6461,"G",1032,2
101499,"R",31134,"A",,"A",,"G",1038,"A",,"G",1038,"A",,2
101505,"R",163318,"A",,"A",,"G",5444,"A",,"G",5444,"A",,2
101514,"R",180823,"A",,"A",,"G",6027,"A",,"G",6027,"A",,2
101541,"R",8460,"A",,"A",,"G",282,"A",,"R",353,"A",,2
101569,"R",74794,"A",,"A",,"G",2493,"A",,"G",2493,"A",,2
101587,"R",51798,"A",,"R",39016,"G",1727,"G",1626,"G",1727,"G",1626,2
