UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
100654,"R",150406,"A",,"R",20969,"G",5014,"G",874,"G",5014,"G",874,2
100663,"R",306911,"A",,"R",93699,"G",10230,"G",3904,"G",10230,"G",3904,2
100690,"R",11254,"A",,"R",5314,"G",375,"G",221,"G",375,"G",221,2
100706,"R",144122,"A",,"R",19490,"G",4804,"G",812,"R",4804,"R",857,2
100724,"R",132675,"A",,"R",17068,"G",4423,"G",711,"G",4423,"G",711,2
100751,"R",513281,"A",,"R",79386,"G",17109,"G",3308,"G",17109,"G",3308,2
100760,"R",55371,"A",,"A",,"G",1846,"A",,"G",1846,"A",,2
100812,"R",66821,"A",,"A",,"G",2227,"A",,"G",2227,"A",,2
100830,"R",107891,"A",,"R",12583,"G",3596,"G",524,"G",3596,"G",524,2
100858,"R",566272,"A",,"R",91789,"G",18876,"G",3825,"G",18876,"G",3825,2
100937,"R",46513,"A",,"R",828,"G",1550,"G",35,"R",1197,"R",33,2
101028,"R",47588,"A",,"A",,"G",1586,"A",,"G",1586,"A",,2
101073,"R",31826,"A",,"A",,"G",1061,"A",,"G",1061,"A",,2
101116,"R",18062,"A",,"R",284,"G",401,"G",8,"G",401,"G",8,2
101143,"R",44957,"A",,"A",,"G",1499,"A",,"G",1499,"A",,2
101161,"R",84979,"A",,"A",,"G",2833,"A",,"G",2833,"A",,2
101189,"R",73339,"A",,"R",3837,"G",2445,"G",160,"G",2445,"G",160,2
101231,"A",,"R",72000,"A",,"G",80,"A",,"R",80,"A",,1
101240,"R",135015,"A",,"A",,"G",4501,"A",,"G",4501,"A",,2
101286,"R",90138,"A",,"A",,"G",3005,"A",,"G",3005,"A",,2
101295,"R",137516,"A",,"A",,"G",4584,"A",,"G",4584,"A",,2
101301,"R",49356,"A",,"A",,"G",1645,"A",,"G",1645,"A",,2
101365,"R",13987,"A",,"A",,"G",466,"A",,"G",466,"A",,2
101435,"R",22864,"A",,"A",,"G",762,"A",,"G",762,"A",,2
101453,"R",1673,"A",,"R",207,"G",56,"G",9,"G",56,"G",9,2
101462,"R",18219,"A",,"A",,"G",607,"A",,"G",607,"A",,2
101471,"R",24994,"A",,"A",,"G",833,"A",,"G",833,"A",,2
101480,"R",198671,"A",,"R",27585,"G",6622,"G",1149,"G",6622,"G",1149,2
101499,"R",30894,"A",,"A",,"G",1030,"A",,"G",1030,"A",,2
101505,"R",157383,"A",,"A",,"G",5246,"A",,"G",5246,"A",,2
101514,"R",180467,"A",,"A",,"G",6016,"A",,"G",6016,"A",,2
101541,"R",9265,"A",,"A",,"G",309,"A",,"G",309,"A",,2
101569,"R",80302,"A",,"A",,"G",2677,"A",,"G",2677,"A",,2
101587,"R",47858,"A",,"R",21206,"G",1595,"G",884,"G",1595,"G",884,2
101602,"R",38251,"A",,"A",,"G",1275,"A",,"G",1275,"A",,2
101648,"R",5926,"A",,"A",,"G",198,"A",,"G",198,"A",,2
101675,"R",53851,"A",,"A",,"G",1795,"A",,"G",1795,"A",,2
101693,"R",40378,"A",,"R",3529,"G",1346,"G",147,"G",1346,"G",147,2
101709,"R",72945,"A",,"R",7303,"G",2432,"G",304,"G",2432,"G",304,2
101736,"R",87073,"A",,"A",,"G",2902,"A",,"G",2902,"A",,2
101879,"R",140092,"A",,"R",16077,"G",4670,"G",670,"G",4670,"G",670,2
101897,"R",52923,"A",,"A",,"G",1764,"A",,"G",1764,"A",,2
101912,"R",49012,"A",,"A",,"G",1634,"A",,"G",1634,"A",,2
101949,"R",35146,"A",,"A",,"G",1172,"A",,"G",1172,"A",,2
101958,"R",1796,"A",,"A",,"G",40,"A",,"G",40,"A",,2
101994,"R",16018,"A",,"A",,"G",534,"A",,"G",534,"A",,2
102030,"R",101446,"A",,"A",,"G",3382,"A",,"G",3382,"A",,2
102049,"R",92534,"A",,"R",8728,"G",3084,"G",364,"G",3084,"G",364,2
102067,"R",133981,"A",,"A",,"G",4466,"A",,"G",4466,"A",,2
102076,"R",50508,"A",,"A",,"G",1684,"A",,"G",1684,"A",,2
102094,"R",276209,"A",,"R",50939,"G",9207,"G",2122,"R",9207,"R",2203,2
102216,"R",8140,"A",,"A",,"G",181,"A",,"G",181,"A",,2
102234,"R",38165,"A",,"R",2464,"G",1272,"G",103,"G",1272,"G",103,2
102261,"R",5557,"A",,"A",,"G",185,"A",,"G",185,"A",,2
102270,"R",2096,"A",,"A",,"G",70,"A",,"G",70,"A",,2
102298,"R",7650,"A",,"A",,"G",255,"A",,"G",255,"A",,2
102313,"R",36987,"A",,"A",,"G",1233,"A",,"G",1233,"A",,2
102368,"R",423667,"A",,"R",146172,"G",14122,"G",6091,"G",14122,"G",6091,2
102377,"R",70180,"A",,"R",4050,"G",2339,"G",169,"G",2339,"G",169,2
102395,"R",741,"A",,"R",4068,"G",25,"G",170,"G",25,"G",170,2
102429,"R",96088,"A",,"A",,"G",3203,"A",,"R",3202,"A",,2
102553,"R",309395,"A",,"R",12849,"G",10313,"G",535,"G",10313,"G",535,2
102614,"R",150155,"A",,"R",17751,"G",5005,"G",740,"G",5005,"G",740,2
102632,"R",46993,"A",,"R",4406,"G",1566,"G",184,"G",1566,"G",184,2
102669,"R",12836,"A",,"R",3383,"G",428,"G",141,"G",428,"G",141,2
102711,"A",,"R",260731,"A",,"G",290,"A",,"G",290,"A",,1
102845,"R",19684,"A",,"A",,"G",437,"A",,"G",437,"A",,2
103361,"R",9522,"A",,"A",,"G",317,"A",,"G",317,"A",,2
103440,"R",4290,"A",,"A",,"G",143,"A",,"G",143,"A",,2
103501,"A",,"R",335334,"A",,"G",373,"A",,"G",373,"A",,1
103644,"R",41858,"R",457912,"A",,"G",1439,"A",,"G",1439,"A",,3
103723,"R",18006,"A",,"A",,"G",600,"A",,"G",600,"A",,2
103732,"A",,"R",74941,"A",,"G",83,"A",,"G",83,"A",,1
103741,"A",,"R",294562,"A",,"G",327,"A",,"G",327,"A",,1
103778,"A",,"A",,"R",37567,"A",,"G",1565,"A",,"G",1565,2
103787,"R",1663,"A",,"A",,"G",55,"A",,"G",55,"A",,2
103811,"A",,"R",351960,"A",,"G",391,"A",,"G",391,"A",,1
103893,"R",100278,"A",,"A",,"G",3343,"A",,"G",3343,"A",,2
103945,"R",4690,"A",,"A",,"G",156,"A",,"G",156,"A",,2
103954,"A",,"R",75050,"A",,"G",83,"A",,"G",83,"A",,1
103963,"A",,"R",978000,"A",,"G",1087,"A",,"R",988,"A",,1
104090,"A",,"R",248597,"A",,"G",276,"A",,"G",276,"A",,1
104151,"R",1069253,"A",,"R",159833,"G",35642,"G",6660,"G",35642,"G",6660,2
104160,"R",125930,"A",,"A",,"G",4198,"A",,"G",4198,"A",,2
104179,"R",713187,"A",,"R",154609,"G",23773,"G",6442,"G",23773,"G",6442,2
104188,"R",9350,"A",,"A",,"G",312,"A",,"G",312,"A",,2
104294,"A",,"R",444360,"A",,"G",494,"A",,"G",494,"A",,1
104346,"R",110509,"A",,"A",,"G",3684,"A",,"G",3684,"A",,2
104364,"R",19947,"A",,"R",107,"G",443,"G",3,"G",443,"G",3,2
104391,"A",,"R",20670,"A",,"G",23,"A",,"G",23,"A",,1
104425,"R",199841,"A",,"A",,"G",6661,"A",,"R",6629,"A",,2
104434,"A",,"R",85074,"A",,"G",95,"A",,"G",95,"A",,1
104443,"A",,"R",155101,"A",,"G",172,"A",,"G",172,"A",,1
104504,"A",,"R",44723,"A",,"G",50,"A",,"G",50,"A",,1
104522,"A",,"R",49500,"A",,"G",55,"A",,"G",55,"A",,1
104531,"R",47343,"A",,"R",6330,"G",1578,"G",264,"G",1578,"G",264,2
104568,"A",,"R",380700,"A",,"G",423,"A",,"G",423,"A",,1
104577,"R",90852,"A",,"A",,"G",3028,"A",,"G",3028,"A",,2
104586,"R",45697,"A",,"R",418,"G",1523,"G",17,"G",1523,"G",17,2
104708,"R",316829,"A",,"A",,"G",10561,"A",,"G",10561,"A",,2
104717,"R",60419,"A",,"R",118586,"G",2014,"G",4941,"G",2014,"G",4941,2
104805,"A",,"R",5478300,"A",,"G",6087,"A",,"G",6087,"A",,1
104911,"A",,"R",52754,"A",,"G",59,"A",,"G",59,"A",,1
104984,"R",18160,"A",,"A",,"G",404,"A",,"G",404,"A",,2
105118,"R",20436,"A",,"A",,"G",681,"A",,"G",681,"A",,2
105127,"A",,"R",79562,"A",,"G",88,"A",,"G",88,"A",,1
105145,"R",115389,"A",,"A",,"G",3846,"A",,"G",3846,"A",,2
105154,"R",449955,"A",,"A",,"G",14999,"A",,"G",14999,"A",,2
105163,"R",19108,"A",,"A",,"G",425,"A",,"G",425,"A",,2
105172,"R",35532,"A",,"A",,"G",790,"A",,"G",790,"A",,2
105206,"R",87968,"A",,"A",,"G",2932,"A",,"G",2932,"A",,2
105215,"R",121684,"A",,"A",,"G",4056,"A",,"G",4056,"A",,2
105242,"P",,"P",146322,"P",0,"P",163,"P",0,"P",163,"P",0,1
105297,"R",35656,"A",,"A",,"G",1189,"A",,"G",1189,"A",,2
105330,"R",359722,"A",,"R",97051,"G",11991,"G",4044,"R",13380,"R",4852,2
105349,"R",70622,"A",,"A",,"G",2354,"A",,"G",2354,"A",,2
105367,"R",22421,"A",,"R",15310,"G",747,"G",638,"R",747,"R",851,2
105419,"A",,"R",210928,"A",,"G",234,"A",,"G",234,"A",,1
105428,"R",196367,"A",,"A",,"G",6546,"A",,"G",6546,"A",,2
105482,"R",6800,"A",,"A",,"G",227,"A",,"G",227,"A",,2
105516,"R",117122,"A",,"R",65216,"G",3904,"G",2717,"G",3904,"G",2717,2
105525,"R",553330,"R",207360,"A",,"G",18675,"A",,"R",18768,"A",,3
105534,"A",,"R",738132,"A",,"G",820,"A",,"G",820,"A",,1
105543,"A",,"R",556346,"A",,"G",618,"A",,"G",618,"A",,1
105589,"R",34215,"A",,"R",6087,"G",1141,"G",254,"G",1141,"G",254,2
105659,"R",3045,"R",296600,"A",,"G",431,"A",,"R",456,"A",,3
105668,"R",348600,"A",,"A",,"G",11620,"A",,"G",11620,"A",,2
105677,"A",,"R",61600,"A",,"G",68,"A",,"R",70,"A",,1
105701,"A",,"R",64800,"A",,"G",72,"A",,"G",72,"A",,1
105747,"R",180192,"A",,"A",,"G",6006,"A",,"G",6006,"A",,2
105792,"R",62006,"A",,"A",,"G",2067,"A",,"G",2067,"A",,2
105880,"R",9673,"A",,"Z",0,"G",322,"A",,"R",322,"A",,2
105899,"R",7651,"A",,"A",,"G",255,"A",,"G",255,"A",,2
105987,"A",,"R",304400,"A",,"G",338,"A",,"G",338,"A",,1
106041,"R",224842,"A",,"A",,"G",7495,"A",,"G",7495,"A",,2
106102,"R",1037444,"A",,"R",10360,"G",34581,"G",432,"G",34581,"G",432,2
106111,"A",,"R",210146,"A",,"G",233,"A",,"G",233,"A",,1
106148,"R",103125,"A",,"A",,"G",3438,"A",,"G",3438,"A",,2
106245,"R",218043,"A",,"R",32144,"G",7268,"G",1339,"G",7268,"G",1339,2
106263,"R",23243,"A",,"R",8060,"G",775,"G",336,"G",775,"G",336,2
106281,"A",,"R",46256,"A",,"G",51,"A",,"G",51,"A",,1
106306,"R",3615,"A",,"A",,"G",121,"A",,"G",121,"A",,2
106315,"A",,"R",100200,"A",,"G",111,"A",,"G",111,"A",,1
106324,"A",,"R",55500,"A",,"G",62,"A",,"G",62,"A",,1
106342,"R",13718,"A",,"A",,"G",457,"A",,"G",457,"A",,2
106351,"A",,"R",117900,"A",,"G",131,"A",,"G",131,"A",,1
106360,"A",,"R",175500,"A",,"G",195,"A",,"G",195,"A",,1
106397,"R",390379,"A",,"R",54277,"G",13013,"G",2262,"G",13013,"G",2262,2
106412,"R",87602,"A",,"R",1748,"G",2920,"G",73,"G",2920,"G",73,2
106449,"R",88562,"A",,"A",,"G",2952,"A",,"G",2952,"A",,2
106458,"R",242751,"A",,"R",22771,"G",8092,"G",949,"G",8092,"G",949,2
106467,"R",179434,"A",,"R",9740,"G",5981,"G",406,"G",5981,"G",406,2
106485,"R",74801,"A",,"R",2676,"G",2493,"G",112,"G",2493,"G",112,2
106494,"A",,"R",213000,"A",,"G",237,"A",,"G",237,"A",,1
106546,"A",,"R",679965,"A",,"G",756,"A",,"G",756,"A",,1
106607,"A",,"R",48300,"A",,"G",54,"A",,"G",54,"A",,1
106625,"R",43410,"A",,"A",,"G",1447,"A",,"G",1447,"A",,2
106704,"R",290543,"A",,"R",26823,"G",9685,"G",1118,"G",9685,"G",1118,2
