unitid,line,section,lstudy,"xefrac01",efrace01,"xefrac02",efrace02,"xefrac03",efrace03,"xefrac04",efrace04,"xefrac05",efrace05,"xefrac06",efrace06,"xefrac07",efrace07,"xefrac08",efrace08,"xefrac09",efrace09,"xefrac10",efrace10,"xefrac11",efrace11,"xefrac12",efrace12,"xefrac13",efrace13,"xefrac14",efrace14,"xefrac15",efrace15,"xefrac16",efrace16
100654,1,1,1,"R",12,"R",17,"R",519,"R",550,"R",2,"R",0,"R",3,"R",1,"R",2,"R",1,"R",10,"R",7,"R",0,"R",0,"R",548,"R",576
100654,3,1,1,"R",77,"R",63,"R",1344,"R",1570,"R",2,"R",4,"R",6,"R",3,"R",5,"R",4,"R",52,"R",55,"R",2,"R",3,"R",1488,"R",1702
100654,6,1,1,"R",89,"R",80,"R",1863,"R",2120,"R",4,"R",4,"R",9,"R",4,"R",7,"R",5,"R",62,"R",62,"R",2,"R",3,"R",2036,"R",2278
100654,8,1,1,"R",89,"R",80,"R",1863,"R",2120,"R",4,"R",4,"R",9,"R",4,"R",7,"R",5,"R",62,"R",62,"R",2,"R",3,"R",2036,"R",2278
100654,11,1,3,"R",34,"R",35,"R",111,"R",228,"R",1,"R",2,"R",1,"R",2,"R",0,"R",4,"R",23,"R",89,"R",0,"R",1,"R",170,"R",361
100654,14,1,4,"R",123,"R",115,"R",1974,"R",2348,"R",5,"R",6,"R",10,"R",6,"R",7,"R",9,"R",85,"R",151,"R",2,"R",4,"R",2206,"R",2639
100654,15,2,1,"R",3,"R",1,"R",4,"R",7,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",9,"R",9
100654,17,2,1,"R",7,"R",8,"R",119,"R",145,"R",0,"R",0,"R",3,"R",1,"R",1,"R",2,"R",23,"R",27,"R",2,"R",1,"R",155,"R",184
100654,20,2,1,"R",10,"R",9,"R",123,"R",152,"R",0,"R",0,"R",3,"R",1,"R",1,"R",2,"R",25,"R",28,"R",2,"R",1,"R",164,"R",193
100654,22,2,1,"R",10,"R",9,"R",123,"R",152,"R",0,"R",0,"R",3,"R",1,"R",1,"R",2,"R",25,"R",28,"R",2,"R",1,"R",164,"R",193
100654,25,2,3,"R",21,"R",17,"R",105,"R",269,"R",0,"R",0,"R",3,"R",3,"R",0,"R",1,"R",64,"R",159,"R",0,"R",5,"R",193,"R",454
100654,28,2,4,"R",31,"R",26,"R",228,"R",421,"R",0,"R",0,"R",6,"R",4,"R",1,"R",3,"R",89,"R",187,"R",2,"R",6,"R",357,"R",647
100654,29,3,4,"R",154,"R",141,"R",2202,"R",2769,"R",5,"R",6,"R",16,"R",10,"R",8,"R",12,"R",174,"R",338,"R",4,"R",10,"R",2563,"R",3286
100663,1,1,1,"R",11,"R",8,"R",133,"R",337,"R",2,"R",3,"R",25,"R",30,"R",1,"R",5,"R",280,"R",368,"R",7,"R",14,"R",459,"R",765
100663,3,1,1,"R",139,"R",82,"R",507,"R",1171,"R",6,"R",7,"R",62,"R",106,"R",28,"R",33,"R",1363,"R",1740,"R",66,"R",77,"R",2171,"R",3216
100663,6,1,1,"R",150,"R",90,"R",640,"R",1508,"R",8,"R",10,"R",87,"R",136,"R",29,"R",38,"R",1643,"R",2108,"R",73,"R",91,"R",2630,"R",3981
100663,7,1,1,"R",5,"R",2,"R",20,"R",23,"R",0,"R",0,"R",5,"R",1,"R",1,"R",1,"R",58,"R",47,"R",3,"R",1,"R",92,"R",75
100663,8,1,1,"R",155,"R",92,"R",660,"R",1531,"R",8,"R",10,"R",92,"R",137,"R",30,"R",39,"R",1701,"R",2155,"R",76,"R",92,"R",2722,"R",4056
100663,9,1,2,"R",5,"R",1,"R",27,"R",40,"R",4,"R",6,"R",54,"R",63,"R",9,"R",3,"R",456,"R",301,"R",5,"R",1,"R",560,"R",415
100663,11,1,3,"R",292,"R",150,"R",47,"R",169,"R",3,"R",3,"R",28,"R",35,"R",10,"R",7,"R",470,"R",667,"R",13,"R",13,"R",863,"R",1044
100663,14,1,4,"R",452,"R",243,"R",734,"R",1740,"R",15,"R",19,"R",174,"R",235,"R",49,"R",49,"R",2627,"R",3123,"R",94,"R",106,"R",4145,"R",5515
100663,15,2,1,"R",0,"R",1,"R",8,"R",13,"R",1,"R",0,"R",2,"R",0,"R",0,"R",0,"R",22,"R",25,"R",1,"R",4,"R",34,"R",43
100663,17,2,1,"R",39,"R",23,"R",177,"R",453,"R",8,"R",5,"R",21,"R",29,"R",4,"R",15,"R",775,"R",881,"R",30,"R",35,"R",1054,"R",1441
100663,20,2,1,"R",39,"R",24,"R",185,"R",466,"R",9,"R",5,"R",23,"R",29,"R",4,"R",15,"R",797,"R",906,"R",31,"R",39,"R",1088,"R",1484
100663,21,2,1,"R",8,"R",17,"R",55,"R",90,"R",1,"R",1,"R",13,"R",9,"R",4,"R",6,"R",202,"R",173,"R",14,"R",11,"R",297,"R",307
100663,22,2,1,"R",47,"R",41,"R",240,"R",556,"R",10,"R",6,"R",36,"R",38,"R",8,"R",21,"R",999,"R",1079,"R",45,"R",50,"R",1385,"R",1791
100663,25,2,3,"R",62,"R",34,"R",81,"R",272,"R",2,"R",7,"R",19,"R",22,"R",2,"R",12,"R",448,"R",871,"R",11,"R",16,"R",625,"R",1234
100663,28,2,4,"R",109,"R",75,"R",321,"R",828,"R",12,"R",13,"R",55,"R",60,"R",10,"R",33,"R",1447,"R",1950,"R",56,"R",66,"R",2010,"R",3025
100663,29,3,4,"R",561,"R",318,"R",1055,"R",2568,"R",27,"R",32,"R",229,"R",295,"R",59,"R",82,"R",4074,"R",5073,"R",150,"R",172,"R",6155,"R",8540
100690,3,1,1,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",96,"C",50,"C",96,"C",50
100690,6,1,1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",96,"R",50,"R",96,"R",50
100690,8,1,1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",96,"R",50,"R",96,"R",50
100690,9,1,2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",5,"R",8,"R",5
100690,11,1,3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",53,"R",36,"R",53,"R",36
100690,14,1,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",157,"R",91,"R",157,"R",91
100690,17,2,1,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",8,"C",1,"C",8,"C",1
100690,20,2,1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",1,"R",8,"R",1
100690,22,2,1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",1,"R",8,"R",1
100690,23,2,2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",5,"R",21,"R",5
100690,25,2,3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",64,"R",41,"R",64,"R",41
100690,28,2,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",93,"R",47,"R",93,"R",47
100690,29,3,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",250,"R",138,"R",250,"R",138
100706,1,1,1,"R",5,"R",5,"R",24,"R",45,"R",7,"R",4,"R",16,"R",10,"R",3,"R",1,"R",251,"R",221,"R",0,"R",0,"R",306,"R",286
100706,3,1,1,"R",97,"R",45,"R",133,"R",301,"R",30,"R",29,"R",55,"R",43,"R",26,"R",35,"R",950,"R",984,"R",0,"R",0,"R",1291,"R",1437
100706,6,1,1,"R",102,"R",50,"R",157,"R",346,"R",37,"R",33,"R",71,"R",53,"R",29,"R",36,"R",1201,"R",1205,"R",0,"R",0,"R",1597,"R",1723
100706,7,1,1,"R",1,"R",1,"R",11,"R",20,"R",1,"R",0,"R",2,"R",1,"R",0,"R",1,"R",21,"R",18,"R",0,"R",0,"R",36,"R",41
100706,8,1,1,"R",103,"R",51,"R",168,"R",366,"R",38,"R",33,"R",73,"R",54,"R",29,"R",37,"R",1222,"R",1223,"R",0,"R",0,"R",1633,"R",1764
100706,11,1,3,"R",148,"R",57,"R",14,"R",17,"R",1,"R",1,"R",8,"R",3,"R",1,"R",1,"R",113,"R",101,"R",1,"R",1,"R",286,"R",181
100706,14,1,4,"R",251,"R",108,"R",182,"R",383,"R",39,"R",34,"R",81,"R",57,"R",30,"R",38,"R",1335,"R",1324,"R",1,"R",1,"R",1919,"R",1945
100706,15,2,1,"R",1,"R",1,"R",2,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",14,"R",15,"R",0,"R",0,"R",17,"R",19
100706,17,2,1,"R",15,"R",11,"R",47,"R",100,"R",18,"R",10,"R",26,"R",15,"R",7,"R",15,"R",485,"R",436,"R",0,"R",0,"R",598,"R",587
100706,20,2,1,"R",16,"R",12,"R",49,"R",101,"R",18,"R",10,"R",26,"R",16,"R",7,"R",16,"R",499,"R",451,"R",0,"R",0,"R",615,"R",606
100706,21,2,1,"R",14,"R",19,"R",35,"R",34,"R",2,"R",3,"R",17,"R",19,"R",11,"R",9,"R",336,"R",266,"R",52,"R",31,"R",467,"R",381
100706,22,2,1,"R",30,"R",31,"R",84,"R",135,"R",20,"R",13,"R",43,"R",35,"R",18,"R",25,"R",835,"R",717,"R",52,"R",31,"R",1082,"R",987
100706,25,2,3,"R",42,"R",17,"R",20,"R",38,"R",3,"R",5,"R",22,"R",14,"R",5,"R",7,"R",385,"R",258,"R",1,"R",4,"R",478,"R",343
100706,28,2,4,"R",72,"R",48,"R",104,"R",173,"R",23,"R",18,"R",65,"R",49,"R",23,"R",32,"R",1220,"R",975,"R",53,"R",35,"R",1560,"R",1330
100706,29,3,4,"R",323,"R",156,"R",286,"R",556,"R",62,"R",52,"R",146,"R",106,"R",53,"R",70,"R",2555,"R",2299,"R",54,"R",36,"R",3479,"R",3275
100724,1,1,1,"R",0,"R",2,"R",528,"R",657,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",22,"R",17,"R",10,"R",23,"R",562,"R",700
100724,3,1,1,"R",5,"R",4,"R",1127,"R",1601,"R",1,"R",0,"R",3,"R",2,"R",1,"R",3,"R",37,"R",57,"R",20,"R",12,"R",1194,"R",1679
100724,6,1,1,"R",5,"R",6,"R",1655,"R",2258,"R",1,"R",0,"R",3,"R",2,"R",3,"R",4,"R",59,"R",74,"R",30,"R",35,"R",1756,"R",2379
100724,8,1,1,"R",5,"R",6,"R",1655,"R",2258,"R",1,"R",0,"R",3,"R",2,"R",3,"R",4,"R",59,"R",74,"R",30,"R",35,"R",1756,"R",2379
100724,11,1,3,"R",0,"R",0,"R",47,"R",93,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",17,"R",26,"R",0,"R",1,"R",65,"R",121
100724,14,1,4,"R",5,"R",6,"R",1702,"R",2351,"R",1,"R",0,"R",4,"R",3,"R",3,"R",4,"R",76,"R",100,"R",30,"R",36,"R",1821,"R",2500
100724,15,2,1,"R",0,"R",0,"R",8,"R",9,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9,"R",9
100724,17,2,1,"R",2,"R",0,"R",169,"R",297,"R",0,"R",0,"R",3,"R",1,"R",0,"R",2,"R",26,"R",54,"R",2,"R",2,"R",202,"R",356
100724,20,2,1,"R",2,"R",0,"R",177,"R",306,"R",1,"R",0,"R",3,"R",1,"R",0,"R",2,"R",26,"R",54,"R",2,"R",2,"R",211,"R",365
100724,22,2,1,"R",2,"R",0,"R",177,"R",306,"R",1,"R",0,"R",3,"R",1,"R",0,"R",2,"R",26,"R",54,"R",2,"R",2,"R",211,"R",365
100724,25,2,3,"R",0,"R",0,"R",106,"R",366,"R",0,"R",1,"R",0,"R",2,"R",0,"R",3,"R",41,"R",170,"R",1,"R",3,"R",148,"R",545
100724,28,2,4,"R",2,"R",0,"R",283,"R",672,"R",1,"R",1,"R",3,"R",3,"R",0,"R",5,"R",67,"R",224,"R",3,"R",5,"R",359,"R",910
100724,29,3,4,"R",7,"R",6,"R",1985,"R",3023,"R",2,"R",1,"R",7,"R",6,"R",3,"R",9,"R",143,"R",324,"R",33,"R",41,"R",2180,"R",3410
100751,1,1,1,"R",17,"R",3,"R",92,"R",159,"R",3,"R",7,"R",16,"R",19,"R",12,"R",12,"R",915,"R",1149,"R",0,"R",0,"R",1055,"R",1349
100751,3,1,1,"R",129,"R",68,"R",683,"R",1069,"R",40,"R",27,"R",58,"R",56,"R",49,"R",59,"R",4224,"R",4487,"R",0,"R",0,"R",5183,"R",5766
100751,6,1,1,"R",146,"R",71,"R",775,"R",1228,"R",43,"R",34,"R",74,"R",75,"R",61,"R",71,"R",5139,"R",5636,"R",0,"R",0,"R",6238,"R",7115
100751,7,1,1,"R",57,"R",68,"R",3,"R",3,"R",0,"R",1,"R",2,"R",0,"R",0,"R",1,"R",17,"R",10,"R",0,"R",0,"R",79,"R",83
