UNITID,EFFYLEV,LSTUDY,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEYNRALT,EFYNRALT,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XEYUNKNT,EFYUNKNT,XEYTOTLT,EFYTOTLT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEFYHIST,EFYHISPT,XEFYAIAT,EFYAIANT,XEFYASIT,EFYASIAT,XEFYBKAT,EFYBKAAT,XEFYNHPT,EFYNHPIT,XEFYWHIT,EFYWHITT,XEFY2MOT,EFY2MORT,XDVEYAIT,DVEYAIT,XDVEYAIM,DVEYAIM,XDVEYAIW,DVEYAIW,XDVEYAPT,DVEYAPT,XDVEYAPM,DVEYAPM,XDVEYAPW,DVEYAPW,XDVEYBKT,DVEYBKT,XDVEYBKM,DVEYBKM,XDVEYBKW,DVEYBKW,XDVEYHST,DVEYHST,XDVEYHSM,DVEYHSM,XDVEYHSW,DVEYHSW,XDVEYWHT,DVEYWHT,XDVEYWHM,DVEYWHM,XDVEYWHW,DVEYWHW 
100636,1,999,"R",0,"R",0,"R",35079,"R",14486,"R",3170,"R",1098,"R",12060,"R",3667,"R",0,"R",0,"R",201177,"R",39445,"R",11370,"R",3021,"R",262856,"R",61717,"R",0,"R",49565,"R",4268,"R",15727,"R",0,"R",240622,"R",14391,"R",324573,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4268,"R",3170,"R",1098,"R",15727,"R",12060,"R",3667,"R",49565,"R",35079,"R",14486,"R",0,"R",0,"R",0,"R",240622,"R",201177,"R",39445
100636,2,  1,"R",0,"R",0,"R",35079,"R",14486,"R",3170,"R",1098,"R",12060,"R",3667,"R",0,"R",0,"R",201177,"R",39445,"R",11370,"R",3021,"R",262856,"R",61717,"R",0,"R",49565,"R",4268,"R",15727,"R",0,"R",240622,"R",14391,"R",324573,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4268,"R",3170,"R",1098,"R",15727,"R",12060,"R",3667,"R",49565,"R",35079,"R",14486,"R",0,"R",0,"R",0,"R",240622,"R",201177,"R",39445
100654,1,999,"R",135,"R",108,"R",2438,"R",3077,"R",4,"R",6,"R",5,"R",7,"R",17,"R",11,"R",116,"R",224,"R",1,"R",0,"R",2716,"R",3433,"R",243,"R",5515,"R",10,"R",12,"R",28,"R",340,"R",1,"R",6149,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10,"R",4,"R",6,"R",12,"R",5,"R",7,"R",5515,"R",2438,"R",3077,"R",28,"R",17,"R",11,"R",340,"R",116,"R",224
100654,2,  1,"R",54,"R",50,"R",2219,"R",2529,"R",3,"R",4,"R",2,"R",3,"R",14,"R",8,"R",58,"R",33,"R",1,"R",0,"R",2351,"R",2627,"R",104,"R",4748,"R",7,"R",5,"R",22,"R",91,"R",1,"R",4978,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",7,"R",3,"R",4,"R",5,"R",2,"R",3,"R",4748,"R",2219,"R",2529,"R",22,"R",14,"R",8,"R",91,"R",58,"R",33
100654,4,  3,"R",81,"R",58,"R",219,"R",548,"R",1,"R",2,"R",3,"R",4,"R",3,"R",3,"R",58,"R",191,"R",0,"R",0,"R",365,"R",806,"R",139,"R",767,"R",3,"R",7,"R",6,"R",249,"R",0,"R",1171,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3,"R",1,"R",2,"R",7,"R",3,"R",4,"R",767,"R",219,"R",548,"R",6,"R",3,"R",3,"R",249,"R",58,"R",191
100663,1,999,"R",452,"R",376,"R",1108,"R",2941,"R",31,"R",47,"R",316,"R",465,"R",101,"R",192,"R",4940,"R",6803,"R",689,"R",994,"R",7637,"R",11818,"R",828,"R",4049,"R",78,"R",781,"R",293,"R",11743,"R",1683,"R",19455,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",78,"R",31,"R",47,"R",781,"R",316,"R",465,"R",4049,"R",1108,"R",2941,"R",293,"R",101,"R",192,"R",11743,"R",4940,"R",6803
100663,2,  1,"R",127,"R",138,"R",911,"R",2271,"R",18,"R",26,"R",196,"R",288,"R",69,"R",131,"R",3214,"R",3884,"R",507,"R",611,"R",5042,"R",7349,"R",265,"R",3182,"R",44,"R",484,"R",200,"R",7098,"R",1118,"R",12391,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",44,"R",18,"R",26,"R",484,"R",196,"R",288,"R",3182,"R",911,"R",2271,"R",200,"R",69,"R",131,"R",7098,"R",3214,"R",3884
100663,3,  2,"R",1,"R",2,"R",12,"R",54,"R",5,"R",5,"R",46,"R",66,"R",1,"R",7,"R",463,"R",323,"R",27,"R",23,"R",555,"R",480,"R",3,"R",66,"R",10,"R",112,"R",8,"R",786,"R",50,"R",1035,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10,"R",5,"R",5,"R",112,"R",46,"R",66,"R",66,"R",12,"R",54,"R",8,"R",1,"R",7,"R",786,"R",463,"R",323
100663,4,  3,"R",324,"R",236,"R",185,"R",616,"R",8,"R",16,"R",74,"R",111,"R",31,"R",54,"R",1263,"R",2596,"R",155,"R",360,"R",2040,"R",3989,"R",560,"R",801,"R",24,"R",185,"R",85,"R",3859,"R",515,"R",6029,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",24,"R",8,"R",16,"R",185,"R",74,"R",111,"R",801,"R",185,"R",616,"R",85,"R",31,"R",54,"R",3859,"R",1263,"R",2596
100690,1,999,"Z",0,"Z",0,"R",156,"R",232,"Z",0,"R",2,"R",3,"R",1,"R",21,"R",21,"R",331,"R",216,"R",34,"R",39,"R",545,"R",511,"Z",0,"R",388,"R",2,"R",4,"R",42,"R",547,"R",73,"R",1056,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2,"Z",0,"R",2,"R",4,"R",3,"R",1,"R",388,"R",156,"R",232,"R",42,"R",21,"R",21,"R",547,"R",331,"R",216
