;YEAR,Ensign,Westmin,UofU_Main,WSU_Main,WSU_Davis,SLCC_Main,SLCC_SC,SLCC_JD,SLCC_ML,SLCC_HM,BYU,UVU_Main,UVU_Geneva,UVU_Lehi,UVU_Vineyard,UVU_Payson
2000,824,2403,24948,13368,2682,15182,2258,2960,359,837,32554,20946,0,0,0,0
2001,1025,2474,27668,14053,2820,16662,2478,3249,394,919,32771,22609,0,0,0,0
2002,1124,2353,28369,15041,3018,16413,2441,3200,388,905,32408,23609,0,0,0,0
2003,1258,2471,28436,15676,3145,16912,2515,3297,400,932,33008,23803,0,0,0,0
2004,1248,2417,28933,15407,3091,17382,2585,3389,411,958,34347,24149,0,0,0,0
2005,1235,2455,30558,15110,3032,16950,2521,3305,400,934,34067,24180,0,0,0,0
2006,1317,2479,30511,15244,3059,17042,2535,3323,403,939,34185,23305,0,0,0,0
2007,1316,2661,28025,15059,3022,17740,2639,3459,419,978,34174,23840,0,0,0,0
2008,1377,2859,28211,17814,3574,20666,3074,4029,488,1139,34244,26696,0,0,0,0
2009,1589,3037,29284,19157,3844,24581,3656,4793,581,1355,34130,28765,0,0,0,0
2010,1809,3163,30819,20029,4019,24362,3624,4750,576,1343,33841,32670,0,0,0,0
2011,1987,3358,31660,21073,4228,23494,3495,4581,555,1295,34101,33395,0,0,0,0
2012,2191,3301,31582,20280,4069,19522,2904,3806,461,1076,34402,28409,0,0,0,0
2013,2036,3108,31150,19180,3848,20566,3059,4010,486,1134,31106,27411,0,0,0,0
2014,2006,2991,30505,19665,3946,19245,2862,3752,455,1061,30447,28344,0,0,0,0
2015,2146,2721,30362,19580,3929,18071,2688,3523,427,996,33432,30303,0,0,0,0
2016,2075,2589,30539,20040,4021,18655,2775,3637,441,1028,34184,32249,0,0,0,0
2017,1982,2570,31389,21032,4220,18445,2744,3596,436,1017,34191,34535,0,0,0,0
2018,1927,2477,31547,21101,4234,18060,2686,3521,427,996,34281,36834,0,0,0,0
2019,1886,2215,31406,22075,4430,18124,2696,3534,428,999,34031,37252,0,1202,0,0
2020,1781,1849,22042,16687,3348,15850,2358,3090,374,874,31013,26630,0,906,0,0
2021,1676,1422,31057,20123,4038,14678,2183,2862,347,809,34086,32597,0,1136,0,0
2022,1524,1249,32303,20821,4178,14826,2205,2891,350,817,33657,34688,0,1192,0,0
2023,1674,1197,33034,21467,4308,15252,2269,2974,360,841,34275,37090,0,1263,0,0
2024,1783,1470,33268,22614,4538,15697,2335,3060,371,865,34299,38899,0,1313,0,0
2025,1894,1749,33501,23790,4774,16149,2402,3149,382,890,34323,40751,0,1362,0,0
2026,2013,2041,33735,25106,5038,16653,2477,3247,393,918,34347,41972,0,1418,534,0
2027,2125,2326,33968,26231,5264,17071,2539,3328,403,941,34471,43854,0,1491,696,0
2028,2213,2586,34202,26822,5382,17291,2572,3371,409,953,34595,45248,0,1553,857,0
