;YEAR,Ensign,Westmin,UofU_Main,WSU_Main,WSU_Davis,SLCC_Main,SLCC_SC,SLCC_JD,SLCC_ML,SLCC_HM,BYU,UVU_Main,UVU_Geneva,UVU_Lehi,UVU_Vineyard,UVU_Payson
2029,2284,2824,34436,27246,5467,17384,2586,3389,411,958,34719,45550,0,1603,1014,606
2030,2346,3049,34669,27654,5549,17426,2592,3398,412,961,34843,46092,0,1631,1157,706
2031,2404,3268,34903,28015,5621,17458,2597,3404,412,962,34867,46430,0,1652,1295,801
2032,2452,3470,35136,28282,5675,17428,2592,3398,412,961,34891,46495,0,1663,1419,889
2033,2491,3656,35370,28518,5722,17348,2580,3382,410,956,34916,46364,0,1667,1535,970
2034,2535,3627,35603,28827,5784,17321,2576,3377,409,955,34940,46211,0,1669,1644,1047
2035,2575,3596,35837,29028,5825,17281,2570,3369,408,953,34964,46020,0,1670,1748,1119
2036,2614,3568,36071,29211,5861,17249,2566,3363,408,951,34988,45918,0,1674,1850,1191
2037,2660,3550,36304,29362,5892,17267,2568,3366,408,952,35012,45971,0,1683,1955,1265
2038,2703,3528,36538,29448,5909,17263,2568,3366,408,952,35036,46100,0,1695,2060,1339
2039,2727,3479,36771,29362,5892,17137,2549,3341,405,945,35060,46217,0,1706,2163,1411
2040,2757,3443,37005,29302,5880,17066,2538,3327,403,941,35084,46356,0,1717,2263,1481
2041,2781,3399,37239,29107,5840,16956,2522,3306,401,935,35108,46511,0,1730,2363,1551
2042,2809,3362,37472,29042,5827,16878,2510,3291,399,930,35132,46835,0,1748,2469,1624
2043,2838,3326,37706,29026,5824,16803,2499,3276,397,926,35156,47208,0,1767,2577,1699
2044,2863,3286,37939,29022,5823,16711,2486,3258,395,921,35180,47585,0,1787,2683,1773
2045,2885,3244,38173,29026,5824,16604,2470,3237,392,915,35204,47927,0,1806,2787,1844
2046,2926,3231,38406,29268,5873,16630,2473,3242,393,917,35228,48376,0,1829,2895,1919
2047,2973,3221,38640,29547,5929,16677,2481,3252,394,919,35252,48973,0,1857,3012,2000
2048,3037,3233,38874,30059,6032,16832,2504,3282,398,928,35276,49821,0,1895,3144,2090
2049,3117,3260,39107,30737,6167,17069,2539,3328,403,941,35300,50919,0,1942,3294,2193
2050,3223,3315,39341,31631,6347,17447,2595,3402,412,962,35324,52378,0,2003,3467,2311
2051,3349,3387,39574,32700,6562,17922,2666,3494,423,988,35348,54307,0,2077,3595,2397
2052,3488,3470,39808,33886,6800,18460,2746,3599,436,1018,35373,56468,0,2160,3738,2492
2053,3634,3559,40042,35142,7051,19027,2830,3710,450,1049,35397,58723,0,2246,3887,2591
2054,3780,3646,40275,36416,7307,19590,2914,3819,463,1080,35421,60920,0,2330,4033,2688
2055,3923,3729,40509,37676,7560,20130,2994,3925,476,1110,35445,62970,0,2408,4168,2779
2056,4059,3805,40742,38894,7804,20633,3069,4023,487,1137,35469,64804,0,2478,4289,2860
2057,4185,3873,40976,40053,8037,21091,3137,4112,498,1163,35493,66376,0,2539,4394,2929
2058,4300,3932,41209,41135,8254,21497,3197,4191,508,1185,35517,67663,0,2588,4479,2986
2059,4388,3966,41443,41967,8421,21766,3237,4244,514,1200,35541,68414,0,2617,4528,3019
2060,4449,3978,41677,42554,8539,21907,3258,4271,518,1208,35565,68691,0,2627,4547,3031
