;YEAR,Univ_Code,University,Enrollment,Type
2026,SLCC,Salt Lake Community College,23793,Projected
2027,SLCC,Salt Lake Community College,24223,Projected
2028,SLCC,Salt Lake Community College,24369,Projected
2029,SLCC,Salt Lake Community College,24338,Projected
2030,SLCC,Salt Lake Community College,24239,Projected
2031,SLCC,Salt Lake Community College,24129,Projected
2032,SLCC,Salt Lake Community College,23938,Projected
2033,SLCC,Salt Lake Community College,23685,Projected
2034,SLCC,Salt Lake Community College,23507,Projected
2035,SLCC,Salt Lake Community College,23316,Projected
2036,SLCC,Salt Lake Community College,23140,Projected
2037,SLCC,Salt Lake Community College,23034,Projected
2038,SLCC,Salt Lake Community College,22904,Projected
2039,SLCC,Salt Lake Community College,22614,Projected
2040,SLCC,Salt Lake Community College,22402,Projected
2041,SLCC,Salt Lake Community College,22141,Projected
2042,SLCC,Salt Lake Community College,21928,Projected
2043,SLCC,Salt Lake Community College,21722,Projected
2044,SLCC,Salt Lake Community College,21498,Projected
2045,SLCC,Salt Lake Community College,21257,Projected
2046,SLCC,Salt Lake Community College,21190,Projected
2047,SLCC,Salt Lake Community College,21153,Projected
2048,SLCC,Salt Lake Community College,21252,Projected
2049,SLCC,Salt Lake Community College,21455,Projected
2050,SLCC,Salt Lake Community College,21834,Projected
2051,SLCC,Salt Lake Community College,22332,Projected
2052,SLCC,Salt Lake Community College,22904,Projected
2053,SLCC,Salt Lake Community College,23509,Projected
2054,SLCC,Salt Lake Community College,24106,Projected
2055,SLCC,Salt Lake Community College,24671,Projected
2056,SLCC,Salt Lake Community College,25188,Projected
2057,SLCC,Salt Lake Community College,25646,Projected
2058,SLCC,Salt Lake Community College,26039,Projected
2059,SLCC,Salt Lake Community College,26368,Projected
2060,SLCC,Salt Lake Community College,26640,Projected
2024,UVU,Utah Valley University,40152,Projected
2025,UVU,Utah Valley University,41856,Projected
2026,UVU,Utah Valley University,43460,Projected
2027,UVU,Utah Valley University,45357,Projected
2028,UVU,Utah Valley University,46753,Projected
2029,UVU,Utah Valley University,47652,Projected
2030,UVU,Utah Valley University,48254,Projected
2031,UVU,Utah Valley University,48641,Projected
2032,UVU,Utah Valley University,48736,Projected
2033,UVU,Utah Valley University,48627,Projected
2034,UVU,Utah Valley University,48488,Projected
2035,UVU,Utah Valley University,48306,Projected
2036,UVU,Utah Valley University,48216,Projected
2037,UVU,Utah Valley University,48287,Projected
2038,UVU,Utah Valley University,48436,Projected
2039,UVU,Utah Valley University,48570,Projected
2040,UVU,Utah Valley University,48726,Projected
2041,UVU,Utah Valley University,48898,Projected
2042,UVU,Utah Valley University,49244,Projected
2043,UVU,Utah Valley University,49641,Projected
2044,UVU,Utah Valley University,50041,Projected
2045,UVU,Utah Valley University,50402,Projected
2046,UVU,Utah Valley University,50876,Projected
2047,UVU,Utah Valley University,51506,Projected
2048,UVU,Utah Valley University,52397,Projected
2049,UVU,Utah Valley University,53550,Projected
2050,UVU,Utah Valley University,55082,Projected
2051,UVU,Utah Valley University,56977,Projected
2052,UVU,Utah Valley University,59109,Projected
2053,UVU,Utah Valley University,61331,Projected
2054,UVU,Utah Valley University,63487,Projected
2055,UVU,Utah Valley University,65482,Projected
2056,UVU,Utah Valley University,67247,Projected
2057,UVU,Utah Valley University,68736,Projected
2058,UVU,Utah Valley University,69928,Projected
2059,UVU,Utah Valley University,70840,Projected
2060,UVU,Utah Valley University,71522,Projected
2024,UofU,University of Utah,34645,Projected
2025,UofU,University of Utah,34746,Projected
2026,UofU,University of Utah,34847,Projected
2027,UofU,University of Utah,34948,Projected
2028,UofU,University of Utah,35049,Projected
2029,UofU,University of Utah,35150,Projected
2030,UofU,University of Utah,35251,Projected
2031,UofU,University of Utah,35352,Projected
2032,UofU,University of Utah,35453,Projected
2033,UofU,University of Utah,35554,Projected
2034,UofU,University of Utah,35655,Projected
2035,UofU,University of Utah,35756,Projected
2036,UofU,University of Utah,35857,Projected
2037,UofU,University of Utah,35959,Projected
2038,UofU,University of Utah,36060,Projected
2039,UofU,University of Utah,36161,Projected
2040,UofU,University of Utah,36262,Projected
2041,UofU,University of Utah,36363,Projected
2042,UofU,University of Utah,36464,Projected
2043,UofU,University of Utah,36565,Projected
2044,UofU,University of Utah,36666,Projected
2045,UofU,University of Utah,36767,Projected
2046,UofU,University of Utah,36868,Projected
2047,UofU,University of Utah,36969,Projected
2048,UofU,University of Utah,37070,Projected
2049,UofU,University of Utah,37171,Projected
2050,UofU,University of Utah,37272,Projected
2051,UofU,University of Utah,37373,Projected
2052,UofU,University of Utah,37474,Projected
2053,UofU,University of Utah,37575,Projected
2054,UofU,University of Utah,37676,Projected
2055,UofU,University of Utah,37777,Projected
2056,UofU,University of Utah,37878,Projected
2057,UofU,University of Utah,37979,Projected
2058,UofU,University of Utah,38080,Projected
2059,UofU,University of Utah,38181,Projected
2060,UofU,University of Utah,38282,Projected
2024,WSU,Weber State University,27593,Projected
2025,WSU,Weber State University,28854,Projected
2026,WSU,Weber State University,30275,Projected
2027,WSU,Weber State University,31456,Projected
2028,WSU,Weber State University,31992,Projected
2029,WSU,Weber State University,32331,Projected
2030,WSU,Weber State University,32652,Projected
2031,WSU,Weber State University,32920,Projected
2032,WSU,Weber State University,33081,Projected
2033,WSU,Weber State University,33208,Projected
2034,WSU,Weber State University,33423,Projected
2035,WSU,Weber State University,33517,Projected
2036,WSU,Weber State University,33592,Projected
2037,WSU,Weber State University,33635,Projected
2038,WSU,Weber State University,33606,Projected
2039,WSU,Weber State University,33386,Projected
2040,WSU,Weber State University,33200,Projected
2041,WSU,Weber State University,32865,Projected
2042,WSU,Weber State University,32682,Projected
2043,WSU,Weber State University,32559,Projected
2044,WSU,Weber State University,32452,Projected
2045,WSU,Weber State University,32358,Projected
2046,WSU,Weber State University,32532,Projected
2047,WSU,Weber State University,32747,Projected
2048,WSU,Weber State University,33222,Projected
2049,WSU,Weber State University,33877,Projected
2050,WSU,Weber State University,34771,Projected
2051,WSU,Weber State University,35853,Projected
2052,WSU,Weber State University,37060,Projected
2053,WSU,Weber State University,38338,Projected
2054,WSU,Weber State University,39634,Projected
2055,WSU,Weber State University,40909,Projected
2056,WSU,Weber State University,42136,Projected
2057,WSU,Weber State University,43295,Projected
2058,WSU,Weber State University,44368,Projected
2059,WSU,Weber State University,45347,Projected
2060,WSU,Weber State University,46230,Projected
2024,Westmin,Westminster College,1136,Projected
2025,Westmin,Westminster College,1364,Projected
2026,Westmin,Westminster College,1603,Projected
2027,Westmin,Westminster College,1836,Projected
2028,Westmin,Westminster College,2049,Projected
2029,Westmin,Westminster College,2245,Projected
2030,Westmin,Westminster College,2431,Projected
2031,Westmin,Westminster College,2612,Projected
2032,Westmin,Westminster College,2779,Projected
2033,Westmin,Westminster College,2932,Projected
2034,Westmin,Westminster College,3090,Projected
2035,Westmin,Westminster College,3048,Projected
2036,Westmin,Westminster College,3009,Projected
2037,Westmin,Westminster College,2979,Projected
2038,Westmin,Westminster College,2946,Projected
2039,Westmin,Westminster College,2891,Projected
2040,Westmin,Westminster College,2848,Projected
2041,Westmin,Westminster College,2798,Projected
2042,Westmin,Westminster College,2754,Projected
2043,Westmin,Westminster College,2712,Projected
2044,Westmin,Westminster College,2667,Projected
2045,Westmin,Westminster College,2621,Projected
2046,Westmin,Westminster College,2598,Projected
2047,Westmin,Westminster College,2579,Projected
2048,Westmin,Westminster College,2577,Projected
2049,Westmin,Westminster College,2587,Projected
2050,Westmin,Westminster College,2619,Projected
2051,Westmin,Westminster College,2664,Projected
2052,Westmin,Westminster College,2718,Projected
2053,Westmin,Westminster College,2775,Projected
2054,Westmin,Westminster College,2831,Projected
2055,Westmin,Westminster College,2883,Projected
2056,Westmin,Westminster College,2929,Projected
2057,Westmin,Westminster College,2969,Projected
2058,Westmin,Westminster College,3002,Projected
2059,Westmin,Westminster College,3028,Projected
2060,Westmin,Westminster College,3047,Projected
