;YEAR,Univ_Code,University,Enrollment,Type
2024,BYU,Brigham Young University,34975,Projected
2025,BYU,Brigham Young University,34964,Projected
2026,BYU,Brigham Young University,34952,Projected
2027,BYU,Brigham Young University,35041,Projected
2028,BYU,Brigham Young University,35129,Projected
2029,BYU,Brigham Young University,35218,Projected
2030,BYU,Brigham Young University,35306,Projected
2031,BYU,Brigham Young University,35295,Projected
2032,BYU,Brigham Young University,35283,Projected
2033,BYU,Brigham Young University,35272,Projected
2034,BYU,Brigham Young University,35260,Projected
2035,BYU,Brigham Young University,35249,Projected
2036,BYU,Brigham Young University,35237,Projected
2037,BYU,Brigham Young University,35226,Projected
2038,BYU,Brigham Young University,35215,Projected
2039,BYU,Brigham Young University,35203,Projected
2040,BYU,Brigham Young University,35192,Projected
2041,BYU,Brigham Young University,35180,Projected
2042,BYU,Brigham Young University,35169,Projected
2043,BYU,Brigham Young University,35157,Projected
2044,BYU,Brigham Young University,35146,Projected
2045,BYU,Brigham Young University,35134,Projected
2046,BYU,Brigham Young University,35123,Projected
2047,BYU,Brigham Young University,35111,Projected
2048,BYU,Brigham Young University,35100,Projected
2049,BYU,Brigham Young University,35088,Projected
2050,BYU,Brigham Young University,35077,Projected
2051,BYU,Brigham Young University,35065,Projected
2052,BYU,Brigham Young University,35054,Projected
2053,BYU,Brigham Young University,35043,Projected
2054,BYU,Brigham Young University,35031,Projected
2055,BYU,Brigham Young University,35020,Projected
2056,BYU,Brigham Young University,35008,Projected
2057,BYU,Brigham Young University,34997,Projected
2058,BYU,Brigham Young University,34985,Projected
2059,BYU,Brigham Young University,34974,Projected
2060,BYU,Brigham Young University,34962,Projected
2024,Ensign,Ensign College,1663,Projected
2025,Ensign,Ensign College,1760,Projected
2026,Ensign,Ensign College,1863,Projected
2027,Ensign,Ensign College,1960,Projected
2028,Ensign,Ensign College,2035,Projected
2029,Ensign,Ensign College,2093,Projected
2030,Ensign,Ensign College,2145,Projected
2031,Ensign,Ensign College,2192,Projected
2032,Ensign,Ensign College,2230,Projected
2033,Ensign,Ensign College,2261,Projected
2034,Ensign,Ensign College,2296,Projected
2035,Ensign,Ensign College,2327,Projected
2036,Ensign,Ensign College,2359,Projected
2037,Ensign,Ensign College,2396,Projected
2038,Ensign,Ensign College,2430,Projected
2039,Ensign,Ensign College,2448,Projected
2040,Ensign,Ensign College,2472,Projected
2041,Ensign,Ensign College,2489,Projected
2042,Ensign,Ensign College,2511,Projected
2043,Ensign,Ensign College,2533,Projected
2044,Ensign,Ensign College,2553,Projected
2045,Ensign,Ensign College,2569,Projected
2046,Ensign,Ensign College,2603,Projected
2047,Ensign,Ensign College,2641,Projected
2048,Ensign,Ensign College,2696,Projected
2049,Ensign,Ensign College,2765,Projected
2050,Ensign,Ensign College,2856,Projected
2051,Ensign,Ensign College,2964,Projected
2052,Ensign,Ensign College,3085,Projected
2053,Ensign,Ensign College,3211,Projected
2054,Ensign,Ensign College,3338,Projected
2055,Ensign,Ensign College,3461,Projected
2056,Ensign,Ensign College,3578,Projected
2057,Ensign,Ensign College,3687,Projected
2058,Ensign,Ensign College,3786,Projected
2059,Ensign,Ensign College,3875,Projected
2060,Ensign,Ensign College,3956,Projected
2024,SLCC,Salt Lake Community College,22753,Projected
2025,SLCC,Salt Lake Community College,23238,Projected
