;YEAR,Ensign,Westmin,UofU_Main,WSU_Main,WSU_Davis,SLCC_Main,SLCC_SC,SLCC_JD,SLCC_ML,SLCC_HM,BYU,UVU_Main,UVU_Geneva,UVU_Lehi,UVU_Vineyard,UVU_Payson
2000,824,2403,24948,13368,2682,15182,2258,2960,359,837,32554,19899,1047,0,0,0
2001,1025,2474,27668,14053,2820,16662,2478,3249,394,919,32771,21479,1130,0,0,0
2002,1124,2353,28369,15041,3018,16413,2441,3200,388,905,32408,22429,1180,0,0,0
2003,1258,2471,28436,15676,3145,16912,2515,3297,400,932,33008,22613,1190,0,0,0
2004,1248,2417,28933,15407,3091,17382,2585,3389,411,958,34347,22942,1207,0,0,0
2005,1235,2455,30558,15110,3032,16950,2521,3305,400,934,34067,22971,1209,0,0,0
2006,1317,2479,30511,15244,3059,17042,2535,3323,403,939,34185,22140,1165,0,0,0
2007,1316,2661,28025,15059,3022,17740,2639,3459,419,978,34174,22648,1192,0,0,0
2008,1377,2859,28211,17814,3574,20666,3074,4029,488,1139,34244,25361,1335,0,0,0
2009,1589,3037,29284,19157,3844,24581,3656,4793,581,1355,34130,27327,1438,0,0,0
2010,1809,3163,30819,20029,4019,24362,3624,4750,576,1343,33841,31036,1634,0,0,0
2011,1987,3358,31660,21073,4228,23494,3495,4581,555,1295,34101,31725,1670,0,0,0
2012,2191,3301,31582,20280,4069,19522,2904,3806,461,1076,34402,26989,1420,0,0,0
2013,2036,3108,31150,19180,3848,20566,3059,4010,486,1134,31106,26040,1371,0,0,0
2014,2006,2991,30505,19665,3946,19245,2862,3752,455,1061,30447,26927,1417,0,0,0
2015,2146,2721,30362,19580,3929,18071,2688,3523,427,996,33432,28788,1515,0,0,0
2016,2075,2589,30539,20040,4021,18655,2775,3637,441,1028,34184,30637,1612,0,0,0
2017,1982,2570,31389,21032,4220,18445,2744,3596,436,1017,34191,32808,1727,0,0,0
2018,1927,2477,31547,21101,4234,18060,2686,3521,427,996,34281,34992,1842,0,0,0
2019,1886,2215,31406,22075,4430,18124,2696,3534,428,999,34031,35389,1863,1202,0,0
2020,1781,1849,22042,16687,3348,15850,2358,3090,374,874,31013,25298,1332,906,0,0
2021,1676,1422,31057,20123,4038,14678,2183,2862,347,809,34086,30967,1630,1136,0,0
2022,1524,1249,32303,20821,4178,14826,2205,2891,350,817,33657,32954,1734,1192,0,0
2023,1674,1197,33034,21467,4308,15252,2269,2974,360,841,34275,35236,1854,1263,0,0
2024,1663,1136,34645,22982,4611,15996,2379,3119,378,882,34975,36899,1942,1311,0,0
2025,1760,1364,34746,24032,4822,16336,2430,3185,386,901,34964,38477,2025,1354,0,0
2026,1863,1603,34847,25215,5060,16727,2488,3261,395,922,34952,39453,2076,1403,528,0
2027,1960,1836,34948,26199,5257,17029,2533,3320,402,939,35041,41042,2160,1469,685,0
2028,2035,2049,35049,26645,5347,17132,2548,3340,405,944,35129,42170,2219,1524,841,0
2029,2093,2245,35150,26928,5403,17110,2545,3336,404,943,35218,42278,2225,1566,991,592
2030,2145,2431,35251,27195,5457,17040,2535,3322,403,939,35306,42610,2243,1587,1127,687
2031,2192,2612,35352,27418,5502,16963,2523,3307,401,935,35295,42758,2250,1601,1255,776
2032,2230,2779,35453,27552,5529,16829,2503,3281,398,928,35283,42656,2245,1606,1371,858
2033,2261,2932,35554,27658,5550,16651,2477,3246,393,918,35272,42382,2231,1604,1477,933
2034,2296,3090,35655,27837,5586,16526,2458,3222,390,911,35260,42092,2215,1600,1577,1004
2035,2327,3048,35756,27916,5601,16391,2438,3196,387,904,35249,41772,2199,1596,1670,1069
2036,2359,3009,35857,27978,5614,16268,2420,3172,384,897,35237,41540,2186,1594,1762,1135
2037,2396,2979,35959,28014,5621,16193,2409,3157,383,893,35226,41451,2182,1597,1856,1201
2038,2430,2946,36060,27990,5616,16102,2395,3139,380,888,35215,41435,2181,1603,1950,1267
2039,2448,2891,36161,27806,5580,15898,2365,3100,376,876,35203,41410,2180,1609,2040,1330
2040,2472,2848,36262,27652,5548,15749,2342,3070,372,868,35192,41410,2180,1615,2129,1393
2041,2489,2798,36363,27373,5492,15565,2315,3035,368,858,35180,41427,2180,1622,2216,1454
2042,2511,2754,36464,27220,5462,15416,2293,3006,364,850,35169,41594,2189,1634,2308,1519
2043,2533,2712,36565,27118,5441,15271,2271,2977,361,842,35157,41808,2200,1647,2402,1584
2044,2553,2667,36666,27029,5423,15113,2248,2947,357,833,35146,42025,2212,1661,2495,1648
2045,2569,2621,36767,26950,5408,14944,2223,2914,353,824,35134,42213,2222,1674,2584,1709
2046,2603,2598,36868,27095,5437,14897,2216,2904,352,821,35123,42497,2237,1691,2677,1774
