;YEAR,Ensign,Westmin,UofU_Main,WSU_Main,WSU_Davis,SLCC_Main,SLCC_SC,SLCC_JD,SLCC_ML,SLCC_HM,BYU,UVU_Main,UVU_Geneva,UVU_Lehi,UVU_Vineyard,UVU_Payson
2047,2641,2579,36969,27274,5473,14871,2212,2899,351,820,35111,42912,2259,1713,2778,1844
2048,2696,2577,37070,27670,5552,14940,2222,2913,353,824,35100,43546,2292,1743,2893,1923
2049,2765,2587,37171,28215,5662,15083,2243,2941,356,832,35088,44396,2337,1782,3022,2012
2050,2856,2619,37272,28960,5811,15349,2283,2993,363,846,35077,45559,2398,1834,3175,2116
2051,2964,2664,37373,29861,5992,15700,2335,3061,371,865,35065,47127,2480,1897,3284,2189
2052,3085,2718,37474,30866,6194,16102,2395,3139,380,888,35054,48890,2573,1968,3406,2271
2053,3211,2775,37575,31931,6407,16527,2458,3222,390,911,35043,50728,2670,2042,3535,2356
2054,3338,2831,37676,33010,6624,16947,2521,3304,400,934,35031,52511,2764,2114,3659,2439
2055,3461,2883,37777,34072,6837,17344,2580,3381,410,956,35020,54161,2851,2180,3774,2516
2056,3578,2929,37878,35094,7042,17707,2634,3452,418,976,35008,55621,2927,2239,3876,2584
2057,3687,2969,37979,36059,7236,18029,2682,3515,426,994,34997,56853,2992,2289,3961,2641
2058,3786,3002,38080,36953,7415,18306,2723,3569,432,1009,34985,57839,3044,2329,4031,2687
2059,3875,3028,38181,37769,7578,18537,2757,3614,438,1022,34974,58593,3084,2359,4083,2722
2060,3956,3047,38282,38504,7726,18728,2786,3651,442,1032,34962,59156,3114,2382,4122,2748
