;Z,ENSIGN,WESTMIN,WSU_MAIN,WSU_DAVIS,SLCC_SC,BYU,SLCC_MAIN,UVU_MAIN,UOFU_MAIN,SLCC_JD,SLCC_ML
733,0,0,0,0,0,0,0,0,3,0,0
734,0,0,0,1,0,1,0,0,0,0,0
735,0,0,22,1,0,0,0,0,29,0,0
736,7,0,33,2,0,0,30,0,0,0,0
737,0,0,2,0,0,0,0,0,17,0,0
738,0,0,1,1,0,0,0,0,0,0,0
739,0,0,12,10,0,0,0,0,0,0,0
741,0,0,0,1,0,0,0,0,0,0,0
742,0,0,0,1,0,0,0,0,0,0,0
743,0,0,28,1,0,1,0,0,120,0,0
744,0,0,28,26,0,3,0,0,9,0,0
746,0,0,0,0,0,0,0,0,0,0,0
747,3,0,3,5,0,0,0,10,0,0,0
748,0,0,4,2,0,2,0,0,47,0,0
749,0,0,0,2,0,0,0,0,20,0,0
750,0,0,20,5,0,0,29,0,4,0,0
752,0,0,0,0,15,0,0,0,0,0,0
754,0,0,95,10,0,0,0,0,8,0,0
755,4,0,11,5,0,0,0,0,0,0,0
756,0,0,7,5,0,2,0,0,3,0,0
757,2,0,5,5,0,0,0,36,24,0,0
758,0,0,4,6,0,0,0,67,4,0,0
759,0,0,43,2,0,0,0,35,0,0,0
760,0,0,8,0,0,1,0,28,7,0,0
761,7,0,5,3,0,0,0,7,0,0,0
762,0,0,0,5,0,0,0,39,0,0,0
763,0,0,22,3,0,0,0,0,0,0,0
764,7,0,187,3,0,1,0,0,43,0,0
765,0,0,0,19,0,3,0,0,12,0,0
766,0,0,2,0,0,0,0,0,44,0,0
767,0,0,1,0,0,0,0,0,19,7,0
768,0,0,13,8,0,0,68,0,9,0,0
769,0,0,11,1,0,0,0,0,0,0,0
770,0,0,17,6,0,0,0,0,50,0,0
771,2,0,9,0,0,0,0,0,2,0,0
772,0,0,11,1,0,0,0,0,12,0,0
773,0,0,10,4,0,0,0,39,6,0,0
774,0,0,7,0,0,0,62,0,3,0,0
775,0,0,12,3,4,0,0,17,5,0,0
776,9,0,15,1,0,0,0,0,5,0,1
777,0,0,0,0,0,0,0,0,0,0,0
778,4,0,18,4,0,2,0,0,0,0,0
779,0,0,4,9,0,0,0,40,6,0,0
780,0,0,2,1,3,0,21,0,5,11,0
782,0,0,3,10,0,0,0,0,26,0,0
784,0,0,13,3,0,0,0,0,0,0,0
785,0,0,14,5,0,0,0,0,126,0,0
786,1,0,22,0,0,0,0,10,6,0,0
787,1,0,4,1,2,0,0,0,1,0,0
788,0,0,0,0,0,0,0,0,0,0,0
789,0,0,78,0,0,0,0,0,0,0,0
790,0,0,17,2,0,0,0,0,6,0,0
792,0,2,5,0,0,0,0,0,0,0,0
793,0,0,22,12,0,0,0,0,6,0,0
795,0,0,68,2,0,0,0,0,8,0,0
796,4,0,4,0,0,0,0,0,0,0,0
797,19,0,0,3,0,0,31,0,5,0,0
798,0,0,4,0,0,0,0,0,24,0,0
799,0,0,0,3,0,0,0,0,42,0,0
802,1,1,0,2,0,0,0,0,3,0,1
803,4,0,12,1,0,0,31,0,7,0,0
804,0,3,4,0,0,0,0,0,0,0,0
805,4,0,40,16,0,0,0,0,18,0,0
806,1,0,1,0,0,0,0,0,3,0,0
807,0,0,0,0,0,0,0,0,0,0,0
808,0,0,0,5,0,0,17,0,6,0,0
809,0,0,2,0,0,0,0,0,11,0,2
810,0,0,0,0,0,0,0,23,0,0,0
811,0,0,4,0,21,0,0,43,9,0,0
812,0,0,0,0,0,1,0,0,0,0,0
815,0,0,24,4,0,0,0,0,0,0,0
818,0,0,0,0,0,0,0,0,4,0,0
819,0,0,55,0,7,0,61,0,0,0,0
822,0,0,2,0,0,0,0,0,0,0,0
823,0,0,0,2,0,0,0,0,0,0,0
825,0,0,6,5,1,1,2,0,0,4,3
826,2,0,0,2,1,0,0,28,10,0,0
827,1,1,0,2,0,0,0,0,26,0,0
828,0,0,0,15,0,2,73,0,19,24,0
829,0,0,0,0,0,0,37,0,6,0,2
830,4,0,2,0,0,0,0,0,4,0,1
831,1,0,0,0,0,0,0,0,2,0,0
832,11,0,4,0,2,0,0,0,1,0,0
833,0,0,1,1,0,0,1,4,1,0,0
834,0,0,0,0,0,0,5,0,0,0,0
835,0,0,0,9,0,1,15,38,11,0,0
836,1,0,0,0,0,0,0,0,1,0,0
837,1,0,2,2,0,0,0,0,8,0,0
838,0,0,3,0,0,1,0,0,7,0,0
839,3,0,0,0,0,0,0,32,36,8,0
840,0,0,13,0,0,0,9,0,18,0,0
841,0,0,0,0,0,0,0,0,24,0,0
842,237,0,17,0,3,0,0,0,18,0,0
843,0,0,0,0,0,0,0,0,6,0,0
844,0,2,25,4,0,0,2,0,45,0,0
845,0,0,1,0,0,0,0,0,2,0,0
846,0,0,3,0,0,0,0,0,22,0,0
847,2,0,17,0,0,0,0,0,80,0,0
848,0,0,0,0,0,0,0,45,6,0,0
850,0,0,5,0,46,0,0,0,5,0,0
851,0,0,17,0,0,0,6,0,0,0,0
852,0,0,0,0,3,0,29,0,10,0,0
854,0,0,53,4,0,1,5,0,5,0,0
855,0,6,50,0,0,1,33,0,14,0,0
856,3,0,4,0,0,0,8,0,8,0,0
857,0,0,0,0,0,0,0,0,25,0,0
858,0,0,0,0,6,0,0,0,0,0,0
860,0,0,0,0,0,0,8,0,0,0,0
862,0,0,0,0,0,0,5,0,2,0,0
863,3,0,0,0,8,0,0,0,27,0,0
864,0,0,1,1,5,0,0,0,1,0,0
865,0,0,1,0,0,0,0,3,0,0,0
866,0,0,0,5,0,0,0,33,38,0,0
868,0,0,0,2,5,0,0,0,38,0,0
870,0,0,0,0,0,0,14,0,0,0,0
871,0,0,7,6,0,0,0,0,4,0,0
872,0,0,2,1,0,0,0,0,4,0,0
873,0,0,0,4,0,0,0,0,0,0,0
874,0,0,0,1,0,0,0,0,33,0,0
876,1,0,0,0,0,0,0,1,25,0,0
879,0,0,0,0,0,0,0,0,0,0,0
880,0,0,44,0,0,0,0,0,6,0,0
883,0,0,0,0,0,0,0,0,3,0,0
884,0,0,0,0,0,0,18,0,9,0,0
885,0,0,0,0,0,0,0,0,35,0,0
886,0,0,0,0,21,0,39,0,5,0,0
887,0,0,0,3,3,2,80,27,164,0,0
891,0,0,0,1,2,0,0,0,35,0,1
892,0,0,11,1,10,0,35,3,0,6,0
894,22,0,24,0,3,2,0,23,9,0,0
895,0,0,10,11,0,0,0,3,0,12,0
896,9,0,0,0,0,0,0,0,0,0,0
926,3,0,0,0,0,0,5,0,0,0,0
