;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85625,0,0,0,3,BOX ELDER
2,30002,14,39,2.785714286,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,85625,0,0,0,3,BOX ELDER
3,30003,22,65,2.954545455,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,65313,0,0,0,3,BOX ELDER
4,30004,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65313,0,0,0,3,BOX ELDER
5,30005,58,192,3.310344828,2,0,0,2,13,0,0,0,0,0,0,2,0,0,0,7,4,88143,0,0,0,3,BOX ELDER
6,30006,3,9,3,8,0,8,0,9,0,0,0,8,0,0,0,0,0,0,1,0,65313,0,0,0,3,BOX ELDER
7,30007,35.99999997,106,2.944444447,34.99999997,1.999999998,26.99999998,5.999999995,248.9999998,1.999999998,0,0,26.99999998,0,0,0,5.999999995,204.9999998,0,5.999999995,2.999999998,65313,0,0,0,3,BOX ELDER
8,30008,45,150,3.333333333,55,17,0,38,64,17,0,0,0,36,0,0,2,0,0,6,3,88250,0,0,0,3,BOX ELDER
9,30009,14,40,2.857142857,87,0,87,0,90,0,0,0,87,0,0,0,0,0,0,2,1,65313,0,0,0,3,BOX ELDER
10,30010,20,59,2.95,91,0,91,0,95,0,0,0,91,0,0,0,0,0,0,3,1,65313,0,0,0,3,BOX ELDER
11,30011,7,23,3.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119242,0,0,0,3,BOX ELDER
12,30012,16,50,3.125,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,119242,0,0,0,3,BOX ELDER
13,30013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119242,0,0,0,3,BOX ELDER
14,30014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119242,0,0,0,3,BOX ELDER
15,30015,1,3,3,261,0,253,8,312,0,0,111,142,0,0,0,8,47,0,4,0,85625,0,0,0,3,BOX ELDER
16,30016,1,3,3,95,0,74,21,97,0,0,2,72,0,0,0,21,0,0,2,0,88250,0,0,0,3,BOX ELDER
17,30017,3,10,3.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,119242,0,0,0,3,BOX ELDER
18,30018,0,0,0,682,0,682,0,692,0,0,472,210,0,0,0,0,0,0,10,0,88250,0,0,0,3,BOX ELDER
19,30019,222,733,3.301801802,24,15,9,0,55,15,0,0,9,0,0,0,0,0,0,20,11,88250,0,0,0,3,BOX ELDER
20,30020,150,378,2.52,37,12,2,23,65,12,0,0,2,0,0,0,23,0,0,18,10,89489,0,0,0,3,BOX ELDER
21,30021,0,0,0,427,0,427,0,434,0,0,389,38,0,0,0,0,0,0,7,0,88250,0,0,0,3,BOX ELDER
22,30022,2,6,3,9,0,9,0,9,0,0,9,0,0,0,0,0,0,0,0,0,88250,0,0,0,3,BOX ELDER
23,30023,3,10,3.333333333,47,0,47,0,48,0,0,20,27,0,0,0,0,0,0,1,0,88250,0,0,0,3,BOX ELDER
24,30024,131,433,3.305343511,1,0,0,1,18,0,0,0,0,0,0,1,0,0,0,11,6,88250,0,0,0,3,BOX ELDER
