;index,LDSBC,Westmin,UofU_Main,UofU_Med,WSU_Ogden,WSU_Davis,WSU_West,SLCC_TL,SLCC_SC,SLCC_JD,SLCC_Mead,SLCC_ML,SLCC_LB,SLCC_HL,SLCC_Airp,SLCC_West,SLCC_HM,BYU,UVU_main,UVU_Geneva,UVU_ThankP,UVU_VINE,UVU_PAYSON,Var_Name
1,0.101,0.012,0.026,0.026,0.215,0.309,0.309,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.026,0.270,0.270,0.270,0.270,0.270,Pct_Remove
2,1.179,1.098,1.210,1.210,1.588,1.588,1.588,2.005,2.005,2.005,2.005,2.005,2.005,2.005,2.005,2.005,2.005,1.210,1.400,1.400,1.400,1.400,1.400,FTERate
3,0.930,0.930,0.930,0.930,0.830,0.677,0.677,0.622,0.642,0.569,0.569,0.616,0.616,0.616,0.616,0.616,0.616,0.930,0.945,0.945,0.945,0.945,0.945,HBCRates
